Time_ps,V1_mag,V2_mag,V1_x,V1_y,V1_z,V2_x,V2_y,V2_z,R_distance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0.001,0.01295836080900108,0.01295836260000216,4.7281627314e-09,-2.3739040943e-09,-0.012958360809,2.1021592525e-09,-7.1803451946e-09,0.0129583626,9.0000129584
0.002,0.02591610065700083,0.025916104042001595,6.3532382187e-09,-1.6384935487e-09,-0.025916100657,5.2385999838e-09,-7.4372724709e-09,0.025916104042,9.000051833
0.003,0.038872589576000746,0.03887259492600174,7.5634703387e-09,-9.7820192536e-10,-0.038872589576,8.5821620259e-09,-7.8271481751e-09,0.038872594926,9.000116622
0.004,0.05182718530200065,0.05182719315600212,8.1792912345e-09,-4.3049639536e-10,-0.051827185302,1.2217544595e-08,-8.4116455147e-09,0.051827193156,9.0002073222
0.005,0.0647792337740005,0.0647792447890027,8.0367467801e-09,-2.0392868622e-11,-0.064779233774,1.6231129293e-08,-9.2532951944e-09,0.064779244789,9.000323929
0.006,0.0777280707670003,0.07772808567600345,6.9671259797e-09,2.4645780374e-10,-0.077728070767,2.0701203488e-08,-1.0403995645e-08,0.077728085676,9.000466437
0.007,0.09067302409400012,0.09067304367200443,4.8221788475e-09,3.4753983212e-10,-0.090673024094,2.5671586928e-08,-1.1909575942e-08,0.090673043672,9.0006348388
0.008,0.10361341197000001,0.10361343699000561,1.4697887074e-09,2.7670336333e-10,-0.10361341197,3.1181773075e-08,-1.3796102151e-08,0.10361343699,9.0008291261
0.009,0.11654854035000003,0.11654857155000704,-3.2217761888e-09,2.2722583966e-11,-0.11654854035,3.7242565711e-08,-1.6072654762e-08,0.11654857155,9.0010492889
0.01,0.12947771034000033,0.12947774837000878,-9.3472168602e-09,-4.3253323195e-10,-0.12947771034,4.3832312971e-08,-1.8739770087e-08,0.12947774837,9.0012953163
0.011,0.142400225320001,0.14240027074001077,-1.6963809556e-08,-1.1051122785e-09,-0.14240022532,5.0917445652e-08,-2.1761901273e-08,0.14240027074,9.0015671954
0.012,0.15531539456000218,0.15531544777001302,-2.6059768422e-08,-2.0182011399e-09,-0.15531539456,5.843079321e-08,-2.5084387174e-08,0.15531544777,9.0018649124
0.013,0.168222529950004,0.16822259117001548,-3.6547939684e-08,-3.1868314439e-09,-0.16822252995,6.6277575715e-08,-2.8628898748e-08,0.16822259117,9.0021884517
0.014,0.1811209289100065,0.1811209981300181,-4.8278687875e-08,-4.6297048739e-09,-0.18112092891,7.4336823281e-08,-3.2261884205e-08,0.18112099813,9.0025377968
0.015,0.1940098671100097,0.1940099440700208,-6.1015332395e-08,-6.3578272994e-09,-0.19400986711,8.2427194433e-08,-3.5827160225e-08,0.19400994407,9.0029129293
0.016,0.20688859180001357,0.20688867598002342,-7.4489393333e-08,-8.3699811974e-09,-0.2068885918,9.0331124432e-08,-3.9158771754e-08,0.20688867598,9.0033138297
0.017,0.21975637975001802,0.2197564703700258,-8.8383663696e-08,-1.0653480381e-08,-0.21975637975,9.7790464038e-08,-4.2051932404e-08,0.21975647037,9.0037404766
