# Tier-0 from-onset MD ensemble-mean trajectory (18A). preset=single_pulse_N2000_18Angst_drag, N=50, seed=20260604, ion 20 ps dt=0.01, m_eff=202.953908 amu, window=[4.54,8.0] ps. Generated 2026-06-04 on branch drag_implementation.
# time_ps,mean_distance_A,mean_speed_I1_Aps,mean_speed_I2_Aps
0.000000000000000000e+00,1.799999857453985186e+01,1.412557053060103885e-04,1.473246165200540038e-04
1.000000000000000021e-02,1.800020531126737922e+01,2.082251786113356595e-02,2.080954224164166186e-02
2.000000000000000042e-02,1.800083106787995035e+01,4.176893848749697880e-02,4.174908653214136345e-02
2.999999999999999889e-02,1.800187552355987819e+01,6.269881553362229021e-02,6.267211522545318436e-02
4.000000000000000083e-02,1.800333833773011349e+01,8.361115637593796723e-02,8.357763549413098347e-02
5.000000000000000278e-02,1.800521914998837403e+01,1.045049677106379832e-01,1.044646538609365349e-01
6.000000000000000472e-02,1.800751758004698644e+01,1.253792537691530706e-01,1.253321744018625339e-01
7.000000000000000666e-02,1.801023322767832724e+01,1.462330163095549307e-01,1.461791987356782785e-01
8.000000000000000167e-02,1.801336567266609734e+01,1.670652548298445783e-01,1.670047262366647356e-01
8.999999999999999667e-02,1.801691447476223829e+01,1.878749668314118881e-01,1.878077542978056624e-01
9.999999999999999167e-02,1.802087917364971403e+01,2.086611480978791677e-01,2.085872786094486731e-01
1.099999999999999867e-01,1.802525928891093088e+01,2.294227929802431787e-01,2.293422934442932992e-01
1.199999999999999817e-01,1.803005432000210462e+01,2.501588946847214112e-01,2.500717919450942128e-01
1.299999999999999767e-01,1.803526374623335471e+01,2.708684455621097609e-01,2.707747664138800414e-01
1.399999999999999856e-01,1.804088702675458222e+01,2.915504373979786457e-01,2.914502086020112070e-01
1.499999999999999944e-01,1.804692360054725242e+01,3.122038617032534269e-01,3.120971100006210697e-01
1.600000000000000033e-01,1.805337288642193982e+01,3.328277100051286741e-01,3.327144621313903872e-01
1.700000000000000122e-01,1.806023428302169620e+01,3.534209741375444747e-01,3.533012568368814610e-01
1.800000000000000211e-01,1.806750716883124142e+01,3.739826465313326742e-01,3.738564865705399365e-01
1.900000000000000300e-01,1.807519090219191327e+01,3.945117205042311115e-01,3.943791446865638761e-01
2.000000000000000389e-01,1.808328482132252901e+01,4.150071905500352099e-01,4.148682257289058040e-01
2.100000000000000477e-01,1.809178824434584953e+01,4.354680526267126206e-01,4.353227257192364141e-01
2.200000000000000566e-01,1.810070046932092325e+01,4.558933044436792592e-01,4.557416424440686731e-01
2.300000000000000655e-01,1.811002077428113211e+01,4.762819457478779106e-01,4.761239757406798834e-01
2.400000000000000744e-01,1.811974841727790064e+01,4.966329786084879294e-01,4.964687277816637323e-01
2.500000000000000555e-01,1.812988263643017106e+01,5.169454077001286452e-01,5.167749033579721596e-01
2.600000000000000644e-01,1.814042264997940990e+01,5.372182405842931274e-01,5.370415101601888619e-01
2.700000000000000733e-01,1.815136765635033456e+01,5.574504879891326592e-01,5.572675590581451788e-01
2.800000000000000822e-01,1.816271683421716432e+01,5.776411640870863229e-01,5.774520643783837004e-01
2.900000000000000910e-01,1.817446934257537094e+01,5.977892867703814561e-01,5.975940441794894697e-01
3.000000000000000999e-01,1.818662432081897506e+01,6.178938779243781099e-01,6.176925205252576934e-01
3.100000000000001088e-01,1.819918088882326757e+01,6.379539636983697637e-01,6.377465197553251475e-01
3.200000000000001177e-01,1.821213814703286005e+01,6.579685747737461510e-01,6.577550727531500385e-01
3.300000000000001266e-01,1.822549517655517803e+01,6.779367466295167510e-01,6.777172152113598580e-01
3.400000000000001354e-01,1.823925103925913049e+01,6.978575198050347428e-01,6.976319878942892627e-01
3.500000000000001443e-01,1.825340477787909421e+01,7.177299401594886552e-01,7.174984368972903148e-01
3.600000000000001532e-01,1.826795541612392881e+01,7.375530591284538140e-01,7.373156139030956346e-01
3.700000000000001621e-01,1.828290195879128177e+01,7.573259339770340715e-01,7.570825764347702824e-01
3.800000000000001710e-01,1.829824339188669313e+01,7.770476280496774191e-01,7.767983881053385220e-01
3.900000000000001799e-01,1.831397868274785168e+01,7.967172110165645638e-01,7.964621188639751104e-01
4.000000000000001887e-01,1.833010678017363659e+01,8.163337591161184958e-01,8.160728452383227971e-01
4.100000000000001976e-01,1.834662661455796595e+01,8.358963553938701940e-01,8.356296505731585222e-01
4.200000000000002065e-01,1.836353709802846979e+01,8.554040899375408014e-01,8.551316252652757521e-01
4.300000000000002154e-01,1.838083712458972485e+01,8.748560601080600518e-01,8.745778669943014005e-01
4.400000000000002243e-01,1.839852557027112923e+01,8.942513707664058176e-01,8.939674809493338703e-01
4.500000000000002331e-01,1.841660129327922846e+01,9.135891344963651406e-01,9.132995800514938090e-01
4.600000000000002420e-01,1.843506313415446130e+01,9.328684718229826034e-01,9.325732851721701966e-01
4.700000000000002509e-01,1.845390991593230012e+01,9.520885114265502658e-01,9.517877253467986742e-01
4.800000000000002598e-01,1.847314044430849123e+01,9.712483903522624029e-01,9.709420379843061166e-01
4.900000000000002687e-01,1.849275350780855476e+01,9.903472542152964575e-01,9.900353690719795319e-01
5.000000000000002220e-01,1.851274787796127441e+01,1.009384257400974816e+00,1.009066873375415563e+00
5.100000000000002309e-01,1.853312230947620165e+01,1.028358563260599157e+00,1.028035714634136122e+00
5.200000000000002398e-01,1.855387554042490095e+01,1.047269344302345306e+00,1.046941065752270417e+00
5.300000000000002487e-01,1.857500629242616697e+01,1.066115782377154098e+00,1.065782108984227428e+00
5.400000000000002576e-01,1.859651327083467010e+01,1.084897068859871805e+00,1.084558036115616853e+00
5.500000000000002665e-01,1.861839516493340341e+01,1.103612404825385251e+00,1.103268048639163723e+00
5.600000000000002753e-01,1.864065064812939809e+01,1.122261001219673426e+00,1.121911357925541308e+00
5.700000000000002842e-01,1.866327837815294188e+01,1.140842079025770284e+00,1.140487185389109648e+00
5.800000000000002931e-01,1.868627699726002334e+01,1.159354869424677581e+00,1.158994762648606125e+00
5.900000000000003020e-01,1.870964513243789185e+01,1.177798613950925333e+00,1.177433331682485207e+00
6.000000000000003109e-01,1.873338139561378668e+01,1.196172564643116054e+00,1.195802144979235537e+00
6.100000000000003197e-01,1.875748438386647621e+01,1.214475984189165025e+00,1.214100465682398600e+00
6.200000000000003286e-01,1.878195267964079207e+01,1.232708146066108901e+00,1.232327567730149509e+00
6.300000000000003375e-01,1.880678485096477459e+01,1.250868334674781979e+00,1.250482735989747685e+00
6.400000000000003464e-01,1.883197945166956444e+01,1.268955845469178056e+00,1.268565266386678658e+00
6.500000000000003553e-01,1.885753502161175277e+01,1.286969985080289369e+00,1.286574466028262087e+00
6.600000000000003642e-01,1.888345008689819338e+01,1.304910071434786767e+00,1.304509653322107665e+00
6.700000000000003730e-01,1.890972316011308152e+01,1.322775433868223827e+00,1.322370158089092529e+00
6.800000000000003819e-01,1.893635274054734197e+01,1.340565413232906788e+00,1.340155321671010480e+00
