# Tier-0 MD ensemble-mean trajectory. run=9A_drag_percase_linear_cubic_N50, N=50, ion_steps=3000, window=[2.67,14.081] ps, m_eff=202.953908 amu.
# time_ps,mean_distance_A,mean_speed_I1_Aps,mean_speed_I2_Aps
0.000000000000000000e+00,8.999995317870384426e+00,4.504273944159927477e-04,4.504273944159927477e-04
1.000000000000000021e-02,9.000829379921624351e+00,8.384879220745389272e-02,8.384879220745389272e-02
2.000000000000000042e-02,9.003348959627309966e+00,1.680855071373499876e-01,1.680855071373499876e-01
2.999999999999999889e-02,9.007552485985963031e+00,2.522276811146155762e-01,2.522276811146155762e-01
4.000000000000000083e-02,9.013437745443438232e+00,3.362431275060818181e-01,3.362431275060818181e-01
5.000000000000000278e-02,9.021001879569180204e+00,4.200995772746235479e-01,4.200995772746235479e-01
6.000000000000000472e-02,9.030241384095138102e+00,5.037647471382321607e-01,5.037647471382321607e-01
7.000000000000000666e-02,9.041152109318257857e+00,5.872064076147114342e-01,5.872064076147114342e-01
8.000000000000000167e-02,9.053729261860897992e+00,6.703924506282882279e-01,6.703924506282882279e-01
8.999999999999999667e-02,9.067967407777260291e+00,7.532909563573143563e-01,7.532909563573143563e-01
9.999999999999999167e-02,9.083860476987386079e+00,8.358702590147725209e-01,8.358702590147725209e-01
1.099999999999999867e-01,9.101401769014263010e+00,9.180990112588809371e-01,9.180990112588809371e-01
1.199999999999999817e-01,9.120583959993741274e+00,9.999462469475595139e-01,9.999462469475595139e-01
1.299999999999999767e-01,9.141399110921231141e+00,1.081381441965034496e+00,1.081381441965034496e+00
1.399999999999999856e-01,9.163838677094014784e+00,1.162374572864803834e+00,1.162374572864803834e+00
1.499999999999999944e-01,9.187893518702965778e+00,1.242896173093954282e+00,1.242896173093954282e+00
1.600000000000000033e-01,9.213553912523083866e+00,1.322917386583565724e+00,1.322917386583565724e+00
1.700000000000000122e-01,9.240809564648062135e+00,1.402410018512885825e+00,1.402410018512885825e+00
1.800000000000000211e-01,9.269649624210552830e+00,1.481346583076503354e+00,1.481346583076503354e+00
1.900000000000000300e-01,9.300062698026614783e+00,1.559700348108394197e+00,1.559700348108394197e+00
2.000000000000000389e-01,9.332036866100114736e+00,1.637445376440904043e+00,1.637445376440904043e+00
2.100000000000000477e-01,9.365559697920653903e+00,1.714556563900627495e+00,1.714556563900627495e+00
2.200000000000000566e-01,9.400618269486967549e+00,1.791009673867448804e+00,1.791009673867448804e+00
2.300000000000000655e-01,9.437199180986393543e+00,1.866781368346456027e+00,1.866781368346456027e+00
2.400000000000000744e-01,9.475288575060323737e+00,1.941849235526617035e+00,1.941849235526617035e+00
2.500000000000000555e-01,9.514872155585219815e+00,2.016191813821425427e+00,2.016191813821425427e+00
2.600000000000000644e-01,9.555935206898929835e+00,2.089788612408522095e+00,2.089788612408522095e+00
2.700000000000000733e-01,9.598462613402540811e+00,2.162620128306203426e+00,2.162620128306203426e+00
2.800000000000000822e-01,9.642438879469063195e+00,2.234667860042578447e+00,2.234667860042578447e+00
2.900000000000000910e-01,9.687848149591429703e+00,2.305914317991164975e+00,2.305914317991164975e+00
3.000000000000000999e-01,9.734674228703944721e+00,2.376343031463075128e+00,2.376343031463075128e+00
3.100000000000001088e-01,9.782900602613439744e+00,2.445938552659799203e+00,2.445938552659799203e+00
3.200000000000001177e-01,9.832510458478328275e+00,2.514686457603513503e+00,2.514686457603513503e+00
3.300000000000001266e-01,9.883486705276496309e+00,2.582573344173552332e+00,2.582573344173552332e+00
3.400000000000001354e-01,9.935811994205463904e+00,2.649586827386352095e+00,2.649586827386352095e+00
