# Tier-1a MD ensemble-mean trajectory. run_tag=tier1a_anchored_continuous_t5.0, scenario=anchored_discrete, t_star_ps=5.0, N=50, ion_steps=3000.
# time_ps,mean_distance_A,mean_speed_I1_Aps,mean_speed_I2_Aps
0.000000000000000000e+00,8.999995317870384426e+00,4.504273944159927477e-04,4.504273944159927477e-04
1.000000000000000021e-02,9.000797999679265970e+00,8.071135116635864970e-02,8.071135116635864970e-02
2.000000000000000042e-02,9.003223769886698591e+00,1.618437497544594761e-01,1.618437497544594761e-01
2.999999999999999889e-02,9.007271741986704328e+00,2.429169212120028121e-01,2.429169212120028121e-01
4.000000000000000083e-02,9.012940429640815765e+00,3.239007583960282211e-01,3.239007583960282211e-01
5.000000000000000278e-02,9.020227742092169265e+00,4.047649552822813468e-01,4.047649552822813468e-01
6.000000000000000472e-02,9.029130980810261775e+00,4.854790687810959793e-01,4.854790687810959793e-01
7.000000000000000666e-02,9.039646837377553368e+00,5.660125809878034930e-01,5.660125809878034930e-01
8.000000000000000167e-02,9.051771392624091916e+00,6.463349615880003007e-01,6.463349615880003007e-01
8.999999999999999667e-02,9.065500117010097725e+00,7.264157301382412335e-01,7.264157301382412335e-01
9.999999999999999167e-02,9.080827872251397537e+00,8.062245179449861743e-01,8.062245179449861743e-01
1.099999999999999867e-01,9.097748914176751356e+00,8.857311292675107417e-01,8.857311292675107417e-01
1.199999999999999817e-01,9.116256896800850384e+00,9.649056015803770814e-01,9.649056015803770814e-01
1.299999999999999767e-01,9.136344877591509928e+00,1.043718264637796045e+00,1.043718264637796045e+00
1.399999999999999856e-01,9.158005323904525596e+00,1.122139798093415797e+00,1.122139798093415797e+00
1.499999999999999944e-01,9.181230120554907614e+00,1.200141287442591187e+00,1.200141287442591187e+00
1.600000000000000033e-01,9.206010578488593055e+00,1.277694278067772249e+00,1.277694278067772249e+00
1.700000000000000122e-01,9.232337444514570279e+00,1.354770827183629178e+00,1.354770827183629178e+00
1.800000000000000211e-01,9.260200912053454303e+00,1.431343553495149301e+00,1.431343553495149301e+00
1.900000000000000300e-01,9.289590632854983099e+00,1.507385684400472936e+00,1.507385684400472936e+00
2.000000000000000389e-01,9.320495729633671900e+00,1.582871100588580937e+00,1.582871100588580937e+00
2.100000000000000477e-01,9.352904809569182021e+00,1.657774377901308993e+00,1.657774377901308993e+00
2.200000000000000566e-01,9.386805978615397450e+00,1.732070826349308090e+00,1.732070826349308090e+00
2.300000000000000655e-01,9.422186856560410106e+00,1.805736526190983682e+00,1.805736526190983682e+00
2.400000000000000744e-01,9.459034592777703310e+00,1.878748361003340195e+00,1.878748361003340195e+00
2.500000000000000555e-01,9.497335882607906399e+00,1.951084047693818491e+00,1.951084047693818491e+00
2.600000000000000644e-01,9.537076984309482697e+00,2.022722163420114683e+00,2.022722163420114683e+00
2.700000000000000733e-01,9.578243736516276030e+00,2.093642169404715592e+00,2.093642169404715592e+00
2.800000000000000822e-01,9.620821576139828579e+00,2.163824431648821101e+00,2.163824431648821101e+00
