# Tier-1a MD ensemble-mean trajectory. run_tag=tier1a_fixed, scenario=fixed, t_star_ps=None, N=50, ion_steps=3000.
# time_ps,mean_distance_A,mean_speed_I1_Aps,mean_speed_I2_Aps
0.000000000000000000e+00,8.999995317870384426e+00,4.504273944159927477e-04,4.504273944159927477e-04
1.000000000000000021e-02,9.000829997498895452e+00,8.391054638682696187e-02,8.391054638682696187e-02
2.000000000000000042e-02,9.003351737355046680e+00,1.682397545395280247e-01,1.682397545395280247e-01
2.999999999999999889e-02,9.007559578711362036e+00,2.525049044271606147e-01,2.525049044271606147e-01
4.000000000000000083e-02,9.013451913578110819e+00,3.366733949692315986e-01,3.366733949692315986e-01
5.000000000000000278e-02,9.021026479226925687e+00,4.207123855683130298e-01,4.207123855683130298e-01
6.000000000000000472e-02,9.030280354103663143e+00,5.045888659451902569e-01,5.045888659451902569e-01
7.000000000000000666e-02,9.041209955145264487e+00,5.882697265564739153e-01,5.882697265564739153e-01
8.000000000000000167e-02,9.053811036509209487e+00,6.717218292695199544e-01,6.717218292695199544e-01
8.999999999999999667e-02,9.068078689716992713e+00,7.549120779667438663e-01,7.549120779667438663e-01
9.999999999999999167e-02,9.084007345207309569e+00,8.378074887534826543e-01,8.378074887534826543e-01
1.099999999999999867e-01,9.101590775287329294e+00,9.203752594495692163e-01,9.203752594495692163e-01
1.199999999999999817e-01,9.120822098464785199e+00,1.002582838050819269e+00,1.002582838050819269e+00
1.299999999999999767e-01,9.141693785136995487e+00,1.084397989859104960e+00,1.084397989859104960e+00
1.399999999999999856e-01,9.164197664607197424e+00,1.165788862990348784e+00,1.165788862990348784e+00
1.499999999999999944e-01,9.188324933392982174e+00,1.246724051984820836e+00,1.246724051984820836e+00
1.600000000000000033e-01,9.214066164785940316e+00,1.327172659261574461e+00,1.327172659261574461e+00
1.700000000000000122e-01,9.241411319617162334e+00,1.407104354176673011e+00,1.407104354176673011e+00
1.800000000000000211e-01,9.270349758178037192e+00,1.486489429464942003e+00,1.486489429464942003e+00
1.900000000000000300e-01,9.300870253242139896e+00,1.565298854866627787e+00,1.565298854866627787e+00
2.000000000000000389e-01,9.332961004129884941e+00,1.643504327761808437e+00,1.643504327761808437e+00
2.100000000000000477e-01,9.366609651754455257e+00,1.721078320658773197e+00,1.721078320658773197e+00
2.200000000000000566e-01,9.401803294584674120e+00,1.797994125406391142e+00,1.797994125406391142e+00
2.300000000000000655e-01,9.438528505458123163e+00,1.874225894023084260e+00,1.874225894023084260e+00
2.400000000000000744e-01,9.476771349175876935e+00,1.949748676059095409e+00,1.949748676059095409e+00
2.500000000000000555e-01,9.516517400808810478e+00,2.024538452431836610e+00,2.024538452431836610e+00
2.600000000000000644e-01,9.557751764644503822e+00,2.098572165696853453e+00,2.098572165696853453e+00
