n,fn_300mW,N_eff_300mW,meanKE_300mW_eV,statErr_300mW_eV,bgOffShift_300mW_eV,meanKE_ref600_eV,refErr_stat_sys_eV,diff_eV,diff_frac,z_indicative
0,43631,147886,3.47094,0.00368,0.00000,3.70569,0.03849,-0.23475,-0.0633,-6.07
1,43630,39551,1.30194,0.00345,0.11301,1.30171,0.07106,0.00023,0.0002,0.00
2,43629,16379,0.73524,0.00260,0.00327,0.70584,0.02660,0.02940,0.0416,1.10
3,43628,10834,0.52609,0.00228,0.00461,0.49639,0.01961,0.02970,0.0598,1.50
4,43627,8391,0.41453,0.00206,0.00041,0.39045,0.00499,0.02408,0.0617,4.46
5,43626,8195,0.34128,0.00170,-0.00001,0.31853,0.00897,0.02275,0.0714,2.49
6,43625,6893,0.27868,0.00155,-0.00022,0.26700,0.00291,0.01168,0.0437,3.54
7,43624,5630,0.23579,0.00145,-0.00047,0.22833,0.00670,0.00746,0.0327,1.09
8,43623,4658,0.20310,0.00136,-0.00039,0.19187,0.00452,0.01123,0.0585,2.38
9,43622,5188,0.17564,0.00118,-0.00056,0.16347,0.00369,0.01217,0.0744,3.14
10,43621,4654,0.15088,0.00113,-0.00035,0.14195,0.00500,0.00893,0.0629,1.74
11,43620,4164,0.13185,0.00104,-0.00041,0.12323,0.00623,0.00862,0.0699,1.36
12,43619,3500,0.11328,0.00102,-0.00058,0.10695,0.00345,0.00633,0.0592,1.76
13,43618,2886,0.09760,0.00098,-0.00037,0.09602,0.00772,0.00158,0.0164,0.20
14,43617,2684,0.08797,0.00095,-0.00042,0.08144,0.00385,0.00653,0.0802,1.65
15,43616,2151,0.07811,0.00093,-0.00080,0.07495,0.00799,0.00316,0.0422,0.39
16,43615,3348,0.07206,0.00072,-0.00038,0.06889,0.00291,0.00317,0.0460,1.06
17,43614,2416,0.07013,0.00086,-0.00118,0.06570,0.01018,0.00443,0.0674,0.43
