E_eV,v_mps,signal_2d_Pv,signal_2d_PE,signal_3d_Pv,signal_3d_PE
0.00044,24.7,0.05335,1.20208,NaN,NaN
0.00176,49.4,0.09257,1.04288,NaN,NaN
0.00396,74.2,0.15779,1.18508,NaN,NaN
0.00704,98.9,0.17308,0.97494,NaN,NaN
0.01100,123.6,0.20920,0.94270,0.01151,0.07432
0.01584,148.3,0.25229,0.94741,0.05741,0.30897
0.02155,173.0,0.30350,0.97687,0.00000,0.00000
0.02815,197.8,0.31981,0.90070,0.07796,0.31467
0.03563,222.5,0.33048,0.82734,0.05762,0.20673
0.04399,247.2,0.38101,0.85844,0.00092,0.00297
0.05323,271.9,0.44343,0.90828,0.09278,0.27236
0.06334,296.6,0.45883,0.86150,0.01149,0.03091
0.07434,321.4,0.48185,0.83513,0.00000,0.00000
0.08622,346.1,0.53521,0.86134,0.00000,0.00000
0.09898,370.8,0.61391,0.92213,0.00000,0.00000
0.11261,395.5,0.60860,0.85703,0.30792,0.62140
0.12713,420.2,0.69605,0.92252,0.00000,0.00000
0.14253,445.0,0.73164,0.91581,0.63181,1.13337
0.15880,469.7,0.80440,0.95389,0.07323,0.12445
0.17596,494.4,0.86952,0.97956,0.03183,0.05138
0.19399,519.1,0.92332,0.99063,0.57237,0.88006
0.21291,543.8,0.93944,0.96212,0.50747,0.74482
0.23270,568.6,0.93428,0.91523,0.50508,0.70907
0.25338,593.3,1.00734,0.94568,0.48262,0.64931
0.27493,618.0,1.12465,1.01358,0.76182,0.98395
0.29737,642.7,1.08627,0.94134,0.80774,1.00313
0.32068,667.5,1.02782,0.85770,0.57469,0.68727
0.34488,692.2,0.97828,0.78720,0.76517,0.88239
0.36995,716.9,0.95948,0.74545,0.99345,1.10613
0.39590,741.6,0.93089,0.69913,0.86088,0.92657
0.42274,766.3,0.96438,0.70092,1.24704,1.29890
0.45045,791.1,0.98661,0.69467,1.02452,1.03379
0.47904,815.8,0.87790,0.59940,0.99442,0.97301
0.50852,840.5,0.82273,0.54520,1.16340,1.10486
0.53887,865.2,0.72022,0.46364,0.79717,0.73543
0.57010,889.9,0.69806,0.43689,0.98716,0.88540
0.60221,914.7,0.63905,0.38915,1.08069,0.94310
0.63521,939.4,0.53133,0.31504,0.85127,0.72334
0.66908,964.1,0.41843,0.24174,0.82283,0.68124
0.70383,988.8,0.41611,0.23438,0.69061,0.55748
0.73946,1013.5,0.33631,0.18481,0.43114,0.33954
0.77597,1038.3,0.26437,0.14182,0.61297,0.47125
0.81336,1063.0,0.22774,0.11933,0.30233,0.22702
0.85163,1087.7,0.19625,0.10050,0.47940,0.35181
0.89078,1112.4,0.17681,0.08852,0.41481,0.29764
0.93082,1137.1,0.12500,0.06123,0.19745,0.13860
0.97173,1161.9,0.08526,0.04087,0.45949,0.31567
1.01352,1186.6,0.10731,0.05037,0.24843,0.16712
