n,label,massCenter_u_per_e,N_counts,N_eff,meanKE_eV,modeKE_eV,medianKE_eV,sigmaKE_eV,statErr_meanKE_eV,sysErr_meanKE_eV,calibSyst_frac,conditionSyst_frac,bgOffShift_eV,dominantError,noiseLimited
0,I+He_0,126.9000,628743,193725,3.70569,4.75789,3.77579,1.35631,0.00308,0.03837,0.0400,0.0600,0.00000,calib,0
1,I+He_1,130.9026,63253,53642,1.30171,0.89078,1.12826,0.69745,0.00301,0.07100,0.0400,0.0600,0.37768,bg-structural,0
2,I+He_2,134.9052,27344,22836,0.70584,0.60221,0.64929,0.32357,0.00214,0.02651,0.0400,0.0600,0.03026,bg-structural,0
3,I+He_3,138.9078,19782,15151,0.49639,0.39590,0.45673,0.23351,0.00190,0.01952,0.0400,0.0600,0.00744,calib,0
4,I+He_4,142.9104,16391,11724,0.39045,0.34488,0.35962,0.18137,0.00168,0.00470,0.0400,0.0600,0.00075,calib,0
5,I+He_5,146.9130,14076,9445,0.31853,0.25338,0.28585,0.14875,0.00153,0.00884,0.0400,0.0600,-0.00032,calib,0
6,I+He_6,150.9156,12401,7818,0.26700,0.21291,0.23874,0.12615,0.00143,0.00254,0.0400,0.0600,-0.00395,calib,0
7,I+He_7,154.9182,13595,8474,0.22833,0.19399,0.20187,0.11246,0.00122,0.00659,0.0400,0.0600,-0.00607,calib,0
8,I+He_8,158.9208,12642,7405,0.19187,0.17596,0.16953,0.09284,0.00108,0.00439,0.0400,0.0600,-0.00259,calib,0
9,I+He_9,162.9234,14127,7752,0.16347,0.12713,0.13765,0.08334,0.00095,0.00357,0.0400,0.0600,-0.00269,calib,0
10,I+He_10,166.9260,13272,6852,0.14195,0.09898,0.11916,0.07285,0.00088,0.00492,0.0400,0.0600,-0.00479,calib,0
11,I+He_11,170.9286,12550,6036,0.12323,0.11261,0.10566,0.06298,0.00081,0.00618,0.0400,0.0600,-0.00201,analysis,0
12,I+He_12,174.9312,11307,5005,0.10695,0.08622,0.08832,0.05895,0.00083,0.00335,0.0400,0.0600,-0.00419,calib,0
13,I+He_13,178.9338,10927,4489,0.09602,0.08622,0.07672,0.05286,0.00079,0.00768,0.0400,0.0600,-0.00202,analysis,0
14,I+He_14,182.9364,10372,3910,0.08144,0.06334,0.06801,0.04550,0.00073,0.00378,0.0400,0.0600,-0.00163,analysis,0
15,I+He_15,186.9390,9580,3275,0.07495,0.05323,0.05991,0.04428,0.00077,0.00795,0.0400,0.0600,-0.00263,analysis,0
16,I+He_16,190.9416,17558,5237,0.06889,0.05323,0.05404,0.04168,0.00058,0.00285,0.0400,0.0600,-0.00313,bg-structural,0
17,I+He_17,194.9442,16663,3645,0.06570,0.05323,0.04995,0.04383,0.00073,0.01015,0.0400,0.0600,-0.00526,analysis,0
