E_eV,signal_IHe0,signal_IHe1
0.01100,NaN,0.12097
0.01584,NaN,0.00000
0.02155,NaN,0.18800
0.02815,NaN,0.00000
0.03563,NaN,0.05877
0.04399,NaN,0.00000
0.05323,NaN,0.00000
0.06334,NaN,0.17719
0.07434,NaN,0.00000
0.08622,NaN,0.44980
0.09898,NaN,0.00000
0.11261,NaN,0.16594
0.12713,NaN,0.21844
0.14253,NaN,0.07207
0.15880,NaN,0.01932
0.17596,NaN,0.00000
0.19399,NaN,0.00000
0.21291,NaN,0.02002
0.23270,NaN,0.08318
0.25338,NaN,0.00000
0.27493,NaN,0.63741
0.29737,NaN,0.13929
0.32068,NaN,0.06804
0.34488,NaN,0.38881
0.36995,NaN,0.35492
0.39590,NaN,0.28184
0.42274,0.44935,0.64899
0.45045,0.21620,0.74417
0.47904,0.20328,0.40874
0.50852,0.00000,0.67493
0.53887,0.44801,0.53181
0.57010,0.18026,0.61742
0.60221,0.00000,1.01148
0.63521,0.00000,0.68952
0.66908,0.00000,0.78720
0.70383,0.42668,0.79998
0.73946,0.00000,0.86472
0.77597,0.00000,1.27275
0.81336,0.00000,0.81972
0.85163,0.24620,1.17661
0.89078,0.00000,1.10063
0.93082,0.12237,0.98753
0.97173,0.00000,1.11993
1.01352,0.20224,0.90861
1.05618,0.00000,0.94951
1.09973,0.00000,0.78825
1.14416,0.00000,0.87618
1.18947,0.47442,0.89622
1.23566,0.19050,0.65397
1.28273,0.78788,0.56171
1.33068,0.00000,0.69422
1.37951,0.48550,0.62871
1.42921,0.17550,0.90668
1.47980,0.01474,0.60112
1.53127,0.20835,0.43041
1.58362,0.80916,0.74635
1.63684,0.43401,0.52038
1.69095,0.35568,0.37346
1.74594,0.37024,0.56178
1.80180,0.97617,0.36197
1.85855,0.62210,0.45100
1.91618,0.42610,0.47761
1.97468,1.07389,0.30773
2.03407,0.16716,0.26937
2.09433,1.00292,0.41276
2.15548,0.55970,0.05989
2.21750,1.17787,0.29441
2.28041,1.43630,0.18832
2.34419,0.52210,0.17914
2.40886,0.45018,0.27095
2.47440,0.46448,0.20051
2.54083,1.27744,0.09743
2.60813,0.26362,0.26446
2.67631,1.03516,0.06656
2.74538,0.92297,0.18032
2.81532,0.80588,0.04547
2.88614,0.33476,0.10878
2.95785,0.55491,0.15101
3.03043,0.78946,0.02629
3.10389,0.73857,0.18464
3.17823,0.48818,0.00874
3.25345,0.78571,0.04338
3.32956,0.87073,0.07309
3.40654,0.28497,0.16727
3.48440,1.33676,0.00087
3.56314,0.58901,0.05478
3.64276,1.00018,0.00425
3.72326,0.71333,0.00000
3.80464,0.88136,0.02960
3.88690,0.78796,0.03104
3.97004,0.62141,0.00000
4.05406,0.90776,0.03279
4.13896,0.80539,0.00757
4.22474,0.78434,0.00914
4.31140,1.19080,0.00000
4.39894,0.58683,0.00000
4.48736,0.85971,0.00000
4.57665,0.76096,0.00000
4.66683,1.09788,0.00969
4.75789,1.08828,0.01050
4.84983,0.96559,0.00000
4.94265,1.52337,0.00000
5.03634,1.12106,0.00000
5.13092,0.80552,0.00000
5.22638,0.62586,0.00000
5.32271,0.56138,0.04462
5.41993,0.74832,0.00000
5.51803,0.75926,0.03597
5.61700,0.92950,0.00000
5.71686,0.97110,0.03527
5.81759,0.70279,0.01735
5.91921,0.41518,0.00840
6.02171,0.00000,0.00000
6.12508,0.00000,0.00000
