n,label,massCenter_u_per_e,massWindowLower_u_per_e,massWindowUpper_u_per_e,ionCounts,ionPercent
0,I^+,127,126,128,0.081412829827488,43.5234834342411
1,I^+He_1,131.0026,130.0026,132.0026,0.0327818463909677,17.5252494154108
2,I^+He_2,135.0052,134.0052,136.0052,0.01502546804024,8.03264928546072
3,I^+He_3,139.0078,138.0078,140.0078,0.00969710183508353,5.18409262979466
4,I^+He_4,143.0104,142.0104,144.0104,0.00744801701056354,3.98172678267177
5,I^+He_5,147.013,146.013,148.013,0.00608727787340189,3.25427255438769
6,I^+He_6,151.0156,150.0156,152.0156,0.00521696662189139,2.78900218584731
7,I^+He_7,155.0182,154.0182,156.0182,0.00410384430250009,2.19392446982921
8,I^+He_8,159.0208,158.0208,160.0208,0.00382032561213094,2.04235473506226
9,I^+He_9,163.0234,162.0234,164.0234,0.00316047525652992,1.68959723870776
10,I^+He_10,167.026,166.026,168.026,0.00311232656983218,1.66385684161913
11,I^+He_11,171.0286,170.0286,172.0286,0.00276999427982321,1.48084522312136
12,I^+He_12,175.0312,174.0312,176.0312,0.00234667673302481,1.25453870270506
13,I^+He_13,179.0338,178.0338,180.0338,0.00208040326586893,1.11218830337249
14,I^+He_14,183.0364,182.0364,184.0364,0.00197798838368126,1.05743707512309
15,I^+He_15,187.039,186.039,188.039,0.00170756158179932,0.912866293628042
16,I^+He_16,191.0416,190.0416,192.0416,0.00151966894006213,0.812418461297523
17,I^+He_17,195.0442,194.0442,196.0442,0.000916756837857378,0.490100284319573
18,I^+He_18,199.0468,198.0468,200.0468,0.000759364190837011,0.405957818325234
19,I^+He_19,203.0494,202.0494,204.0494,0.000615226314750061,0.328901382927887
20,I^+He_20,207.052,206.052,208.052,0.000494829330512923,0.264536882147342
