variant,kernel,n1_single,n1,KE1_mean,KE1_sd,KE1_mode,above_1p15,supp,bare,slow_bare,n2_conv_extra,q3_share_n1
B-only,-,0.0,0.12878603705737388,0.8727999126168591,0.45408749923190284,0.447,0.37028684590084543,0.14575001310689495,0.0,0.0,0.0,0.5102349378343961
B-only,-,0.05,0.14378603705737386,0.7921801325152111,0.4906618143845816,0.447,0.33165790249171323,0.14575001310689495,0.0,0.0,0.0,0.4570063752830685
C-full,j0 1.5 w 0.5,0.0,0.21393703387216373,1.0439344485745776,0.5183382008809684,0.461,0.5023589228278261,0.0,0.02708588262340646,0.006790667830758556,0.03190974855497948,0.6053838829821903
C-full,j0 1.5 w 0.5,0.05,0.22893703387216374,0.9820876757342999,0.5529818812888343,0.461,0.46944426627372277,0.0,0.02708588262340646,0.006790667830758556,0.03190974855497948,0.5657190105448044
C-full,j0 1.5 w 1,0.0,0.19316953613770116,1.016107714383739,0.5123505570598078,0.458,0.48088380351241755,0.0,0.02468466572980621,0.006188661739956318,0.04516266864396122,0.5899125206978382
C-full,j0 1.5 w 1,0.05,0.20816953613770117,0.9500960588326298,0.5476170093272635,0.458,0.4462329262201955,0.0,0.02468466572980621,0.006188661739956318,0.04516266864396122,0.5474053989804015
C-full,j0 2 w 0.5,0.0,0.19281206236813137,1.0155762501804197,0.5122208060256094,0.458,0.48047364912276214,0.0,0.007492302710873113,0.0018783858626436197,0.06522058193764042,0.5896170323672879
C-full,j0 2 w 0.5,0.05,0.20781206236813138,0.9494894042283419,0.5474967078071746,0.458,0.4457927713396702,0.0,0.007492302710873113,0.0018783858626436197,0.06522058193764042,0.5470581193536532
C-full,j0 2 w 1,0.0,0.17901536549036567,0.9934425874421964,0.5062924352626545,0.456,0.46339212439440025,0.0,0.011680536892938917,0.0029284128277335523,0.05809110439648774,0.5773109560396008
C-full,j0 2 w 1,0.05,0.1940153654903657,0.92436744600811,0.5418954644437863,0.456,0.4275656740081231,0.0,0.011680536892938917,0.0029284128277335523,0.05809110439648774,0.5326770461494893
