label,num_scored,trap,trap_bound,trap_marg,supp,nbar_det,n1_solv,w1_solv,midHot,midHot_bins,deepKE,deepKE_bins,chi2_med,ke_npts,R_q50,depth_mean_A,v_c,well,tau,E0,twin_nbar,twin_n1,twin_trap,twin_gate,d_nbar,d_n1,d_trap,md_gate
a031,914,0.086,0.084,0.002,0.002188183807439825,6.072210065645514,0.030701754385964914,1.7152829813147568,1.492731592539635,7,0.5618899557561425,8,997.1057227902397,17,49.531172640176294,34.61018890205291,5.5,eb1168,4.8,0.31,6.717,0.0371,0.0535,0,-0.6447899343544856,-0.006398245614035087,0.032499999999999994,0
a033,913,0.087,0.085,0.002,0.008762322015334063,5.36144578313253,0.10165745856353592,1.2315873115673233,1.275638540297603,7,0.5026129800693606,8,817.6041975421577,17,49.531172640176294,34.61018890205291,5.5,eb1168,4.8,0.33,5.93,0.1051,0.0535,0,-0.5685542168674695,-0.0034425414364640805,0.033499999999999995,0
a035,913,0.087,0.085,0.002,0.05805038335158817,4.692223439211391,0.1813953488372093,0.9472881981149271,1.1008522429813683,7,0.45342726829940017,8,659.4172778388223,16,49.531172640176294,34.61018890205291,5.5,eb1168,4.8,0.35,5.211,0.17,0.0535,0,-0.5187765607886092,0.011395348837209301,0.033499999999999995,0
a037,915,0.085,0.084,0.001,0.1366120218579235,4.0972677595628415,0.21139240506329116,0.826327552936255,0.9390146757595911,7,0.4291162084136605,7,316.966854607004,15,49.531172640176294,34.61018890205291,5.5,eb1168,4.8,0.37,4.564,0.2097,0.0535,1,-0.46673224043715855,0.001692405063291158,0.03150000000000001,1
b029,793,0.207,0.189,0.018,0.005044136191677175,5.060529634300126,0.082382762991128,1.3881844138882684,0.622272990363925,7,0.6065134037035171,5,78.34175047969035,14,49.531172640176294,34.61018890205291,6.0,eb1168,6.4,0.29,6.046,0.0857,0.1294,0,-0.9854703656998742,-0.003317237008872001,0.0776,0
b031,796,0.204,0.188,0.016,0.038944723618090454,4.314070351758794,0.20261437908496732,1.0605913595447607,0.4988047441814162,7,0.7153848466185473,5,73.27527341731327,13,49.531172640176294,34.61018890205291,6.0,eb1168,6.4,0.31,5.224,0.1775,0.1294,0,-0.9099296482412065,0.02511437908496733,0.0746,1
b033,803,0.197,0.185,0.012,0.1382316313823163,3.676214196762142,0.24421965317919075,0.9725565705874379,0.40657769764967017,7,0.6265733935900505,5,71.88277906408246,13,49.531172640176294,34.61018890205291,6.0,eb1168,6.4,0.33,4.487,0.2255,0.1294,1,-0.8107858032378581,0.01871965317919075,0.06760000000000002,0
c50,977,0.023,0.023,0.0,0.048106448311156604,4.345957011258956,0.18494623655913978,0.9950377689217064,1.923417273149901,7,1.0642278862013812,7,1322.0220154227445,16,49.531172640176294,34.61018890205291,5.0,eb1168,4.8,0.34,4.586,0.1858,0.0111,0,-0.24004298874104446,-0.0008537634408602168,0.011899999999999999,0
c65,678,0.322,0.256,0.066,0.06342182890855458,4.6946902654867255,0.16535433070866143,1.3150779802061185,0.41504548560542515,7,0.8060794929942413,6,97.77276901777174,14,49.531172640176294,34.61018890205291,6.5,eb1168,6.4,0.33,6.153,0.1298,0.2132,0,-1.458309734513274,0.03555433070866143,0.10880000000000001,0
d030,911,0.089,0.089,0.0,0.029637760702524697,3.942919868276619,0.21153846153846154,1.1677320138676048,0.8135073212976063,7,0.2692416158657311,6,399.8361660082439,14,49.531172640176294,34.61018890205291,5.5,eb1168,6.4,0.3,4.374,0.2029,0.0535,0,-0.4310801317233808,0.00863846153846154,0.0355,1
d036,806,0.194,0.179,0.015,0.052109181141439205,5.326302729528536,0.16099476439790578,1.2807055076180007,0.644390935550732,7,0.6758908412134285,7,44.39236495117442,16,49.531172640176294,34.61018890205291,6.0,eb1168,4.8,0.36,6.391,0.1365,0.1294,0,-1.0646972704714637,0.024494764397905766,0.06460000000000002,0
e0482,974,0.026,0.026,0.0,0.08624229979466119,4.919917864476386,0.19662921348314602,0.6673959011705621,1.1247527744665755,7,0.6756690247365364,8,307.63097336732875,17,49.531172640176294,34.61018890205291,5.5,eb0482,4.8,0.36,5.356,0.187,0.0111,0,-0.4360821355236135,0.00962921348314602,0.014899999999999998,0
e154,885,0.115,0.115,0.0,0.09152542372881356,4.140112994350282,0.20771144278606965,0.9855450226020214,0.9561768242692843,7,0.42692883378548496,5,279.19145729817313,14,49.531172640176294,34.61018890205291,5.5,eb154,4.8,0.36,4.651,0.1959,0.0761,1,-0.5108870056497175,0.01181144278606966,0.038900000000000004,1
f725,563,0.437,0.278,0.159,0.0,14.339253996447603,0.0,9.4528802094733,1.3977543143547422,2,1.7545094798096792,8,140.13608361367181,10,49.531172640176294,34.61018890205291,7.25,eb1168,3.2,0.27,16.994,0.0,0.308,0,-2.654746003552397,0.0,0.129,0
