label,num_scored,trap,trap_bound,trap_marg,supp,nbar_det,n1_solv,w1_solv,midHot,midHot_bins,deepKE,deepKE_bins,chi2_med,ke_npts,R_q50,depth_mean_A,v_c,well,tau,E0,role,twin_nbar,pred_nbar,twin_n1,twin_w1,twin_midHot,twin_deepKE,d_pred_nbar,md_gate,S
f1,1818,0.091,0.088,0.003,0.10671067106710672,4.168866886688669,0.187807881773399,0.8208114245822699,0.9897630216584811,7,0.5226332841552175,7,411.1394929173656,15,49.19054315367631,35.139277241207616,5.5,eb1168,4.8,0.365,clean ridge optimum,4.717,4.174,0.2025,0.5388,1.1103,0.7757,-0.005133113311331705,0,1.5111214248893514
f2,1815,0.0925,0.0895,0.003,0.06887052341597796,4.194490358126722,0.1875739644970414,0.9155124142102463,0.980267708692917,7,0.4382564502384099,7,439.6137728249027,15,49.19054315367631,35.139277241207616,5.5,eb1168,5.2,0.34,"clean ridge optimum, tau arm",4.742,4.194,0.1981,0.5378,1.1085,0.6905,0.0004903581267221568,0,1.7459457988346254
f3,1823,0.0885,0.0865,0.002,0.14481623697202414,4.2046077893582,0.18665811417575368,0.7688588737277392,1.0234447645417875,7,0.6137879081765385,8,425.849727046238,17,49.19054315367631,35.139277241207616,5.5,eb1168,4.4,0.395,clean deep-KE probe,4.751,4.201,0.1981,0.7567,1.1262,0.8867,0.0036077893582007192,0,1.5123245577139712
a037,1818,0.091,0.088,0.003,0.1265126512651265,4.024202420242024,0.19836272040302264,0.7918661321838067,0.9595019238212504,7,0.5256738365135258,7,359.7523892394319,15,49.19054315367631,35.139277241207616,5.5,eb1168,4.8,0.37,G3-ring bridge control (N-scaling test),4.564,4.058,0.2097,0.5026,1.0703,0.7552,-0.033797579757975704,1,1.68260137065651
b031,1594,0.203,0.177,0.026,0.03638644918444166,4.262860727728984,0.17708333333333334,1.1133921152637147,0.5198246903448046,7,0.7315895404986594,5,68.25804636135304,13,49.19054315367631,35.139277241207616,6.0,eb1168,6.4,0.31,"G3-ring bridge control, deepKE-favourable corner",5.224,4.561,0.1775,0.8761,0.5469,0.4958,-0.29813927227101633,0,6.631170559102881
x345,1815,0.0925,0.0895,0.003,0.03581267217630854,4.781818181818182,0.14914285714285713,0.9664071189398721,1.1549495455544356,7,0.49847122108174013,8,602.4881172565962,15,49.19054315367631,35.139277241207616,5.5,eb1168,4.8,0.345,off-ridge fail control (pre-registered to miss on n1),5.387,4.685,0.1555,0.8157,1.2889,0.8762,0.09681818181818258,0,2.7232106221348396
h345,1816,0.092,0.089,0.003,0.09251101321585903,4.04295154185022,0.1941747572815534,0.8916527600481265,0.9451619775146588,7,0.4320720897147486,7,372.5842262244045,14,49.19054315367631,35.139277241207616,5.5,eb1168,5.2,0.345,"ladder: tau 5.2 arm, low",4.567,4.06,0.2101,0.4881,1.0616,0.6677,-0.0170484581497794,1,1.9650994041207253
h350,1817,0.0915,0.0885,0.003,0.10952118877270225,3.8772702256466705,0.20951792336217553,0.884337900861434,0.8967742582901765,7,0.44063175390545145,7,320.371385472746,14,49.19054315367631,35.139277241207616,5.5,eb1168,5.2,0.35,"ladder: tau 5.2 arm, mid",4.4,3.933,0.2206,0.4504,1.0176,0.6475,-0.055729774353329375,1,2.3283006689394665
h355,1820,0.09,0.089,0.001,0.13296703296703297,3.7324175824175825,0.22243346007604564,0.872457925739977,0.858550969117295,7,0.5002443150191347,7,299.0746069082567,15,49.19054315367631,35.139277241207616,5.5,eb1168,5.2,0.355,"ladder: tau 5.2 arm, high",4.238,3.81,0.2286,0.4199,0.9761,0.6285,-0.07758241758241757,0,2.619154477835005
h375,1821,0.0895,0.0875,0.002,0.14607358594179023,3.889071938495332,0.21414790996784566,0.7468200874917003,0.9256744493649027,7,0.5848635236639474,7,331.4586734310803,16,49.19054315367631,35.139277241207616,5.5,eb1168,4.8,0.375,"ladder: tau 4.8 arm, low",4.413,3.943,0.2165,0.4685,1.0314,0.7341,-0.053928061504668,1,1.8605176882815193
h380,1822,0.089,0.087,0.002,0.17014270032930845,3.7689352360043906,0.2202380952380953,0.7333335531852335,0.895363431658865,7,0.5768654109732931,7,282.7372688695862,16,49.19054315367631,35.139277241207616,5.5,eb1168,4.8,0.38,"ladder: tau 4.8 arm, high",4.269,3.833,0.223,0.4402,0.994,0.7149,-0.06406476399560956,0,2.0751100359618
h405,1826,0.087,0.085,0.002,0.1829134720700986,3.955093099671413,0.2077747989276139,0.7089318221187305,0.9566615105432767,7,0.6026417353201636,8,349.62811229694233,17,49.19054315367631,35.139277241207616,5.5,eb1168,4.4,0.405,"ladder: tau 4.4 arm, low",4.484,3.997,0.2083,0.7025,1.0574,0.844,-0.041906900328586794,1,1.5585698226009252
h410,1829,0.0855,0.0835,0.002,0.2001093493712411,3.8616730453799892,0.21189336978810663,0.6743743096439038,0.930561961886892,7,0.5695461593106583,8,247.88258837900116,16,49.19054315367631,35.139277241207616,5.5,eb1168,4.4,0.41,"ladder: tau 4.4 arm, mid",4.359,3.902,0.2138,0.6851,1.0253,0.8254,-0.0403269546200109,1,1.695963654918601
h415,1829,0.0855,0.0835,0.002,0.22088572990705305,3.7528704209950794,0.21473684210526317,0.6693344372356105,0.9061148259976484,7,0.5483595448043107,8,260.869543330991,16,49.19054315367631,35.139277241207616,5.5,eb1168,4.4,0.415,"ladder: tau 4.4 arm, high",4.238,3.809,0.2168,0.6751,0.9941,0.8083,-0.05612957900492077,0,1.8776227780891181
