dist,n,f_sim,f_ref,gap,abs_gap,share,in_top70
h405pooled,1,0.209421,0.310310,-0.100889,0.100889,0.1318,1
h405pooled,2,0.152355,0.142230,-0.090764,0.090764,0.1186,1
h405pooled,3,0.120996,0.091792,-0.061560,0.061560,0.0804,1
h405pooled,4,0.084388,0.070502,-0.047674,0.047674,0.0623,1
h405pooled,5,0.075236,0.057622,-0.030061,0.030061,0.0393,0
h405pooled,6,0.066756,0.049383,-0.012688,0.012688,0.0166,0
h405pooled,7,0.058816,0.038847,+0.007281,0.007281,0.0095,0
h405pooled,8,0.050202,0.036163,+0.021320,0.021320,0.0279,0
h405pooled,9,0.044818,0.029917,+0.036222,0.036222,0.0473,0
h405pooled,10,0.039838,0.029461,+0.046599,0.046599,0.0609,1
h405pooled,11,0.032032,0.026221,+0.052411,0.052411,0.0685,1
h405pooled,12,0.025707,0.022213,+0.055904,0.055904,0.0731,1
h405pooled,13,0.019112,0.019693,+0.055323,0.055323,0.0723,1
h405pooled,14,0.011844,0.018723,+0.048443,0.048443,0.0633,1
h405pooled,15,0.006864,0.016164,+0.039144,0.039144,0.0511,0
h405pooled,16,0.001346,0.014385,+0.026105,0.026105,0.0341,0
h405pooled,17,0.000269,0.008678,+0.017696,0.017696,0.0231,0
h405pooled,18,0.000000,0.007188,+0.010508,0.010508,0.0137,0
h405pooled,19,0.000000,0.005824,+0.004684,0.004684,0.0061,0
h405pooled,20,0.000000,0.004684,+0.000000,0.000000,0.0000,0
h405pooled,21,0.000000,0.000000,+0.000000,0.000000,0.0000,0
finc1v725pooled,1,0.243307,0.310310,-0.067003,0.067003,0.1173,1
finc1v725pooled,2,0.144798,0.142230,-0.064435,0.064435,0.1128,1
finc1v725pooled,3,0.114203,0.091792,-0.042024,0.042024,0.0736,1
finc1v725pooled,4,0.068443,0.070502,-0.044084,0.044084,0.0772,1
finc1v725pooled,5,0.056442,0.057622,-0.045264,0.045264,0.0792,1
finc1v725pooled,6,0.056574,0.049383,-0.038073,0.038073,0.0666,1
finc1v725pooled,7,0.049189,0.038847,-0.027731,0.027731,0.0485,0
finc1v725pooled,8,0.048793,0.036163,-0.015101,0.015101,0.0264,0
