group,label,kept,reason,v_c,well,tau_ps,E0_eV,md_KE1,md_KE2,twin_KE1,twin_KE2,twin_n1_solv,twin_nbar,twin_w1,twin_midhot,twin_deepke
h405bat,pooled,1,,5.5,eb1168,4.4,0.405,0.6406,0.5493,0.6236,0.5407,0.2083,4.484,0.7025,1.0685,0.844
g4finals,a037,1,,5.5,eb1168,4.8,0.37,0.6774,0.5775,0.6601,0.5676,0.2097,4.564,0.5026,1.0788,0.7552
g4finals,b031,1,,6.0,eb1168,6.4,0.31,0.5226,0.3644,0.4963,0.36,0.1775,5.224,0.8761,0.5473,0.4958
g4finals,f1,1,,5.5,eb1168,4.8,0.365,0.6943,0.5939,0.677,0.5835,0.2025,4.717,0.5388,1.1197,0.7757
g4finals,f2,1,,5.5,eb1168,5.2,0.34,0.7233,0.6115,0.7067,0.6048,0.1981,4.742,0.5378,1.1157,0.6905
g4finals,f3,1,,5.5,eb1168,4.4,0.395,0.6675,0.5797,0.6519,0.5679,0.1981,4.751,0.7567,1.1393,0.8867
g4finals,h345,1,,5.5,eb1168,5.2,0.345,0.7031,0.5939,0.6877,0.5858,0.2101,4.567,0.4881,1.068,0.6677
g4finals,h350,1,,5.5,eb1168,5.2,0.35,0.6848,0.5757,0.6689,0.5673,0.2206,4.4,0.4504,1.0232,0.6475
g4finals,h355,1,,5.5,eb1168,5.2,0.355,0.6651,0.5591,0.6502,0.5492,0.2286,4.238,0.4199,0.9809,0.6285
g4finals,h375,1,,5.5,eb1168,4.8,0.375,0.6593,0.5607,0.6437,0.5516,0.2165,4.413,0.4685,1.0391,0.7341
g4finals,h380,1,,5.5,eb1168,4.8,0.38,0.6418,0.547,0.6274,0.536,0.223,4.269,0.4402,1.0009,0.7149
g4finals,h410,1,,5.5,eb1168,4.4,0.41,0.6251,0.5397,0.6095,0.5274,0.2138,4.359,0.6851,1.0356,0.8254
g4finals,h415,1,,5.5,eb1168,4.4,0.415,0.6117,0.5278,0.5961,0.5142,0.2168,4.238,0.6751,1.0037,0.8083
g4finals,v525,1,,5.25,eb1168,4.4,0.39,0.7744,0.6964,0.7617,0.6868,0.2124,4.33,0.4871,1.562,1.1895
g4finals,x345,1,,5.5,eb1168,4.8,0.345,0.7674,0.6606,0.7462,0.6545,0.1555,5.387,0.8157,1.3031,0.8762
g3ring,a031,1,,5.5,eb1168,4.8,0.31,0.888,0.8001,0.8727,0.7935,0.0371,6.717,1.8778,1.6967,1.1066
g3ring,a033,1,,5.5,eb1168,4.8,0.33,0.8203,0.7306,0.7991,0.7112,0.1051,5.93,1.1757,1.4611,0.9618
g3ring,a035,1,,5.5,eb1168,4.8,0.35,0.7468,0.6566,0.7285,0.6361,0.17,5.211,0.7258,1.2541,0.8483
g3ring,b029,1,,6.0,eb1168,6.4,0.29,0.6226,0.49,0.6028,0.4722,0.0857,6.046,1.4151,0.6844,0.574
g3ring,b033,1,,6.0,eb1168,6.4,0.33,0.431,0.2829,0.3943,0.2697,0.2255,4.487,0.6786,0.453,0.4557
g3ring,c50,1,,5.0,eb1168,4.8,0.34,0.9564,0.8815,0.9403,0.8696,0.1858,4.586,0.7477,2.1463,1.8176
g3ring,c65,1,,6.5,eb1168,6.4,0.33,0.2789,0.2219,0.2503,0.1931,0.1298,6.153,1.8528,0.4064,0.6921
g3ring,d030,1,,5.5,eb1168,6.4,0.3,0.7561,0.628,0.7386,0.6138,0.2029,4.374,0.7529,0.9803,0.4964
g3ring,d036,1,,6.0,eb1168,4.8,0.36,0.5222,0.4211,0.5036,0.3999,0.1365,6.391,1.8973,0.6943,0.7231
g3ring,e0482,1,,5.5,eb0482,4.8,0.36,0.7573,0.6484,0.732,0.6389,0.187,5.356,1.0057,1.2855,1.1416
g3ring,e154,1,,5.5,eb154,4.8,0.36,0.6996,0.5947,0.6734,0.5797,0.1959,4.651,0.6407,1.0983,0.659
incumbent,s1,0,not a corrected-ensemble MD group,7.25,eb1168,3.2,0.27,1.0381,0.7622,,,,,,,
incumbent,s2,0,not a corrected-ensemble MD group,7.25,eb1168,3.2,0.27,1.0454,0.7615,,,,,,,
incumbent,s3,0,not a corrected-ensemble MD group,7.25,eb1168,3.2,0.27,1.0197,0.7498,,,,,,,
incumbent,s4,0,not a corrected-ensemble MD group,7.25,eb1168,3.2,0.27,1.0286,0.751,,,,,,,
incumbent,s5,0,not a corrected-ensemble MD group,7.25,eb1168,3.2,0.27,1.0391,0.7461,,,,,,,
incumbent,pooled,0,not a corrected-ensemble MD group,7.25,eb1168,3.2,0.27,1.0341,0.7539,,,,,,,
geogrid,r1l1,0,not a corrected-ensemble MD group,7.25,eb1168,3.2,0.27,nan,nan,,,,,,,
geogrid,r1l2,0,not a corrected-ensemble MD group,7.25,eb1168,3.2,0.27,nan,nan,,,,,,,
geogrid,r1l3,0,not a corrected-ensemble MD group,7.25,eb1168,3.2,0.27,1.0424,0.7817,,,,,,,
