arm,a,c,E_bind_tag,E_bind_eV,ebind_exception,tau_ps,tau_flag,E0_eV,m,det_yield,F97,phi,subbare,trapped_frac,suppressed_frac,nbar_det,n1_solv,ratio_n1_n2,w1_solv,midhot_arith,midhot_geo,midhot_bins,deepke,deepke_bins,n1_ke_eV,ke2_eV,above115_n1,gate_n1,gate_nbar,gate
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.17,20000,0.9872,339.5,0.811,0,0.0128,0.0,17.349,0.0,nan,12.4602,nan,nan,0,13.9481,5,nan,nan,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.18,20000,0.9872,339.5,0.811,0,0.0128,0.0,17.134,0.0,nan,12.2457,nan,nan,0,13.2119,6,nan,nan,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.19,20000,0.9872,339.5,0.811,0,0.0128,0.0,16.921,0.0,nan,12.0325,nan,nan,0,12.7063,6,nan,nan,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.2,20000,0.9872,339.5,0.811,0,0.0128,0.0,16.71,0.0,nan,11.8216,nan,nan,0,11.9967,7,nan,nan,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.21,20000,0.9872,339.5,0.811,0,0.0128,0.0,16.498,0.0,nan,11.6092,nan,nan,0,11.5819,7,nan,nan,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.22,20000,0.9872,339.5,0.811,0,0.0128,0.0,16.284,0.0,nan,11.3953,nan,nan,0,10.9108,8,nan,nan,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.23,20000,0.9872,339.5,0.811,0,0.0128,0.0,16.073,0.0,nan,11.1843,nan,nan,0,10.5606,8,nan,nan,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.24,20000,0.9872,339.5,0.811,0,0.0128,0.0,15.861,0.0,nan,10.9719,nan,nan,0,10.2347,8,nan,nan,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.25,20000,0.9872,339.5,0.811,0,0.0128,0.0,15.65,0.0,nan,10.761,nan,nan,0,9.9312,8,nan,nan,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.26,20000,0.9872,339.5,0.811,0,0.0128,0.0,15.438,0.0,nan,10.5493,6.3169,6.3169,1,9.6458,8,nan,nan,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.27,20000,0.9872,339.5,0.811,0,0.0128,0.0,15.228,0.0,nan,10.3393,6.1294,6.1294,1,9.3766,8,nan,nan,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.28,20000,0.9872,339.5,0.811,0,0.0128,0.0,15.017,0.0,nan,10.1287,5.5864,5.5718,2,9.1236,8,nan,nan,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.29,20000,0.9872,339.5,0.811,0,0.0128,0.0,14.804,0.0,nan,9.9153,5.4489,5.4332,2,8.881,8,nan,nan,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.3,20000,0.9872,339.5,0.811,0,0.0128,0.0,14.594,0.0,nan,9.7054,4.9925,4.9596,3,8.6556,8,nan,nan,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.31,20000,0.9872,339.5,0.811,0,0.0128,0.0,14.381,0.0,nan,9.4922,4.8749,4.8422,3,8.4383,8,nan,nan,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.32,20000,0.9872,339.5,0.811,0,0.0128,0.0,14.17,0.0,nan,9.2812,4.4625,4.4053,4,8.2383,8,nan,nan,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.33,20000,0.9872,339.5,0.811,0,0.0128,0.0,13.962,0.0,nan,9.0731,4.3648,4.3078,4,8.0476,8,nan,nan,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.34,20000,0.9872,339.5,0.811,0,0.0128,0.0,13.75,0.0,0.0,8.8614,3.9805,3.8885,5,7.8658,8,nan,nan,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.35,20000,0.9872,339.5,0.811,0,0.0128,0.0,13.538,0.0,0.0,8.6489,3.8977,3.8071,5,7.6883,8,nan,nan,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.36,20000,0.9872,339.5,0.811,0,0.0128,0.0,13.329,0.0,0.25,8.4399,3.5427,3.4055,6,7.524,8,nan,nan,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.37,20000,0.9872,339.5,0.811,0,0.0128,0.0,13.117,0.0001,0.429,8.2284,3.4732,3.3388,6,7.3652,8,nan,nan,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.38,20000,0.9872,339.5,0.811,0,0.0128,0.0,12.909,0.0001,0.286,8.0202,3.4075,3.2758,6,7.2158,8,nan,nan,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.39,20000,0.9872,339.5,0.811,0,0.0128,0.0,12.699,0.0002,0.222,7.8099,3.075,2.8731,7,7.0724,8,nan,1.0325,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.4,20000,0.9872,339.5,0.811,0,0.0128,0.0,12.489,0.0002,0.176,7.6011,3.0197,2.822,7,6.9339,8,nan,1.0132,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.41,20000,0.9872,339.5,0.811,0,0.0128,0.0001,12.279,0.0004,0.153,7.3915,2.9661,2.7722,7,6.7999,8,nan,0.9946,nan,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.42,20000,0.9872,339.5,0.811,0,0.0128,0.0001,12.068,0.0007,0.156,7.1808,2.9134,2.7237,7,6.674,8,1.007,0.9792,0.0,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.43,20000,0.9872,339.5,0.811,0,0.0128,0.0001,11.861,0.0014,0.223,6.9734,2.864,2.6782,7,6.5531,8,0.9895,0.965,0.0,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.44,20000,0.9872,339.5,0.811,0,0.0128,0.0002,11.655,0.0023,0.272,6.7688,2.8157,2.6337,7,6.4395,8,0.9739,0.9514,0.0,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.45,20000,0.9872,339.5,0.811,0,0.0128,0.0004,11.448,0.0036,0.31,6.5633,2.769,2.5904,7,6.3271,8,0.9596,0.9368,0.0,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.46,20000,0.9872,339.5,0.811,0,0.0128,0.0006,11.244,0.0059,0.402,6.3629,2.7242,2.549,7,6.2191,8,0.945,0.922,0.0,0,0,0
linq,35.0,0.0,eb0482,0.0482,1,2.4,0,0.47,20000,0.9872,339.5,0.811,0,0.0128,0.0009,11.04,0.0085,0.457,6.1611,2.681,2.5086,7,6.1126,8,0.9339,0.9075,0.0,0,0,0
