arm,a,c,E_bind_tag,E_bind_eV,ebind_exception,m,F97,phi,subbare,trapped_frac,det_yield,K655_q05,K655_q50,K655_q95,v_inf_det_q50,t_exit_q50,R_det_q05,R_det_q50,R_det_q95,R_src_q05,R_src_q50,R_src_q95
linq,35.0,0.0,eb0482,0.0482,1,20000,339.5,0.811,0,0.0128,0.9872,0.387,0.6006,1.3606,8.868,3.89,34.52,48.31,67.25,34.56,48.47,68.39
linq,35.0,0.0,eb1168,0.11675778353879479,0,20000,339.5,0.811,0,0.0246,0.9754,0.3888,0.6038,1.3931,8.578,3.89,34.48,48.15,66.73,34.56,48.47,68.39
linq,35.0,0.0,eb154,0.154,1,20000,339.5,0.811,0,0.0325,0.9675,0.3898,0.6057,1.4173,8.418,3.9,34.46,48.06,66.44,34.56,48.47,68.39
linq,35.0,1.0,eb0482,0.0482,1,20000,433.6,1.036,0,0.0491,0.9509,0.4147,0.6779,2.2744,7.079,4.31,34.41,47.89,65.95,34.56,48.47,68.39
linq,35.0,1.0,eb1168,0.11675778353879479,0,20000,433.6,1.036,0,0.0866,0.9134,0.4172,0.684,20.8284,6.822,4.3,34.24,47.39,65.08,34.56,48.47,68.39
linq,35.0,1.0,eb154,0.154,1,20000,433.6,1.036,0,0.1085,0.8915,0.4186,0.6875,21.4336,6.687,4.29,34.17,47.13,64.75,34.56,48.47,68.39
linq,35.0,2.0,eb0482,0.0482,1,20000,527.7,1.261,0,0.1072,0.8928,0.4454,0.772,20.4314,5.811,4.75,34.18,47.16,64.89,34.56,48.47,68.39
linq,35.0,2.0,eb1168,0.11675778353879479,0,20000,527.7,1.261,0,0.1785,0.8215,0.4488,0.7841,21.828,5.629,4.7,33.93,46.32,63.69,34.56,48.47,68.39
linq,35.0,2.0,eb154,0.154,1,20000,527.7,1.261,0,0.217,0.783,0.4507,0.7916,22.0718,5.529,4.67,33.75,45.91,63.22,34.56,48.47,68.39
linq,35.0,3.0,eb0482,0.0482,1,20000,621.8,1.486,0,0.1759,0.8241,0.4794,0.8885,21.3285,4.934,5.2,33.95,46.36,63.96,34.56,48.47,68.39
linq,35.0,3.0,eb1168,0.11675778353879479,0,20000,621.8,1.486,0,0.2858,0.7142,0.4841,0.9142,22.1256,4.852,5.1,33.42,45.27,62.53,34.56,48.47,68.39
linq,35.0,3.0,eb154,0.154,1,20000,621.8,1.486,0,0.344,0.656,0.4869,0.9325,22.2711,4.807,5.04,33.13,44.65,61.92,34.56,48.47,68.39
linq,35.0,4.5,eb0482,0.0482,1,20000,762.9,1.823,0,0.2854,0.7146,0.5373,1.1252,21.8133,4.147,5.91,33.42,45.36,62.9,34.56,48.47,68.39
linq,35.0,4.5,eb1168,0.11675778353879479,0,20000,762.9,1.823,0,0.4494,0.5506,0.5454,1.2396,22.2924,4.209,5.66,32.64,43.75,61.2,34.56,48.47,68.39
linq,35.0,4.5,eb154,0.154,1,20000,762.9,1.823,0,0.5244,0.4756,0.5502,17.4098,22.3811,4.231,5.56,32.21,43.01,60.61,34.56,48.47,68.39
linq,35.0,6.13,eb0482,0.0482,1,20000,916.3,2.189,0,0.3952,0.6048,0.6111,1.5328,22.017,3.739,6.74,32.86,44.4,61.91,34.56,48.47,68.39
linq,35.0,6.13,eb1168,0.11675778353879479,0,20000,916.3,2.189,0,0.6038,0.3962,0.6258,18.3951,22.3075,3.915,6.25,31.73,42.34,59.82,34.56,48.47,68.39
linq,35.0,6.13,eb154,0.154,1,20000,916.3,2.189,0,0.6901,0.3099,0.6353,19.5096,22.3442,3.984,6.06,31.07,41.26,58.54,34.56,48.47,68.39
linq,35.0,9.0,eb0482,0.0482,1,20000,1186.3,2.835,0,0.5325,0.4674,0.7744,13.3789,22.0785,3.517,8.45,32.19,43.66,60.97,34.56,48.47,68.39
linq,35.0,9.0,eb1168,0.11675778353879479,0,20000,1186.3,2.835,0,0.8018,0.1982,0.8198,19.0922,22.1217,3.863,7.24,30.04,39.65,56.98,34.56,48.47,68.39
linq,35.0,9.0,eb154,0.154,1,20000,1186.3,2.835,0,0.8788,0.1212,0.8587,19.8257,22.1346,3.966,6.88,29.13,38.05,55.85,34.56,48.47,68.39
linq,35.0,12.79,eb0482,0.0482,1,20000,1542.9,3.687,0,0.6308,0.3692,1.063,15.3204,21.9579,3.486,11.44,31.55,42.95,59.56,34.56,48.47,68.39
linq,35.0,12.79,eb1168,0.11675778353879479,0,20000,1542.9,3.687,0,0.9306,0.0694,1.3355,19.1899,21.8319,3.935,8.54,27.88,36.12,54.26,34.56,48.47,68.39
linq,35.0,12.79,eb154,0.154,1,20000,1542.9,3.687,0,0.9735,0.0266,16.1853,19.9212,21.922,4.117,7.83,26.2,33.0,52.49,34.56,48.47,68.39
