arm,a,c,E_bind_tag,E_bind_eV,ebind_exception,tau_ps,tau_flag,E0_eV,m,det_yield,F97,phi,subbare,trapped_frac,suppressed_frac,nbar_det,n1_solv,ratio_n1_n2,w1_solv,midhot_arith,midhot_geo,midhot_bins,deepke,deepke_bins,n1_ke_eV,ke2_eV,above115_n1,gate_n1,gate_nbar,gate
lin,15.0,,eb0482,0.0482,1,2.4,0,0.17,20000,1.0,145.5,0.348,2,0.0,0.0,16.385,0.0,nan,11.4965,nan,nan,0,20.9322,6,nan,nan,nan,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.18,20000,1.0,145.5,0.348,2,0.0,0.0,16.117,0.0,nan,11.2288,nan,nan,0,20.5555,6,nan,nan,nan,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.19,20000,1.0,145.5,0.348,2,0.0,0.0,15.856,0.0,nan,10.967,nan,nan,0,19.3508,7,nan,nan,nan,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.2,20000,1.0,145.5,0.348,2,0.0,0.0,15.587,0.0,nan,10.6983,nan,nan,0,19.0335,7,nan,nan,nan,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.21,20000,1.0,145.5,0.348,2,0.0,0.0,15.318,0.0,nan,10.4294,nan,nan,0,17.8952,8,nan,nan,nan,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.22,20000,1.0,145.5,0.348,2,0.0,0.0,15.053,0.0,nan,10.1643,nan,nan,0,17.6263,8,nan,nan,nan,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.23,20000,1.0,145.5,0.348,2,0.0,0.0,14.79,0.0,nan,9.9013,nan,nan,0,17.3773,8,nan,nan,nan,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.24,20000,1.0,145.5,0.348,2,0.0,0.0,14.523,0.0,nan,9.6341,nan,nan,0,17.134,8,nan,nan,nan,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.25,20000,1.0,145.5,0.348,2,0.0,0.0,14.257,0.0,nan,9.3687,8.4697,8.4697,1,16.905,8,nan,nan,nan,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.26,20000,1.0,145.5,0.348,2,0.0,0.0,13.993,0.0,nan,9.1044,7.6896,7.6599,2,16.6864,8,nan,nan,nan,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.27,20000,1.0,145.5,0.348,2,0.0,0.0,13.728,0.0,nan,8.8392,7.6099,7.5802,2,16.4768,8,nan,nan,nan,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.28,20000,1.0,145.5,0.348,2,0.0,0.0,13.463,0.0,nan,8.574,6.9651,6.8991,3,16.2772,8,nan,nan,nan,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.29,20000,1.0,145.5,0.348,2,0.0,0.0,13.197,0.0,nan,8.3084,6.8903,6.8253,3,16.0848,8,nan,nan,nan,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.3,20000,1.0,145.5,0.348,2,0.0,0.0,12.931,0.0,nan,8.0419,6.306,6.1909,4,15.9,8,nan,nan,nan,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.31,20000,1.0,145.5,0.348,2,0.0,0.0,12.665,0.0,nan,7.7762,6.2411,6.1273,4,15.7238,8,nan,nan,nan,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.32,20000,1.0,145.5,0.348,2,0.0,0.0,12.404,0.0,nan,7.5155,5.7007,5.5201,5,15.5608,8,nan,nan,nan,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.33,20000,1.0,145.5,0.348,2,0.0,0.0,12.138,0.0,0.0,7.2491,5.6448,5.4662,5,15.3995,8,nan,nan,nan,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.34,20000,1.0,145.5,0.348,2,0.0,0.0,11.873,0.0,0.0,6.9846,5.1416,4.8772,6,15.2451,8,nan,nan,nan,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.35,20000,1.0,145.5,0.348,2,0.0,0.0,11.606,0.0001,0.4,6.7177,5.0949,4.8334,6,15.0936,8,nan,nan,nan,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.36,20000,1.0,145.5,0.348,2,0.0,0.0,11.342,0.0001,0.286,6.4534,5.0484,4.7895,6,14.9499,8,nan,nan,nan,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.37,20000,1.0,145.5,0.348,2,0.0,0.0,11.08,0.0001,0.125,6.1913,4.5715,4.1876,7,14.8118,8,nan,1.3897,nan,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.38,20000,1.0,145.5,0.348,2,0.0,0.0,10.814,0.0003,0.133,5.9255,4.5314,4.1509,7,14.6735,8,nan,1.376,nan,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.39,20000,1.0,145.5,0.348,2,0.0,0.0001,10.55,0.0004,0.116,5.6625,4.4935,4.1169,7,14.5477,8,nan,1.366,nan,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.4,20000,1.0,145.5,0.348,2,0.0,0.0001,10.289,0.0008,0.124,5.401,4.457,4.0839,7,14.4234,8,1.3481,1.3564,1.0,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.41,20000,1.0,145.5,0.348,2,0.0,0.0001,10.028,0.002,0.186,5.1408,4.4209,4.051,7,14.3044,8,1.3376,1.3461,1.0,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.42,20000,1.0,145.5,0.348,2,0.0,0.0002,9.77,0.0037,0.248,4.883,4.3863,4.02,7,14.1866,8,1.3287,1.3368,1.0,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.43,20000,1.0,145.5,0.348,2,0.0,0.0004,9.512,0.0064,0.308,4.6272,4.3527,3.9894,7,14.0726,8,1.3192,1.3268,1.0,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.44,20000,1.0,145.5,0.348,2,0.0,0.0008,9.257,0.01,0.347,4.3757,4.3197,3.9593,7,13.9636,8,1.3116,1.317,1.0,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.45,20000,1.0,145.5,0.348,2,0.0,0.0015,9.006,0.0149,0.408,4.1308,4.2876,3.9302,7,13.8521,8,1.3031,1.3077,1.0,0,0,0
lin,15.0,,eb0482,0.0482,1,2.4,0,0.46,20000,1.0,145.5,0.348,2,0.0,0.0029,8.756,0.0209,0.464,3.8928,4.2562,3.9016,7,13.7486,8,1.2944,1.2988,1.0,0,0,0
