arm,a,c,E_bind_tag,E_bind_eV,ebind_exception,m,F97,phi,subbare,trapped_frac,det_yield,K655_q05,K655_q50,K655_q95,v_inf_det_q50,t_exit_q50,R_det_q05,R_det_q50,R_det_q95,R_src_q05,R_src_q50,R_src_q95
lin,15.0,,eb0482,0.0482,1,20000,145.5,0.348,2,0.0,1.0,0.3506,0.5091,0.899,12.661,3.33,34.56,48.47,68.39,34.56,48.47,68.39
lin,15.0,,eb1168,0.11675778353879479,0,20000,145.5,0.348,2,0.0,1.0,0.3517,0.5105,0.9012,12.419,3.34,34.56,48.47,68.39,34.56,48.47,68.39
lin,15.0,,eb154,0.154,1,20000,145.5,0.348,2,0.0,1.0,0.3523,0.5112,0.9024,12.286,3.34,34.56,48.47,68.39,34.56,48.47,68.39
lin,17.5,,eb0482,0.0482,1,20000,169.8,0.406,2,0.0,1.0,0.3546,0.5184,0.9327,12.178,3.39,34.56,48.47,68.39,34.56,48.47,68.39
lin,17.5,,eb1168,0.11675778353879479,0,20000,169.8,0.406,2,0.0,1.0,0.3558,0.5199,0.9354,11.927,3.4,34.56,48.47,68.39,34.56,48.47,68.39
lin,17.5,,eb154,0.154,1,20000,169.8,0.406,2,0.0,1.0,0.3564,0.5207,0.9369,11.789,3.4,34.56,48.47,68.39,34.56,48.47,68.39
lin,20.0,,eb0482,0.0482,1,20000,194.0,0.464,1,0.0,1.0,0.3588,0.5282,0.9703,11.695,3.45,34.56,48.47,68.39,34.56,48.47,68.39
lin,20.0,,eb1168,0.11675778353879479,0,20000,194.0,0.464,1,0.0001,1.0,0.36,0.5298,0.9737,11.437,3.46,34.56,48.47,68.39,34.56,48.47,68.39
lin,20.0,,eb154,0.154,1,20000,194.0,0.464,1,0.0001,1.0,0.3607,0.5307,0.9756,11.294,3.46,34.56,48.47,68.39,34.56,48.47,68.39
lin,22.5,,eb0482,0.0482,1,20000,218.2,0.522,1,0.0001,1.0,0.3631,0.5386,1.0126,11.214,3.51,34.56,48.47,68.39,34.56,48.47,68.39
lin,22.5,,eb1168,0.11675778353879479,0,20000,218.2,0.522,1,0.0003,0.9997,0.3644,0.5403,1.017,10.947,3.52,34.56,48.47,68.37,34.56,48.47,68.39
