arm,a,c,E_bind_tag,tau_ps,E0_eV,n,weight,mean_KE_eV
lin,27.5,,eb0482,4.8,0.35,0,0.0767,0.9678
lin,27.5,,eb0482,4.8,0.35,1,0.1835,0.8922
lin,27.5,,eb0482,4.8,0.35,2,0.1465,0.827
lin,27.5,,eb0482,4.8,0.35,3,0.1187,0.7776
lin,27.5,,eb0482,4.8,0.35,4,0.0831,0.7376
lin,27.5,,eb0482,4.8,0.35,5,0.0719,0.7023
lin,27.5,,eb0482,4.8,0.35,6,0.0639,0.6672
lin,27.5,,eb0482,4.8,0.35,7,0.0538,0.6279
lin,27.5,,eb0482,4.8,0.35,8,0.0438,0.5863
lin,27.5,,eb0482,4.8,0.35,9,0.0369,0.5437
lin,27.5,,eb0482,4.8,0.35,10,0.0281,0.4981
lin,27.5,,eb0482,4.8,0.35,11,0.0241,0.4526
lin,27.5,,eb0482,4.8,0.35,12,0.0189,0.4039
lin,27.5,,eb0482,4.8,0.35,13,0.0146,0.3551
lin,27.5,,eb0482,4.8,0.35,14,0.0113,0.3036
lin,27.5,,eb0482,4.8,0.35,15,0.008,0.2526
lin,27.5,,eb0482,4.8,0.35,16,0.0059,0.2025
lin,27.5,,eb0482,4.8,0.35,17,0.0044,0.1515
lin,27.5,,eb0482,4.8,0.35,18,0.0032,0.1015
lin,27.5,,eb0482,4.8,0.35,19,0.0017,0.0607
lin,27.5,,eb0482,4.8,0.35,20,0.0011,0.0213
lin,27.5,,eb1168,4.8,0.35,0,0.074,0.9307
lin,27.5,,eb1168,4.8,0.35,1,0.182,0.8546
lin,27.5,,eb1168,4.8,0.35,2,0.1472,0.7885
lin,27.5,,eb1168,4.8,0.35,3,0.1184,0.7382
lin,27.5,,eb1168,4.8,0.35,4,0.0836,0.6975
lin,27.5,,eb1168,4.8,0.35,5,0.0725,0.6612
lin,27.5,,eb1168,4.8,0.35,6,0.0644,0.6251
lin,27.5,,eb1168,4.8,0.35,7,0.0546,0.5848
lin,27.5,,eb1168,4.8,0.35,8,0.044,0.5424
lin,27.5,,eb1168,4.8,0.35,9,0.0373,0.499
lin,27.5,,eb1168,4.8,0.35,10,0.0285,0.453
lin,27.5,,eb1168,4.8,0.35,11,0.0245,0.4063
lin,27.5,,eb1168,4.8,0.35,12,0.0192,0.3568
lin,27.5,,eb1168,4.8,0.35,13,0.0149,0.3073
lin,27.5,,eb1168,4.8,0.35,14,0.0114,0.2556
lin,27.5,,eb1168,4.8,0.35,15,0.0083,0.2048
lin,27.5,,eb1168,4.8,0.35,16,0.006,0.1547
lin,27.5,,eb1168,4.8,0.35,17,0.0045,0.1044
lin,27.5,,eb1168,4.8,0.35,18,0.0031,0.0571
lin,27.5,,eb1168,4.8,0.35,19,0.0018,0.0205
lin,27.5,,eb154,4.8,0.35,0,0.0726,0.9105
lin,27.5,,eb154,4.8,0.35,1,0.1813,0.8342
lin,27.5,,eb154,4.8,0.35,2,0.1473,0.7676
lin,27.5,,eb154,4.8,0.35,3,0.1189,0.7169
lin,27.5,,eb154,4.8,0.35,4,0.0835,0.6758
lin,27.5,,eb154,4.8,0.35,5,0.0728,0.6392
lin,27.5,,eb154,4.8,0.35,6,0.0656,0.6022
lin,27.5,,eb154,4.8,0.35,7,0.0544,0.5614
lin,27.5,,eb154,4.8,0.35,8,0.0442,0.5188
lin,27.5,,eb154,4.8,0.35,9,0.0379,0.4748
lin,27.5,,eb154,4.8,0.35,10,0.0284,0.4285
lin,27.5,,eb154,4.8,0.35,11,0.0247,0.3818
lin,27.5,,eb154,4.8,0.35,12,0.0194,0.3319
lin,27.5,,eb154,4.8,0.35,13,0.015,0.2823
lin,27.5,,eb154,4.8,0.35,14,0.0117,0.2302
lin,27.5,,eb154,4.8,0.35,15,0.0082,0.1797
lin,27.5,,eb154,4.8,0.35,16,0.0062,0.1301
lin,27.5,,eb154,4.8,0.35,17,0.0044,0.0796
lin,27.5,,eb154,4.8,0.35,18,0.0029,0.0352
lin,27.5,,eb154,4.8,0.35,19,0.0007,0.0105
lin,30.0,,eb0482,4.8,0.36,0,0.1067,0.9027
lin,30.0,,eb0482,4.8,0.36,1,0.1861,0.817
lin,30.0,,eb0482,4.8,0.36,2,0.1383,0.7491
lin,30.0,,eb0482,4.8,0.36,3,0.1105,0.698
lin,30.0,,eb0482,4.8,0.36,4,0.0757,0.6576
lin,30.0,,eb0482,4.8,0.36,5,0.0675,0.622
lin,30.0,,eb0482,4.8,0.36,6,0.06,0.5867
lin,30.0,,eb0482,4.8,0.36,7,0.051,0.5476
lin,30.0,,eb0482,4.8,0.36,8,0.0412,0.5072
lin,30.0,,eb0482,4.8,0.36,9,0.0357,0.4661
lin,30.0,,eb0482,4.8,0.36,10,0.028,0.4232
lin,30.0,,eb0482,4.8,0.36,11,0.0241,0.3792
lin,30.0,,eb0482,4.8,0.36,12,0.0188,0.3342
lin,30.0,,eb0482,4.8,0.36,13,0.0155,0.2896
lin,30.0,,eb0482,4.8,0.36,14,0.0115,0.2449
lin,30.0,,eb0482,4.8,0.36,15,0.0095,0.2003
lin,30.0,,eb0482,4.8,0.36,16,0.007,0.1549
lin,30.0,,eb0482,4.8,0.36,17,0.0051,0.1121
lin,30.0,,eb0482,4.8,0.36,18,0.0038,0.072
lin,30.0,,eb0482,4.8,0.36,19,0.0028,0.0367
