arm,a,c,E_bind_tag,E_bind_eV,ebind_exception,tau_ps,tau_flag,E0_eV,m,det_yield,F97,phi,subbare,trapped_frac,suppressed_frac,nbar_det,n1_solv,ratio_n1_n2,w1_solv,midhot_arith,midhot_geo,midhot_bins,deepke,deepke_bins,n1_ke_eV,ke2_eV,above115_n1,gate_n1,gate_nbar,gate,twin_tail_ge10,twin_tail_ge13
lin,15.0,,eb0482,0.0482,1,3.6,0,0.17,20000,1.0,145.5,0.348,2,0.0,0.0,13.8,0.0,nan,8.9159,nan,nan,0,16.1977,8,nan,nan,nan,0,0,0,0.99968,0.72308
lin,15.0,,eb0482,0.0482,1,3.6,0,0.18,20000,1.0,145.5,0.348,2,0.0,0.0,13.381,0.0,nan,8.4969,nan,nan,0,15.7449,8,nan,nan,nan,0,0,0,0.99645,0.62405
lin,15.0,,eb0482,0.0482,1,3.6,0,0.19,20000,1.0,145.5,0.348,2,0.0,0.0,12.968,0.0,nan,8.087,8.5364,8.5364,1,15.3295,8,nan,nan,nan,0,0,0,0.98095,0.53785
lin,15.0,,eb0482,0.0482,1,3.6,0,0.2,20000,1.0,145.5,0.348,2,0.0,0.0,12.548,0.0,nan,7.6707,8.3431,8.3431,1,14.9399,8,nan,nan,nan,0,0,0,0.9408,0.46188
lin,15.0,,eb0482,0.0482,1,3.6,0,0.21,20000,1.0,145.5,0.348,2,0.0,0.0,12.134,0.0,nan,7.2591,7.544,7.5178,2,14.5754,8,nan,nan,nan,0,0,0,0.88017,0.39842
lin,15.0,,eb0482,0.0482,1,3.6,0,0.22,20000,1.0,145.5,0.348,2,0.0,0.0,11.719,0.0,nan,6.8469,6.8699,6.8127,3,14.2333,8,nan,nan,nan,0,0,0,0.80665,0.34687
lin,15.0,,eb0482,0.0482,1,3.6,0,0.23,20000,1.0,145.5,0.348,2,0.0,0.0,11.3,0.0,nan,6.4351,6.7332,6.6771,3,13.9132,8,nan,nan,nan,0,0,0,0.7303,0.2989
lin,15.0,,eb0482,0.0482,1,3.6,0,0.24,20000,1.0,145.5,0.348,2,0.0,0.0,10.888,0.0,nan,6.029,6.1322,6.0332,4,13.6199,8,nan,nan,nan,0,0,0,0.65687,0.2601
lin,15.0,,eb0482,0.0482,1,3.6,0,0.25,20000,1.0,145.5,0.348,2,0.0,0.0,10.47,0.0,nan,5.6155,5.5695,5.4122,5,13.3346,8,nan,nan,nan,0,0,0,0.58785,0.22777
lin,15.0,,eb0482,0.0482,1,3.6,0,0.26,20000,1.0,145.5,0.348,2,0.0,0.0,10.055,0.0,nan,5.2089,5.4684,5.3147,5,13.0692,8,nan,nan,nan,0,0,0,0.52697,0.2001
lin,15.0,,eb0482,0.0482,1,3.6,0,0.27,20000,1.0,145.5,0.348,2,0.0,0.0,9.638,0.0,0.0,4.802,4.9531,4.7241,6,12.8151,8,nan,nan,nan,0,0,0,0.4713,0.17665
lin,15.0,,eb0482,0.0482,1,3.6,0,0.28,20000,1.0,145.5,0.348,2,0.0,0.0,9.225,0.0,0.0,4.4051,4.8682,4.644,6,12.5784,8,nan,nan,nan,0,0,0,0.42237,0.15687
lin,15.0,,eb0482,0.0482,1,3.6,0,0.29,20000,1.0,145.5,0.348,2,0.0,0.0,8.809,0.0001,0.069,4.0023,4.3819,4.0466,7,12.3591,8,nan,1.3825,nan,0,0,0,0.37943,0.1398
lin,15.0,,eb0482,0.0482,1,3.6,0,0.3,20000,1.0,145.5,0.348,2,0.0,0.0,8.396,0.0003,0.046,3.6152,4.3101,3.9811,7,12.1375,8,nan,1.3618,nan,0,0,0,0.343,0.12415
lin,15.0,,eb0482,0.0482,1,3.6,0,0.31,20000,1.0,145.5,0.348,2,0.0,0.0,7.988,0.0009,0.063,3.2321,4.2421,3.9199,7,11.9328,8,1.3523,1.3444,1.0,0,0,0,0.30688,0.11292
lin,15.0,,eb0482,0.0482,1,3.6,0,0.32,20000,1.0,145.5,0.348,2,0.0,0.0001,7.587,0.0036,0.116,2.8652,4.1764,3.8601,7,11.7412,8,1.3301,1.3253,1.0,0,0,0,0.2766,0.10141
lin,15.0,,eb0482,0.0482,1,3.6,0,0.33,20000,1.0,145.5,0.348,2,0.0,0.0002,7.191,0.0103,0.193,2.5056,4.1125,3.8017,7,11.5578,8,1.3141,1.3067,1.0,0,0,0,0.25012,0.09184
lin,15.0,,eb0482,0.0482,1,3.6,0,0.34,20000,1.0,145.5,0.348,2,0.0,0.0006,6.807,0.0229,0.302,2.1674,4.0519,3.7466,7,11.3804,8,1.2978,1.2896,1.0,0,1,0,0.22712,0.0829
lin,15.0,,eb0482,0.0482,1,3.6,0,0.35,20000,1.0,145.5,0.348,2,0.0,0.0022,6.43,0.0429,0.439,1.8531,3.9937,3.6931,7,11.2045,8,1.282,1.2721,1.0,0,1,0,0.20612,0.07551
lin,15.0,,eb0482,0.0482,1,3.6,0,0.36,20000,1.0,145.5,0.348,2,0.0,0.0065,6.065,0.0683,0.6,1.5729,3.9372,3.6413,7,11.0402,8,1.2665,1.2552,1.0,0,1,0,0.18956,0.06908
lin,15.0,,eb0482,0.0482,1,3.6,0,0.37,20000,1.0,145.5,0.348,2,0.0,0.0147,5.712,0.0964,0.763,1.3321,3.8833,3.5916,7,10.8839,8,1.2518,1.2387,1.0,0,1,0,0.17447,0.06374
