cell,law,N_he,R_A,m_chords,depth_mean_A,depth_sd_A,n_eject_mean,K_q05,K_q50,K_q95,midhot_bins,deepke_bins,twin_trap,md_trap,d_trap,twin_supp,md_supp,d_supp,twin_nbar,md_nbar,d_nbar,twin_n1_solv,md_n1_solv,d_n1_solv,twin_w1,md_w1,d_w1,twin_midhot_geo,md_midhot_geo,d_midhot_geo,twin_deepke,md_deepke,d_deepke,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21
r1l1,l1,1727,26.6,1,26.6,0.0,21.0,0.9133,0.9133,0.9133,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.39,0.61,0.0,0.0,0.0,5.6363,4.98,0.6563,nan,1.04,nan,nan,1.83,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r1l2,l2,1727,26.6,20000,24.84,0.84,21.0,0.7977,0.9095,1.0328,3,3,0.0,0.0,0.0,0.0,0.0,0.0,9.0709,8.35,0.7209,0.0,0.0,0.0,5.2688,4.76,0.5088,1.5075,1.25,0.2575,1.6688,1.58,0.0888,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.031,0.2031,0.4679,0.2524,0.0413,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r1l3,l3,1727,26.6,20000,8.91,4.54,16.58,0.1816,0.5341,2.1498,7,7,0.0239,0.059,-0.0351,0.1857,0.167,0.0187,4.6793,4.46,0.2193,0.2232,0.235,-0.0118,1.073,0.81,0.263,1.082,1.02,0.062,0.7525,0.51,0.2425,0.1857,0.1818,0.1009,0.0754,0.0519,0.0476,0.0447,0.0398,0.0376,0.0389,0.0372,0.0371,0.0345,0.029,0.0257,0.0213,0.0105,0.0004,0.0,0.0,0.0,0.0
r2l1,l1,3605,34.0,1,34.0,0.0,21.0,1.48,1.48,1.48,0,1,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.58,1.42,0.0,0.0,0.0,9.4252,7.96,1.4652,nan,nan,nan,1.9347,1.49,0.4447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r2l2,l2,3605,34.0,20000,29.28,1.82,21.0,1.0641,1.4535,1.9514,1,8,0.0,0.0,0.0,0.0,0.0,0.0,13.9143,12.3,1.6143,0.0,0.0,0.0,9.0695,7.53,1.5395,1.7025,1.42,0.2825,1.8132,1.38,0.4332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0016,0.0081,0.0285,0.064,0.1166,0.1729,0.2118,0.1941,0.134,0.0576,0.0101,0.0004,0.0,0.0
r2l3,l3,3605,34.0,20000,10.76,5.96,17.25,0.1959,0.7618,40.7669,7,8,0.1244,0.196,-0.0716,0.1469,0.14,0.0069,6.2762,5.33,0.9462,0.1785,0.184,-0.0055,2.4752,1.4,1.0752,1.1715,1.11,0.0615,1.0811,0.75,0.3311,0.1469,0.1523,0.0894,0.0672,0.0468,0.0419,0.0385,0.0384,0.0358,0.0391,0.0369,0.0381,0.0355,0.0357,0.0333,0.0338,0.0287,0.0284,0.0206,0.0117,0.0011,0.0
r3l1,l1,11059,49.4,1,49.4,0.0,21.0,3.4871,3.4871,3.4871,0,0,0.0,0.538,-0.538,0.0,0.0,0.0,20.0,18.35,1.65,0.0,0.0,0.0,15.1114,13.46,1.6514,nan,nan,nan,nan,1.94,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
r3l2,l2,11059,49.4,20000,35.05,4.27,21.0,1.4797,3.1255,42.9111,0,8,0.3394,0.476,-0.1366,0.0,0.0,0.0,17.9222,15.12,2.8022,0.0,0.0,0.0,13.0336,10.24,2.7936,nan,nan,nan,2.4732,2.19,0.2832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0008,0.0026,0.0058,0.0143,0.0268,0.0398,0.0592,0.0852,0.1163,0.1543,0.2025,0.2456,0.0468
r3l3,l3,11059,49.4,20000,14.62,8.92,18.19,0.2237,1.5506,44.7204,7,8,0.3053,0.404,-0.0987,0.1154,0.123,-0.0076,8.16,6.3,1.86,0.1347,0.151,-0.0163,4.3364,2.31,2.0264,1.2733,1.31,-0.0367,1.6247,1.59,0.0347,0.1154,0.1191,0.0756,0.0577,0.0411,0.0399,0.0347,0.0342,0.0331,0.0327,0.0354,0.0341,0.0367,0.0347,0.0351,0.0367,0.0371,0.0412,0.0416,0.0414,0.0362,0.0062
r4l2,l2,29227,68.3,20000,40.48,7.65,21.0,1.8707,39.3422,45.2896,0,7,0.704,0.8,-0.096,0.0,0.0,0.0,18.4353,15.28,3.1553,0.0,0.0,0.0,13.5466,10.39,3.1566,nan,nan,nan,2.3259,1.93,0.3959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0007,0.0003,0.0037,0.0101,0.0182,0.0313,0.0472,0.0682,0.0941,0.1329,0.1909,0.2792,0.1232
r4l3,l3,29227,68.3,20000,19.35,12.56,18.88,0.2587,3.2665,45.9496,7,8,0.4614,0.57,-0.1086,0.1026,0.126,-0.0234,9.2084,6.71,2.4984,0.1151,0.128,-0.0129,5.3724,2.83,2.5424,1.3109,1.33,-0.0191,1.864,1.97,-0.106,0.1026,0.1033,0.0637,0.0521,0.0389,0.0343,0.0324,0.0316,0.034,0.0327,0.0336,0.035,0.0334,0.0347,0.0362,0.038,0.0402,0.0432,0.0455,0.0517,0.0581,0.0249
