cell,n,weight,mean_KE_eV
r1l1,9,1.0,0.2611
r1l2,6,0.0019,0.3927
r1l2,7,0.031,0.3408
r1l2,8,0.2031,0.2994
r1l2,9,0.4679,0.2655
r1l2,10,0.2524,0.2359
r1l2,11,0.0413,0.2065
r1l2,12,0.0023,0.1785
r1l3,0,0.1857,1.3081
r1l3,1,0.1818,0.9761
r1l3,2,0.1009,0.7287
r1l3,3,0.0754,0.5577
r1l3,4,0.0519,0.4347
r1l3,5,0.0476,0.3539
r1l3,6,0.0447,0.2886
r1l3,7,0.0398,0.2401
r1l3,8,0.0376,0.2043
r1l3,9,0.0389,0.1695
r1l3,10,0.0372,0.1376
r1l3,11,0.0371,0.1109
r1l3,12,0.0345,0.0912
r1l3,13,0.029,0.0753
r1l3,14,0.0257,0.0597
r1l3,15,0.0213,0.0452
r1l3,16,0.0105,0.0293
r2l1,14,1.0,0.1576
r2l2,8,0.0016,0.3267
r2l2,9,0.0081,0.2917
r2l2,10,0.0285,0.2617
r2l2,11,0.064,0.2344
r2l2,12,0.1166,0.2093
r2l2,13,0.1729,0.1851
r2l2,14,0.2118,0.1615
r2l2,15,0.1941,0.1382
r2l2,16,0.134,0.1147
r2l2,17,0.0576,0.0909
r2l2,18,0.0101,0.0673
r2l3,0,0.1469,1.3192
r2l3,1,0.1523,0.9889
r2l3,2,0.0894,0.7471
r2l3,3,0.0672,0.5847
r2l3,4,0.0468,0.4695
r2l3,5,0.0419,0.3789
r2l3,6,0.0385,0.3172
r2l3,7,0.0384,0.2685
r2l3,8,0.0358,0.2333
r2l3,9,0.0391,0.2006
r2l3,10,0.0369,0.174
r2l3,11,0.0381,0.1438
r2l3,12,0.0355,0.1251
r2l3,13,0.0357,0.1076
r2l3,14,0.0333,0.0923
r2l3,15,0.0338,0.0806
r2l3,16,0.0287,0.0662
r2l3,17,0.0284,0.0523
r2l3,18,0.0206,0.0366
r2l3,19,0.0117,0.0214
r2l3,20,0.0011,0.0118
r3l1,20,1.0,0.0582
r3l2,9,0.0008,0.3104
r3l2,10,0.0026,0.2876
r3l2,11,0.0058,0.2668
r3l2,12,0.0143,0.2498
r3l2,13,0.0268,0.233
r3l2,14,0.0398,0.2184
r3l2,15,0.0592,0.2047
r3l2,16,0.0852,0.1908
r3l2,17,0.1163,0.1741
r3l2,18,0.1543,0.1502
r3l2,19,0.2025,0.1085
r3l2,20,0.2456,0.0561
r3l2,21,0.0468,0.0244
r3l3,0,0.1154,1.3223
r3l3,1,0.1191,1.001
r3l3,2,0.0756,0.7652
r3l3,3,0.0577,0.6059
r3l3,4,0.0411,0.4953
r3l3,5,0.0399,0.411
r3l3,6,0.0347,0.352
r3l3,7,0.0342,0.3076
r3l3,8,0.0331,0.2705
r3l3,9,0.0327,0.2447
r3l3,10,0.0354,0.2135
r3l3,11,0.0341,0.1918
r3l3,12,0.0367,0.1627
r3l3,13,0.0347,0.1542
r3l3,14,0.0351,0.1415
r3l3,15,0.0367,0.1298
r3l3,16,0.0371,0.1187
r3l3,17,0.0412,0.1063
r3l3,18,0.0416,0.0895
r3l3,19,0.0414,0.0706
r3l3,20,0.0362,0.0444
r3l3,21,0.0062,0.0207
r4l2,11,0.0037,0.2542
r4l2,12,0.0101,0.2344
r4l2,13,0.0182,0.2159
r4l2,14,0.0313,0.2002
r4l2,15,0.0472,0.1849
r4l2,16,0.0682,0.1702
r4l2,17,0.0941,0.1566
r4l2,18,0.1329,0.1434
r4l2,19,0.1909,0.1307
r4l2,20,0.2792,0.1185
r4l2,21,0.1232,0.1077
r4l3,0,0.1026,1.3191
r4l3,1,0.1033,1.0027
r4l3,2,0.0637,0.7727
r4l3,3,0.0521,0.6158
r4l3,4,0.0389,0.508
r4l3,5,0.0343,0.427
r4l3,6,0.0324,0.3649
r4l3,7,0.0316,0.3178
r4l3,8,0.034,0.2833
r4l3,9,0.0327,0.2539
r4l3,10,0.0336,0.2304
r4l3,11,0.035,0.211
r4l3,12,0.0334,0.1887
r4l3,13,0.0347,0.1707
r4l3,14,0.0362,0.1629
r4l3,15,0.038,0.1487
r4l3,16,0.0402,0.1401
r4l3,17,0.0432,0.1324
r4l3,18,0.0455,0.1218
r4l3,19,0.0517,0.1118
r4l3,20,0.0581,0.1026
r4l3,21,0.0249,0.0923
