v_c,p_tail,E_bind_tag,E_bind_eV,authority,ebind_exception,m,trapped_frac,det_yield,K655_q05,K655_q50,K655_q95,v_inf_det_q50,t_exit_q50,R_det_q05,R_det_q50,R_det_q95,R_src_q05,R_src_q50,R_src_q95
5.0,-1.0,eb0482,0.0482,tier0,1,20000,0.0021,0.9979,0.3664,0.548,1.1315,10.657,3.57,34.55,48.44,68.06,34.56,48.47,68.39
5.0,-1.0,eb1168,0.11675778353879479,tier0,0,20000,0.0111,0.9889,0.3678,0.5501,1.1461,10.378,3.58,34.53,48.32,67.37,34.56,48.47,68.39
5.0,-1.0,eb154,0.154,tier0,1,20000,0.0161,0.9839,0.3686,0.5513,1.1549,10.225,3.58,34.5,48.26,67.07,34.56,48.47,68.39
5.5,-1.0,eb0482,0.0482,tier0,1,20000,0.0111,0.9889,0.3837,0.5998,1.7482,8.458,3.87,34.53,48.32,67.41,34.56,48.47,68.39
5.5,-1.0,eb1168,0.11675778353879479,tier0,0,20000,0.0535,0.9465,0.3855,0.6036,16.1553,8.248,3.87,34.4,47.83,65.87,34.56,48.47,68.39
5.5,-1.0,eb154,0.154,tier0,1,20000,0.0761,0.9239,0.3865,0.6058,20.3896,8.13,3.86,34.3,47.54,65.28,34.56,48.47,68.39
6.0,-1.0,eb0482,0.0482,tier0,1,20000,0.0249,0.9751,0.4106,0.7207,2.528,5.242,4.5,34.48,48.15,66.99,34.56,48.47,68.39
6.0,-1.0,eb1168,0.11675778353879479,tier0,0,20000,0.1294,0.8706,0.4133,0.7323,20.9773,5.345,4.45,34.1,46.9,64.66,34.56,48.47,68.39
6.0,-1.0,eb154,0.154,tier0,1,20000,0.1861,0.8139,0.4149,0.7392,21.6164,5.401,4.4,33.92,46.25,63.71,34.56,48.47,68.39
6.5,-1.0,eb0482,0.0482,tier0,1,20000,0.0345,0.9655,0.4599,0.94,3.1688,4.004,5.86,34.45,48.04,66.75,34.56,48.47,68.39
6.5,-1.0,eb1168,0.11675778353879479,tier0,0,20000,0.2132,0.7868,0.4657,0.9718,21.3768,4.105,5.72,33.76,46.01,63.58,34.56,48.47,68.39
6.5,-1.0,eb154,0.154,tier0,1,20000,0.3117,0.6883,0.469,0.9955,21.8383,4.22,5.57,33.29,45.05,62.34,34.56,48.47,68.39
7.25,-1.0,eb0482,0.0482,tier0,1,20000,0.0401,0.9599,0.6027,1.2467,3.7609,3.495,7.87,34.43,47.97,66.57,34.56,48.47,68.39
7.25,-1.0,eb1168,0.11675778353879479,tier0,0,20000,0.308,0.692,0.6155,1.3337,21.5046,3.656,7.7,33.3,45.14,62.41,34.56,48.47,68.39
7.25,-1.0,eb154,0.154,tier0,1,20000,0.4639,0.5361,0.6235,1.4543,21.8995,3.872,7.44,32.56,43.68,61.05,34.56,48.47,68.39
8.0,-1.0,eb0482,0.0482,tier0,1,20000,0.0421,0.9579,0.733,1.4447,4.0682,3.349,9.17,34.42,47.95,66.53,34.56,48.47,68.39
8.0,-1.0,eb1168,0.11675778353879479,tier0,0,20000,0.3604,0.6396,0.7558,1.578,21.5241,3.575,9.04,33.05,44.59,61.91,34.56,48.47,68.39
8.0,-1.0,eb154,0.154,tier0,1,20000,0.549,0.451,0.7713,17.3648,21.876,3.848,8.73,32.07,42.84,60.18,34.56,48.47,68.39
9.0,-1.0,eb0482,0.0482,tier0,1,20000,0.0427,0.9573,0.8341,1.5766,4.2436,3.29,10.05,34.42,47.94,66.51,34.56,48.47,68.39
9.0,-1.0,eb1168,0.11675778353879479,tier0,0,20000,0.3864,0.6136,0.8652,1.7406,21.5303,3.552,9.93,32.9,44.33,61.6,34.56,48.47,68.39
9.0,-1.0,eb154,0.154,tier0,1,20000,0.5934,0.4067,0.8876,17.9751,21.8497,3.839,9.6,31.76,42.39,59.51,34.56,48.47,68.39
10.0,-1.0,eb0482,0.0482,tier0,1,20000,0.0429,0.9571,0.8742,1.6246,4.3041,3.276,10.36,34.42,47.94,66.51,34.56,48.47,68.39
10.0,-1.0,eb1168,0.11675778353879479,tier0,0,20000,0.3927,0.6073,0.9081,1.798,21.5312,3.545,10.25,32.87,44.28,61.46,34.56,48.47,68.39
10.0,-1.0,eb154,0.154,tier0,1,20000,0.6069,0.3931,0.9329,18.0821,21.8359,3.835,9.92,31.72,42.26,59.34,34.56,48.47,68.39
3.5,-1.0,eb0482,0.0482,diagnostic,1,20000,0.0,1.0,0.3399,0.4849,0.8182,14.083,3.18,34.56,48.47,68.39,34.56,48.47,68.39
3.5,-1.0,eb1168,0.11675778353879479,diagnostic,0,20000,0.0,1.0,0.3409,0.4859,0.8194,13.859,3.18,34.56,48.47,68.39,34.56,48.47,68.39
3.5,-1.0,eb154,0.154,diagnostic,1,20000,0.0,1.0,0.3414,0.4864,0.8201,13.736,3.19,34.56,48.47,68.39,34.56,48.47,68.39
4.25,-1.0,eb0482,0.0482,diagnostic,1,20000,0.0,1.0,0.3499,0.507,0.8959,12.777,3.32,34.56,48.47,68.39,34.56,48.47,68.39
4.25,-1.0,eb1168,0.11675778353879479,diagnostic,0,20000,0.0001,1.0,0.351,0.5083,0.8982,12.529,3.32,34.56,48.47,68.39,34.56,48.47,68.39
4.25,-1.0,eb154,0.154,diagnostic,1,20000,0.0001,0.9999,0.3515,0.509,0.8994,12.393,3.33,34.56,48.47,68.39,34.56,48.47,68.39
