tau_ps,tau_flag,E0_eV,n1_solv_f100,nbar_f100,strip_le8_f100,gate_f100,f_gate_lo,f_gate_hi,n1_solv_f025,nbar_f025,gate_f025,n1_ok_fge025,gate_ok_fge025
2.4,0,0.17,0.0,19.681,0.0,0,nan,nan,0.0,11.935,0,0,0
2.4,0,0.18,0.0,19.593,0.0,0,nan,nan,0.0,11.407,0,0,0
2.4,0,0.19,0.0,19.506,0.0,0,nan,nan,0.0,10.884,0,0,0
2.4,0,0.2,0.0,19.42,0.0,0,nan,nan,0.0,10.358,0,0,0
2.4,0,0.21,0.0,19.333,0.0,0,nan,nan,0.0,9.831,0,0,0
2.4,0,0.22,0.0,19.247,0.0,0,nan,nan,0.0,9.306,0,0,0
2.4,0,0.23,0.0,19.16,0.0,0,nan,nan,0.0001,8.788,0,0,0
2.4,0,0.24,0.0,19.07,0.0,0,nan,nan,0.0005,8.264,0,0,0
2.4,0,0.25,0.0,18.986,0.0,0,nan,nan,0.0033,7.758,0,0,0
2.4,0,0.26,0.0,18.9,0.0001,0,nan,nan,0.013,7.256,0,0,0
2.4,0,0.27,0.0,18.814,0.0001,0,nan,nan,0.0303,6.77,0,0,0
2.4,0,0.28,0.0,18.728,0.0001,0,nan,nan,0.0571,6.299,0,0,0
2.4,0,0.29,0.0,18.644,0.0002,0,nan,nan,0.0875,5.845,0,0,0
2.4,0,0.3,0.0,18.558,0.0003,0,nan,nan,0.116,5.411,0,0,0
2.4,0,0.31,0.0,18.473,0.0005,0,nan,nan,0.1415,4.991,0,0,0
2.4,0,0.32,0.0,18.388,0.0007,0,nan,nan,0.161,4.6,0,0,0
2.4,0,0.33,0.0,18.304,0.0009,0,nan,nan,0.1776,4.228,0,0,0
2.4,0,0.34,0.0,18.22,0.0012,0,nan,nan,0.1921,3.884,0,1,0
2.4,0,0.35,0.0,18.135,0.0016,0,nan,nan,0.2013,3.563,0,1,0
2.4,0,0.36,0.0,18.052,0.0022,0,nan,nan,0.2118,3.266,0,1,0
2.4,0,0.37,0.0,17.969,0.0031,0,nan,nan,0.2189,2.991,0,1,0
2.4,0,0.38,0.0,17.881,0.0042,0,nan,nan,0.2262,2.734,0,1,0
2.4,0,0.39,0.0,17.798,0.0052,0,nan,nan,0.2385,2.502,0,1,0
2.4,0,0.4,0.0,17.716,0.0067,0,nan,nan,0.2453,2.287,0,1,0
2.4,0,0.41,0.0,17.63,0.0084,0,nan,nan,0.252,2.09,0,1,0
2.4,0,0.42,0.0001,17.546,0.0099,0,nan,nan,0.2586,1.909,0,1,0
2.4,0,0.43,0.0001,17.459,0.012,0,nan,nan,0.2629,1.74,0,1,0
2.4,0,0.44,0.0001,17.377,0.0139,0,nan,nan,0.2677,1.586,0,1,0
2.4,0,0.45,0.0001,17.296,0.0158,0,nan,nan,0.2729,1.445,0,1,0
2.4,0,0.46,0.0001,17.211,0.0187,0,nan,nan,0.2818,1.317,0,1,0
2.4,0,0.47,0.0,17.128,0.0211,0,nan,nan,0.2919,1.196,0,1,0
2.4,0,0.48,0.0001,17.046,0.0233,0,nan,nan,0.2991,1.088,0,1,0
2.4,0,0.49,0.0001,16.962,0.0264,0,nan,nan,0.3118,0.988,0,1,0
2.4,0,0.5,0.0002,16.878,0.0292,0,nan,nan,0.3216,0.894,0,1,0
2.4,0,0.51,0.0003,16.796,0.0324,0,nan,nan,0.3318,0.811,0,1,0
2.4,0,0.52,0.0004,16.714,0.0359,0,nan,nan,0.3364,0.734,0,1,0
3.2,0,0.17,0.0,18.505,0.0,0,nan,nan,0.0,10.223,0,0,0
3.2,0,0.18,0.0,18.352,0.0,0,nan,nan,0.0,9.594,0,0,0
3.2,0,0.19,0.0,18.199,0.0,0,nan,nan,0.0,8.973,0,0,0
3.2,0,0.2,0.0,18.047,0.0,0,nan,nan,0.0,8.346,0,0,0
3.2,0,0.21,0.0,17.898,0.0001,0,nan,nan,0.0,7.72,0,0,0
3.2,0,0.22,0.0,17.744,0.0001,0,nan,nan,0.0001,7.105,0,0,0
3.2,0,0.23,0.0,17.592,0.0002,0,nan,nan,0.002,6.501,0,0,0
3.2,0,0.24,0.0,17.446,0.0004,0,nan,nan,0.0145,5.915,0,0,0
3.2,0,0.25,0.0,17.293,0.0007,0,nan,nan,0.047,5.352,0,0,0
3.2,0,0.26,0.0,17.145,0.0012,0,nan,nan,0.0992,4.816,0,0,0
3.2,0,0.27,0.0,16.994,0.0022,0,nan,nan,0.1522,4.31,0,0,0
3.2,0,0.28,0.0,16.844,0.0041,0,nan,nan,0.1968,3.829,0,1,0
3.2,0,0.29,0.0,16.696,0.0059,0,nan,nan,0.2297,3.386,0,1,0
3.2,0,0.3,0.0,16.549,0.0091,0,nan,nan,0.2538,2.976,0,1,0
3.2,0,0.31,0.0,16.4,0.0125,0,nan,nan,0.2715,2.607,0,1,0
3.2,0,0.32,0.0,16.252,0.0162,0,nan,nan,0.2889,2.274,0,1,0
3.2,0,0.33,0.0,16.107,0.0212,0,nan,nan,0.3049,1.98,0,1,0
3.2,0,0.34,0.0,15.956,0.0262,0,nan,nan,0.3181,1.72,0,1,0
3.2,0,0.35,0.0001,15.807,0.0321,0,nan,nan,0.3323,1.49,0,1,0
3.2,0,0.36,0.0001,15.661,0.0385,0,nan,nan,0.3407,1.283,0,1,0
3.2,0,0.37,0.0001,15.516,0.0459,0,nan,nan,0.3558,1.104,0,1,0
3.2,0,0.38,0.0002,15.369,0.0542,0,nan,nan,0.3731,0.949,0,1,0
3.2,0,0.39,0.0003,15.222,0.0625,0,nan,nan,0.3918,0.811,0,1,0
3.2,0,0.4,0.0004,15.077,0.0705,0,nan,nan,0.4115,0.693,0,1,0
3.2,0,0.41,0.0007,14.932,0.08,0,nan,nan,0.4286,0.587,0,1,0
3.2,0,0.42,0.0009,14.784,0.0897,0,nan,nan,0.4535,0.496,0,1,0
3.2,0,0.43,0.0013,14.641,0.0989,0,nan,nan,0.4699,0.418,0,1,0
3.2,0,0.44,0.0017,14.496,0.1081,0,nan,nan,0.4926,0.35,0,1,0
3.2,0,0.45,0.0025,14.352,0.118,0,nan,nan,0.5199,0.292,0,1,0
3.2,0,0.46,0.0034,14.209,0.1272,0,nan,nan,0.5477,0.242,0,1,0
3.2,0,0.47,0.0042,14.066,0.1367,0,nan,nan,0.5835,0.199,0,1,0
3.2,0,0.48,0.0058,13.922,0.1458,0,nan,nan,0.633,0.163,0,1,0
3.2,0,0.49,0.007,13.779,0.156,0,nan,nan,0.6783,0.133,0,1,0
3.2,0,0.5,0.0078,13.64,0.1656,0,nan,nan,0.7223,0.107,0,1,0
3.2,0,0.51,0.0091,13.5,0.1749,0,nan,nan,0.7651,0.085,0,1,0
3.2,0,0.52,0.0102,13.363,0.1852,0,nan,nan,0.7995,0.067,0,1,0
4.8,0,0.17,0.0,16.297,0.0,0,nan,nan,0.0,8.136,0,0,0
4.8,0,0.18,0.0,16.027,0.0001,0,nan,nan,0.0,7.386,0,0,0
4.8,0,0.19,0.0,15.752,0.0006,0,nan,nan,0.0,6.641,0,0,0
4.8,0,0.2,0.0,15.48,0.0017,0,nan,nan,0.0,5.898,0,0,0
4.8,0,0.21,0.0,15.211,0.0048,0,nan,nan,0.0003,5.183,0,0,0
4.8,0,0.22,0.0,14.94,0.0107,0,nan,nan,0.0133,4.505,0,0,0
4.8,0,0.23,0.0,14.668,0.0197,0,nan,nan,0.0775,3.864,0,0,0
4.8,0,0.24,0.0,14.4,0.0307,0,nan,nan,0.1881,3.276,0,0,0
4.8,0,0.25,0.0,14.128,0.046,0,nan,nan,0.2879,2.74,0,1,0
4.8,0,0.26,0.0,13.856,0.0644,0,nan,nan,0.3514,2.244,0,1,0
4.8,0,0.27,0.0,13.586,0.0861,0,nan,nan,0.395,1.802,0,1,0
4.8,0,0.28,0.0001,13.315,0.1068,0,nan,nan,0.4267,1.427,0,1,0
4.8,0,0.29,0.0001,13.046,0.1293,0,nan,nan,0.4572,1.121,0,1,0
4.8,0,0.3,0.0003,12.776,0.1523,0,nan,nan,0.4894,0.866,0,1,0
4.8,0,0.31,0.0005,12.508,0.1759,0,nan,nan,0.5272,0.664,0,1,0
4.8,0,0.32,0.0009,12.237,0.2008,0,nan,nan,0.5714,0.505,0,1,0
4.8,0,0.33,0.002,11.974,0.2237,0,nan,nan,0.6145,0.378,0,1,0
4.8,0,0.34,0.0039,11.705,0.2464,0,nan,nan,0.669,0.277,0,1,0
4.8,0,0.35,0.0067,11.443,0.2681,0,nan,nan,0.7418,0.198,0,1,0
4.8,0,0.36,0.0097,11.18,0.2896,0,nan,nan,0.8166,0.139,0,1,0
4.8,0,0.37,0.0134,10.924,0.3109,0,nan,nan,0.8829,0.096,0,1,0
