label,v_c,well,tau,E0,md_gate,t_exit_q50,twin_nbar,md_nbar,twin_n1,md_n1,d_nbar,twin_w1_solv,md_w1_solv,twin_midHot,md_midHot,twin_deepKE,md_deepKE,md_chi2_med,S_provisional,S_measured,nbar_bias_a,nbar_bias_b,nbar_bias_resid_sd,pred_md_nbar,rho_w1_solv,licensed_w1_solv,rho_midHot,licensed_midHot,rho_deepKE,licensed_deepKE,norm_w1_ref,norm_midhot_ln,norm_deepke_ln
a031,5.5,eb1168,4.8,0.31,0,3.87,6.717,6.072210065645514,0.0371,0.030701754385964914,-0.6447899343544856,1.8778,1.7152829813147568,1.6684,1.492731592539635,1.1066,0.5618899557561425,997.1057227902397,9.9949,39.1211,0.580942,-0.238175,0.285695,5.6981,0.8242,1,0.9956,1,0.3275,0,0.579088,0.021732,0.032521
a033,5.5,eb1168,4.8,0.33,0,3.87,5.93,5.36144578313253,0.1051,0.10165745856353592,-0.5685542168674695,1.1757,1.2315873115673233,1.4417,1.275638540297603,0.9618,0.5026129800693606,817.6041975421577,8.821,34.4823,0.580942,-0.238175,0.285695,5.0986,0.8242,1,0.9956,1,0.3275,0,0.579088,0.021732,0.032521
a035,5.5,eb1168,4.8,0.35,0,3.87,5.211,4.692223439211391,0.17,0.1813953488372093,-0.5187765607886092,0.7258,0.9472881981149271,1.2413,1.1008522429813683,0.8483,0.45342726829940017,659.4172778388223,8.0055,30.3774,0.580942,-0.238175,0.285695,4.5508,0.8242,1,0.9956,1,0.3275,0,0.579088,0.021732,0.032521
a037,5.5,eb1168,4.8,0.37,1,3.87,4.564,4.0972677595628415,0.2097,0.21139240506329116,-0.46673224043715855,0.5026,0.826327552936255,1.0703,0.9390146757595911,0.7552,0.4291162084136605,316.966854607004,7.9507,30.3372,0.580942,-0.238175,0.285695,4.0579,0.8242,1,0.9956,1,0.3275,0,0.579088,0.021732,0.032521
b029,6.0,eb1168,6.4,0.29,0,4.45,6.046,5.060529634300126,0.0857,0.082382762991128,-0.9854703656998742,1.4151,1.3881844138882684,0.6842,0.622272990363925,0.574,0.6065134037035171,78.34175047969035,9.403,39.6007,0.580942,-0.238175,0.285695,5.1869,0.8242,1,0.9956,1,0.3275,0,0.579088,0.021732,0.032521
b031,6.0,eb1168,6.4,0.31,1,4.45,5.224,4.314070351758794,0.1775,0.20261437908496732,-0.9099296482412065,0.8761,1.0605913595447607,0.5469,0.4988047441814162,0.4958,0.7153848466185473,73.27527341731327,9.2305,44.1352,0.580942,-0.238175,0.285695,4.5607,0.8242,1,0.9956,1,0.3275,0,0.579088,0.021732,0.032521
b033,6.0,eb1168,6.4,0.33,0,4.45,4.487,3.676214196762142,0.2255,0.24421965317919075,-0.8107858032378581,0.6786,0.9725565705874379,0.451,0.40657769764967017,0.4557,0.6265733935900505,71.88277906408246,11.4875,57.4662,0.580942,-0.238175,0.285695,3.9993,0.8242,1,0.9956,1,0.3275,0,0.579088,0.021732,0.032521
c50,5.0,eb1168,4.8,0.34,0,3.58,4.586,4.345957011258956,0.1858,0.18494623655913978,-0.24004298874104446,0.7477,0.9950377689217064,2.072,1.923417273149901,1.8176,1.0642278862013812,1322.0220154227445,6.8681,33.7304,0.580942,-0.238175,0.285695,4.0747,0.8242,1,0.9956,1,0.3275,0,0.579088,0.021732,0.032521
c65,6.5,eb1168,6.4,0.33,0,5.72,6.153,4.6946902654867255,0.1298,0.16535433070866143,-1.458309734513274,1.8528,1.3150779802061185,0.3981,0.41504548560542515,0.6921,0.8060794929942413,97.77276901777174,10.1374,49.3629,0.580942,-0.238175,0.285695,5.2685,0.8242,1,0.9956,1,0.3275,0,0.579088,0.021732,0.032521
d030,5.5,eb1168,6.4,0.3,1,3.87,4.374,3.942919868276619,0.2029,0.21153846153846154,-0.4310801317233808,0.7529,1.1677320138676048,0.9762,0.8135073212976063,0.4964,0.2692416158657311,399.8361660082439,12.9103,51.8615,0.580942,-0.238175,0.285695,3.9132,0.8242,1,0.9956,1,0.3275,0,0.579088,0.021732,0.032521
d036,6.0,eb1168,4.8,0.36,0,4.45,6.391,5.326302729528536,0.1365,0.16099476439790578,-1.0646972704714637,1.8973,1.2807055076180007,0.6908,0.644390935550732,0.7231,0.6758908412134285,44.39236495117442,8.19,34.4777,0.580942,-0.238175,0.285695,5.4498,0.8242,1,0.9956,1,0.3275,0,0.579088,0.021732,0.032521
e0482,5.5,eb0482,4.8,0.36,0,3.87,5.356,4.919917864476386,0.187,0.19662921348314602,-0.4360821355236135,1.0057,0.6673959011705621,1.2705,1.1247527744665755,1.1416,0.6756690247365364,307.63097336732875,4.8151,18.6174,0.580942,-0.238175,0.285695,4.6613,0.8242,1,0.9956,1,0.3275,0,0.579088,0.021732,0.032521
e154,5.5,eb154,4.8,0.36,1,3.86,4.651,4.140112994350282,0.1959,0.20771144278606965,-0.5108870056497175,0.6407,0.9855450226020214,1.0898,0.9561768242692843,0.659,0.42692883378548496,279.19145729817313,8.1365,29.9359,0.580942,-0.238175,0.285695,4.1242,0.8242,1,0.9956,1,0.3275,0,0.579088,0.021732,0.032521
f725,7.25,eb1168,3.2,0.27,0,7.7,16.994,14.339253996447603,0.0,0.0,-2.654746003552397,12.1053,9.4528802094733,1.5875,1.3977543143547422,2.1194,1.7545094798096792,140.13608361367181,22.9734,49.0193,0.580942,-0.238175,0.285695,13.5274,0.8242,1,0.9956,1,0.3275,0,0.579088,0.021732,0.032521
