v_c,E_bind_tag,tau_ps,E0_eV,n,weight,mean_KE_eV
5.0,eb0482,4.0,0.4,0,0.128,1.0092
5.0,eb0482,4.0,0.4,1,0.1692,0.9349
5.0,eb0482,4.0,0.4,2,0.1252,0.8792
5.0,eb0482,4.0,0.4,3,0.1026,0.8348
5.0,eb0482,4.0,0.4,4,0.0726,0.7973
5.0,eb0482,4.0,0.4,5,0.0636,0.7625
5.0,eb0482,4.0,0.4,6,0.0602,0.7248
5.0,eb0482,4.0,0.4,7,0.0506,0.6807
5.0,eb0482,4.0,0.4,8,0.0434,0.6325
5.0,eb0482,4.0,0.4,9,0.0366,0.5782
5.0,eb0482,4.0,0.4,10,0.0311,0.5195
5.0,eb0482,4.0,0.4,11,0.0243,0.4531
5.0,eb0482,4.0,0.4,12,0.0207,0.3854
5.0,eb0482,4.0,0.4,13,0.0162,0.3117
5.0,eb0482,4.0,0.4,14,0.0134,0.2366
5.0,eb0482,4.0,0.4,15,0.0098,0.1781
5.0,eb0482,4.0,0.4,16,0.0087,0.1355
5.0,eb0482,4.0,0.4,17,0.0066,0.1029
5.0,eb0482,4.0,0.4,18,0.0057,0.077
5.0,eb0482,4.0,0.4,19,0.005,0.0537
5.0,eb0482,4.0,0.4,20,0.0042,0.0326
5.0,eb0482,4.0,0.4,21,0.0025,0.0146
5.0,eb0482,4.0,0.405,0,0.1469,1.0014
5.0,eb0482,4.0,0.405,1,0.1711,0.9237
5.0,eb0482,4.0,0.405,2,0.1238,0.8677
5.0,eb0482,4.0,0.405,3,0.0996,0.823
5.0,eb0482,4.0,0.405,4,0.0697,0.7858
5.0,eb0482,4.0,0.405,5,0.0625,0.7506
5.0,eb0482,4.0,0.405,6,0.0582,0.713
5.0,eb0482,4.0,0.405,7,0.0483,0.6688
5.0,eb0482,4.0,0.405,8,0.0415,0.621
5.0,eb0482,4.0,0.405,9,0.0351,0.5675
5.0,eb0482,4.0,0.405,10,0.0291,0.5104
5.0,eb0482,4.0,0.405,11,0.0238,0.4449
5.0,eb0482,4.0,0.405,12,0.0205,0.3769
5.0,eb0482,4.0,0.405,13,0.0156,0.3023
5.0,eb0482,4.0,0.405,14,0.0127,0.2303
5.0,eb0482,4.0,0.405,15,0.0096,0.1744
5.0,eb0482,4.0,0.405,16,0.0084,0.1335
5.0,eb0482,4.0,0.405,17,0.0065,0.1016
5.0,eb0482,4.0,0.405,18,0.0056,0.076
5.0,eb0482,4.0,0.405,19,0.0048,0.053
5.0,eb0482,4.0,0.405,20,0.0041,0.0324
5.0,eb0482,4.0,0.405,21,0.0025,0.0145
5.0,eb0482,4.0,0.41,0,0.1663,0.994
5.0,eb0482,4.0,0.41,1,0.1721,0.9125
5.0,eb0482,4.0,0.41,2,0.1209,0.8567
5.0,eb0482,4.0,0.41,3,0.0972,0.8121
5.0,eb0482,4.0,0.41,4,0.0673,0.7748
5.0,eb0482,4.0,0.41,5,0.0612,0.7397
5.0,eb0482,4.0,0.41,6,0.0554,0.7025
5.0,eb0482,4.0,0.41,7,0.0472,0.6583
5.0,eb0482,4.0,0.41,8,0.0399,0.6099
5.0,eb0482,4.0,0.41,9,0.0337,0.5569
5.0,eb0482,4.0,0.41,10,0.0276,0.5005
5.0,eb0482,4.0,0.41,11,0.0237,0.4352
5.0,eb0482,4.0,0.41,12,0.0191,0.3677
5.0,eb0482,4.0,0.41,13,0.0154,0.2944
5.0,eb0482,4.0,0.41,14,0.0124,0.2232
5.0,eb0482,4.0,0.41,15,0.009,0.1705
5.0,eb0482,4.0,0.41,16,0.0083,0.1316
5.0,eb0482,4.0,0.41,17,0.0064,0.1002
5.0,eb0482,4.0,0.41,18,0.0055,0.0751
5.0,eb0482,4.0,0.41,19,0.0048,0.0524
5.0,eb0482,4.0,0.41,20,0.0041,0.032
5.0,eb0482,4.0,0.41,21,0.0024,0.0143
5.0,eb0482,4.0,0.415,0,0.1857,0.9869
5.0,eb0482,4.0,0.415,1,0.1735,0.9012
5.0,eb0482,4.0,0.415,2,0.1174,0.8453
5.0,eb0482,4.0,0.415,3,0.0947,0.8011
5.0,eb0482,4.0,0.415,4,0.0638,0.764
5.0,eb0482,4.0,0.415,5,0.0609,0.7295
5.0,eb0482,4.0,0.415,6,0.0526,0.6917
5.0,eb0482,4.0,0.415,7,0.0461,0.648
5.0,eb0482,4.0,0.415,8,0.038,0.5993
5.0,eb0482,4.0,0.415,9,0.033,0.5468
5.0,eb0482,4.0,0.415,10,0.0264,0.4897
5.0,eb0482,4.0,0.415,11,0.0223,0.4264
5.0,eb0482,4.0,0.415,12,0.0189,0.36
5.0,eb0482,4.0,0.415,13,0.015,0.2861
5.0,eb0482,4.0,0.415,14,0.0116,0.2177
5.0,eb0482,4.0,0.415,15,0.0091,0.1671
5.0,eb0482,4.0,0.415,16,0.0079,0.1294
5.0,eb0482,4.0,0.415,17,0.0065,0.0988
5.0,eb0482,4.0,0.415,18,0.0054,0.0738
5.0,eb0482,4.0,0.415,19,0.0047,0.0518
5.0,eb0482,4.0,0.415,20,0.0042,0.0315
5.0,eb0482,4.0,0.415,21,0.0023,0.0138
5.0,eb0482,4.0,0.42,0,0.2055,0.9799
5.0,eb0482,4.0,0.42,1,0.1731,0.8905
5.0,eb0482,4.0,0.42,2,0.114,0.8346
5.0,eb0482,4.0,0.42,3,0.0925,0.7907
5.0,eb0482,4.0,0.42,4,0.062,0.7532
5.0,eb0482,4.0,0.42,5,0.0593,0.7192
5.0,eb0482,4.0,0.42,6,0.0506,0.6809
5.0,eb0482,4.0,0.42,7,0.0437,0.6379
5.0,eb0482,4.0,0.42,8,0.0369,0.5896
5.0,eb0482,4.0,0.42,9,0.0321,0.5373
5.0,eb0482,4.0,0.42,10,0.0252,0.4805
5.0,eb0482,4.0,0.42,11,0.0218,0.4179
5.0,eb0482,4.0,0.42,12,0.0179,0.3522
5.0,eb0482,4.0,0.42,13,0.0147,0.2797
5.0,eb0482,4.0,0.42,14,0.0112,0.2128
5.0,eb0482,4.0,0.42,15,0.0089,0.1641
5.0,eb0482,4.0,0.42,16,0.0077,0.1277
5.0,eb0482,4.0,0.42,17,0.0065,0.0976
5.0,eb0482,4.0,0.42,18,0.0053,0.0726
5.0,eb0482,4.0,0.42,19,0.0045,0.051
5.0,eb0482,4.0,0.42,20,0.0041,0.0312
5.0,eb0482,4.0,0.42,21,0.0023,0.0137
5.0,eb0482,4.4,0.365,0,0.081,1.0318
5.0,eb0482,4.4,0.365,1,0.1761,0.9608
5.0,eb0482,4.4,0.365,2,0.1411,0.8974
5.0,eb0482,4.4,0.365,3,0.1147,0.8465
5.0,eb0482,4.4,0.365,4,0.0809,0.803
5.0,eb0482,4.4,0.365,5,0.0703,0.7627
5.0,eb0482,4.4,0.365,6,0.0652,0.7189
5.0,eb0482,4.4,0.365,7,0.0535,0.6686
5.0,eb0482,4.4,0.365,8,0.0447,0.6138
5.0,eb0482,4.4,0.365,9,0.0369,0.5534
5.0,eb0482,4.4,0.365,10,0.0292,0.4895
5.0,eb0482,4.4,0.365,11,0.0239,0.4187
5.0,eb0482,4.4,0.365,12,0.0191,0.3459
5.0,eb0482,4.4,0.365,13,0.015,0.2678
5.0,eb0482,4.4,0.365,14,0.0115,0.1995
5.0,eb0482,4.4,0.365,15,0.0088,0.1508
5.0,eb0482,4.4,0.365,16,0.0075,0.1165
5.0,eb0482,4.4,0.365,17,0.0058,0.0881
5.0,eb0482,4.4,0.365,18,0.0049,0.0656
5.0,eb0482,4.4,0.365,19,0.0043,0.0453
5.0,eb0482,4.4,0.365,20,0.0038,0.0264
5.0,eb0482,4.4,0.365,21,0.0015,0.0112
5.0,eb0482,4.4,0.37,0,0.0998,1.022
5.0,eb0482,4.4,0.37,1,0.1823,0.9477
5.0,eb0482,4.4,0.37,2,0.1385,0.884
5.0,eb0482,4.4,0.37,3,0.1122,0.8328
5.0,eb0482,4.4,0.37,4,0.0777,0.7893
5.0,eb0482,4.4,0.37,5,0.0689,0.7483
5.0,eb0482,4.4,0.37,6,0.0611,0.7053
5.0,eb0482,4.4,0.37,7,0.0516,0.6554
5.0,eb0482,4.4,0.37,8,0.0419,0.6006
5.0,eb0482,4.4,0.37,9,0.0358,0.5414
5.0,eb0482,4.4,0.37,10,0.0274,0.4776
5.0,eb0482,4.4,0.37,11,0.0238,0.4076
5.0,eb0482,4.4,0.37,12,0.0179,0.3343
5.0,eb0482,4.4,0.37,13,0.0143,0.259
5.0,eb0482,4.4,0.37,14,0.0112,0.1942
5.0,eb0482,4.4,0.37,15,0.0087,0.1469
5.0,eb0482,4.4,0.37,16,0.0071,0.1142
5.0,eb0482,4.4,0.37,17,0.0058,0.0867
5.0,eb0482,4.4,0.37,18,0.0049,0.0645
5.0,eb0482,4.4,0.37,19,0.0042,0.0445
5.0,eb0482,4.4,0.37,20,0.0037,0.026
5.0,eb0482,4.4,0.37,21,0.0015,0.0111
5.0,eb0482,4.4,0.375,0,0.1207,1.0123
5.0,eb0482,4.4,0.375,1,0.1857,0.9345
5.0,eb0482,4.4,0.375,2,0.1365,0.8707
5.0,eb0482,4.4,0.375,3,0.1089,0.8192
5.0,eb0482,4.4,0.375,4,0.0734,0.776
5.0,eb0482,4.4,0.375,5,0.0676,0.7355
5.0,eb0482,4.4,0.375,6,0.0579,0.6923
5.0,eb0482,4.4,0.375,7,0.049,0.643
5.0,eb0482,4.4,0.375,8,0.0408,0.5881
5.0,eb0482,4.4,0.375,9,0.034,0.5291
5.0,eb0482,4.4,0.375,10,0.0263,0.4651
5.0,eb0482,4.4,0.375,11,0.0227,0.3965
5.0,eb0482,4.4,0.375,12,0.0171,0.3236
5.0,eb0482,4.4,0.375,13,0.0136,0.2501
5.0,eb0482,4.4,0.375,14,0.0107,0.1892
5.0,eb0482,4.4,0.375,15,0.0085,0.144
5.0,eb0482,4.4,0.375,16,0.0069,0.1121
5.0,eb0482,4.4,0.375,17,0.0057,0.0852
5.0,eb0482,4.4,0.375,18,0.0046,0.0637
5.0,eb0482,4.4,0.375,19,0.0042,0.0442
5.0,eb0482,4.4,0.375,20,0.0037,0.0258
5.0,eb0482,4.4,0.375,21,0.0015,0.011
5.0,eb0482,4.4,0.38,0,0.143,1.003
5.0,eb0482,4.4,0.38,1,0.1875,0.9213
5.0,eb0482,4.4,0.38,2,0.1332,0.8576
5.0,eb0482,4.4,0.38,3,0.1058,0.8061
5.0,eb0482,4.4,0.38,4,0.0698,0.7631
5.0,eb0482,4.4,0.38,5,0.0659,0.7234
5.0,eb0482,4.4,0.38,6,0.0553,0.6797
5.0,eb0482,4.4,0.38,7,0.0468,0.6307
5.0,eb0482,4.4,0.38,8,0.0389,0.5765
5.0,eb0482,4.4,0.38,9,0.0329,0.518
5.0,eb0482,4.4,0.38,10,0.0249,0.4538
5.0,eb0482,4.4,0.38,11,0.0218,0.3872
5.0,eb0482,4.4,0.38,12,0.0165,0.3145
5.0,eb0482,4.4,0.38,13,0.0133,0.2421
5.0,eb0482,4.4,0.38,14,0.0102,0.1838
5.0,eb0482,4.4,0.38,15,0.0084,0.1403
5.0,eb0482,4.4,0.38,16,0.0064,0.11
5.0,eb0482,4.4,0.38,17,0.0058,0.0842
5.0,eb0482,4.4,0.38,18,0.0045,0.0627
5.0,eb0482,4.4,0.38,19,0.0041,0.0437
5.0,eb0482,4.4,0.38,20,0.0036,0.0255
5.0,eb0482,4.4,0.38,21,0.0014,0.0108
5.0,eb0482,4.4,0.385,0,0.1658,0.9942
5.0,eb0482,4.4,0.385,1,0.1893,0.908
5.0,eb0482,4.4,0.385,2,0.1288,0.8443
5.0,eb0482,4.4,0.385,3,0.1021,0.7934
5.0,eb0482,4.4,0.385,4,0.0673,0.7502
5.0,eb0482,4.4,0.385,5,0.0636,0.7113
5.0,eb0482,4.4,0.385,6,0.0524,0.6673
5.0,eb0482,4.4,0.385,7,0.045,0.619
5.0,eb0482,4.4,0.385,8,0.0372,0.5651
5.0,eb0482,4.4,0.385,9,0.0314,0.5075
5.0,eb0482,4.4,0.385,10,0.0244,0.4427
5.0,eb0482,4.4,0.385,11,0.0204,0.3773
5.0,eb0482,4.4,0.385,12,0.0162,0.3062
5.0,eb0482,4.4,0.385,13,0.0127,0.2348
5.0,eb0482,4.4,0.385,14,0.0098,0.1797
5.0,eb0482,4.4,0.385,15,0.0084,0.1376
5.0,eb0482,4.4,0.385,16,0.0062,0.1076
