leg,ladder,v_c,p_tail,E_bind_tag,E_bind_eV,ebind_exception,tau_ps,tau_flag,E0_eV,m,det_yield,trapped_frac,suppressed_frac,nbar_det,pred_md_nbar,n1_solv,w1_solv,midhot_geo,deepke,n1_ke_eV,S_measured,S_provisional,gate_n1,gate_nbar,gate,pareto
g4scan,rq4graded,5.5,-1.0,eb1168,0.11675778353879479,0,4.8,0,0.38,20000,0.9465,0.0535,0.1789,4.269,3.833,0.223,0.4402,0.994,0.7149,0.6274,1.0352,3.2148,1,1,1,1
g4scan,rq4graded,5.5,-1.0,eb1168,0.11675778353879479,0,5.6,0,0.33,20000,0.9465,0.0535,0.08,4.389,3.925,0.2199,0.5214,1.004,0.5736,0.6932,1.0836,4.9188,1,1,1,1
g4scan,rq4graded,5.5,-1.0,eb154,0.154,1,5.2,0,0.345,20000,0.9239,0.0761,0.0924,4.347,3.893,0.2136,0.6134,1.0012,0.5766,0.6674,1.1161,5.0229,1,1,1,1
g4scan,rq4graded,5.5,-1.0,eb154,0.154,1,4.4,0,0.405,20000,0.9239,0.0761,0.1933,4.247,3.816,0.2127,0.5999,0.9979,0.683,0.6034,1.1314,3.7937,1,1,1,1
g4scan,rq4graded,5.5,-1.0,eb0482,0.0482,1,6.0,0,0.325,20000,0.9889,0.0111,0.1072,4.426,3.952,0.2437,0.2258,0.9835,0.8045,0.7017,1.1549,2.0712,1,1,1,1
g4scan,rq4graded,5.5,-1.0,eb0482,0.0482,1,6.8,1,0.295,20000,0.9889,0.0111,0.035,4.531,4.032,0.2225,0.4576,0.9916,0.7052,0.7624,1.1766,3.3604,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb0482,0.0482,1,5.2,0,0.365,20000,0.9889,0.0111,0.1886,4.429,3.955,0.2352,0.5703,1.0061,0.9373,0.6508,1.2632,1.5056,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb154,0.154,1,4.8,0,0.37,20000,0.9239,0.0761,0.134,4.334,3.883,0.2142,0.5642,1.0097,0.6295,0.6399,1.418,4.3689,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb1168,0.11675778353879479,0,4.4,0,0.415,20000,0.9465,0.0535,0.2318,4.238,3.809,0.2168,0.6751,0.9941,0.8083,0.5961,1.4388,2.7477,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb0482,0.0482,1,5.6,0,0.34,20000,0.9889,0.0111,0.1303,4.521,4.025,0.2348,0.31,1.0211,0.8777,0.6891,1.4979,1.6259,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb154,0.154,1,5.6,0,0.325,20000,0.9239,0.0761,0.0576,4.363,3.905,0.208,0.7068,0.9937,0.5274,0.6937,1.5124,5.8614,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb0482,0.0482,1,4.8,0,0.395,20000,0.9889,0.0111,0.2439,4.38,3.917,0.2261,0.9037,1.0002,1.0073,0.6176,1.5689,1.6357,1,1,1,1
g4scan,rq4graded,5.5,-1.0,eb0482,0.0482,1,5.6,0,0.345,20000,0.9889,0.0111,0.1583,4.359,3.902,0.2447,0.2904,0.977,0.8596,0.6675,1.5734,1.7578,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb1168,0.11675778353879479,0,5.2,0,0.35,20000,0.9465,0.0535,0.1153,4.4,3.933,0.2206,0.4504,1.0176,0.6475,0.6689,1.5823,4.0237,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb0482,0.0482,1,6.4,0,0.31,20000,0.9889,0.0111,0.0735,4.428,3.955,0.2411,0.3225,0.9735,0.7472,0.7261,1.7914,2.8416,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb0482,0.0482,1,6.4,0,0.305,20000,0.9889,0.0111,0.0482,4.624,4.103,0.2224,0.3412,1.0276,0.7672,0.7518,1.8399,2.6884,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb1168,0.11675778353879479,0,5.2,0,0.355,20000,0.9465,0.0535,0.1403,4.238,3.81,0.2286,0.4199,0.9761,0.6285,0.6502,1.8402,4.2319,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb0482,0.0482,1,6.0,0,0.32,20000,0.9889,0.0111,0.0806,4.605,4.089,0.2297,0.2568,1.033,0.8228,0.7249,1.9369,2.0777,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb1168,0.11675778353879479,0,6.0,0,0.315,20000,0.9465,0.0535,0.0564,4.329,3.879,0.2195,0.6256,0.9763,0.5109,0.7102,2.1863,6.0725,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb1168,0.11675778353879479,0,4.8,0,0.375,20000,0.9465,0.0535,0.1562,4.413,3.943,0.2165,0.4685,1.0314,0.7341,0.6437,2.2314,3.2532,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb154,0.154,1,4.8,0,0.375,20000,0.9239,0.0761,0.1569,4.184,3.768,0.2213,0.5346,0.9718,0.615,0.6235,2.2394,4.6194,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb1168,0.11675778353879479,0,4.4,0,0.41,20000,0.9465,0.0535,0.2116,4.359,3.902,0.2138,0.6851,1.0253,0.8254,0.6095,2.333,2.7513,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb1168,0.11675778353879479,0,6.4,0,0.3,20000,0.9465,0.0535,0.0284,4.374,3.913,0.2029,0.7529,0.9762,0.4964,0.7386,2.4072,6.5013,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb154,0.154,1,4.4,0,0.4,20000,0.9239,0.0761,0.174,4.379,3.917,0.2064,0.6289,1.0305,0.7017,0.6171,2.4697,3.8518,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb1168,0.11675778353879479,0,6.0,0,0.31,20000,0.9465,0.0535,0.0365,4.528,4.03,0.1986,0.6529,1.0299,0.53,0.7334,2.4819,5.8965,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb0482,0.0482,1,5.2,0,0.37,20000,0.9889,0.0111,0.2142,4.287,3.847,0.2405,0.5669,0.9671,0.9206,0.6327,2.516,1.8235,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb154,0.154,1,4.4,0,0.41,20000,0.9239,0.0761,0.2138,4.117,3.717,0.2178,0.5762,0.9652,0.6651,0.5895,2.6254,4.1809,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb1168,0.11675778353879479,0,4.8,0,0.385,20000,0.9465,0.0535,0.2017,4.13,3.727,0.2298,0.417,0.9591,0.6962,0.6112,2.6405,3.6198,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb154,0.154,1,6.0,0,0.31,20000,0.9239,0.0761,0.0361,4.322,3.874,0.2011,0.8113,0.9705,0.4839,0.7128,2.7781,6.8293,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb1168,0.11675778353879479,0,5.6,0,0.335,20000,0.9465,0.0535,0.1043,4.212,3.79,0.2331,0.4958,0.9578,0.5548,0.6722,2.8391,5.3925,1,1,1,0
g4scan,rq4graded,5.5,-1.0,eb1168,0.11675778353879479,0,4.4,0,0.42,20000,0.9465,0.0535,0.2524,4.12,3.72,0.2184,0.6693,0.9637,0.7909,0.5828,2.8562,3.1149,1,1,1,0
