leg,config,n,weight,mean_KE_eV
d_delta,c1,0,0.111,1.3439
d_delta,c1,1,0.2124,0.9981
d_delta,c1,2,0.1147,0.669
d_delta,c1,3,0.0811,0.4722
d_delta,c1,4,0.0536,0.3591
d_delta,c1,5,0.0517,0.2884
d_delta,c1,6,0.0444,0.2443
d_delta,c1,7,0.0443,0.2037
d_delta,c1,8,0.0419,0.1719
d_delta,c1,9,0.0412,0.1472
d_delta,c1,10,0.0386,0.1194
d_delta,c1,11,0.0374,0.1005
d_delta,c1,12,0.0353,0.0808
d_delta,c1,13,0.0305,0.0719
d_delta,c1,14,0.0272,0.0564
d_delta,c1,15,0.019,0.0409
d_delta,c1,16,0.0124,0.0278
d_delta,c1,17,0.0033,0.016
d,c1,0,0.1272,1.3371
d,c1,1,0.2364,0.9921
d,c1,2,0.1237,0.6592
d,c1,3,0.0855,0.4605
d,c1,4,0.0546,0.3455
d,c1,5,0.0525,0.2783
d,c1,6,0.0441,0.2332
d,c1,7,0.0419,0.1947
d,c1,8,0.0381,0.1651
d,c1,9,0.0344,0.1394
d,c1,10,0.0346,0.1146
d,c1,11,0.0309,0.0954
d,c1,12,0.0254,0.0839
d,c1,13,0.0221,0.0737
d,c1,14,0.0152,0.0686
d,c1,15,0.0122,0.0568
d,c1,16,0.0093,0.0472
d,c1,17,0.0063,0.0387
d,c1,18,0.0037,0.036
d,c1,19,0.0015,0.0263
d_delta,c2,0,0.0508,1.2996
d_delta,c2,1,0.2173,0.9644
d_delta,c2,2,0.1224,0.6415
d_delta,c2,3,0.0908,0.4784
d_delta,c2,4,0.0611,0.3739
d_delta,c2,5,0.0553,0.3035
d_delta,c2,6,0.0507,0.2486
d_delta,c2,7,0.0469,0.2142
d_delta,c2,8,0.0462,0.1769
d_delta,c2,9,0.0448,0.149
d_delta,c2,10,0.0412,0.1234
d_delta,c2,11,0.0412,0.0991
d_delta,c2,12,0.0359,0.0835
d_delta,c2,13,0.0326,0.0717
d_delta,c2,14,0.0285,0.0561
d_delta,c2,15,0.0192,0.0412
d_delta,c2,16,0.0124,0.0277
d_delta,c2,17,0.0028,0.0152
d,c2,0,0.0579,1.2947
d,c2,1,0.2457,0.9577
d,c2,2,0.1345,0.6328
d,c2,3,0.095,0.4623
d,c2,4,0.0632,0.3599
d,c2,5,0.0563,0.2907
d,c2,6,0.0506,0.2406
d,c2,7,0.0455,0.2002
d,c2,8,0.043,0.1693
d,c2,9,0.038,0.1415
d,c2,10,0.0368,0.1163
d,c2,11,0.0338,0.0966
d,c2,12,0.0275,0.084
d,c2,13,0.0234,0.0751
d,c2,14,0.0158,0.0691
d,c2,15,0.0127,0.0567
d,c2,16,0.0093,0.0464
d,c2,17,0.0063,0.0379
d,c2,18,0.0035,0.0337
d,c2,19,0.0012,0.0262
d_delta,c3,0,0.3428,0.4387
d_delta,c3,1,0.0836,0.2525
d_delta,c3,2,0.073,0.2158
d_delta,c3,3,0.067,0.1867
d_delta,c3,4,0.0599,0.163
d_delta,c3,5,0.0584,0.1409
d_delta,c3,6,0.0526,0.1223
d_delta,c3,7,0.052,0.1029
d_delta,c3,8,0.0481,0.0863
d_delta,c3,9,0.0438,0.0727
d_delta,c3,10,0.0371,0.0615
d_delta,c3,11,0.0323,0.051
d_delta,c3,12,0.0251,0.0408
d_delta,c3,13,0.0147,0.0297
d_delta,c3,14,0.0085,0.0192
d_delta,c3,15,0.0009,0.0124
d,c3,0,0.3827,0.4339
d,c3,1,0.087,0.2448
d,c3,2,0.0746,0.2074
d,c3,3,0.0694,0.1794
d,c3,4,0.0613,0.1553
d,c3,5,0.0565,0.1325
d,c3,6,0.052,0.1156
d,c3,7,0.0458,0.0975
d,c3,8,0.0413,0.0815
d,c3,9,0.0373,0.0691
d,c3,10,0.0287,0.062
d,c3,11,0.0231,0.0552
d,c3,12,0.0155,0.0483
d,c3,13,0.01,0.0433
d,c3,14,0.008,0.0351
d,c3,15,0.004,0.0302
d,c3,16,0.0022,0.0263
d,c3,17,0.0007,0.0197
d_delta,c4,0,0.1426,1.3025
d_delta,c4,1,0.1723,0.9734
d_delta,c4,2,0.0958,0.7075
d_delta,c4,3,0.0804,0.5305
d_delta,c4,4,0.0676,0.3965
d_delta,c4,5,0.0606,0.3004
d_delta,c4,6,0.0522,0.2449
d_delta,c4,7,0.0494,0.2008
d_delta,c4,8,0.0465,0.1645
d_delta,c4,9,0.0456,0.1371
d_delta,c4,10,0.0409,0.1071
d_delta,c4,11,0.0388,0.0898
d_delta,c4,12,0.0348,0.0738
d_delta,c4,13,0.0292,0.0593
d_delta,c4,14,0.0213,0.0446
d_delta,c4,15,0.0151,0.0304
d_delta,c4,16,0.0063,0.0176
d,c4,0,0.1633,1.2957
d,c4,1,0.1908,0.9668
d,c4,2,0.1038,0.7009
d,c4,3,0.0869,0.5156
d,c4,4,0.0677,0.3821
d,c4,5,0.0625,0.2906
d,c4,6,0.0511,0.2351
d,c4,7,0.0472,0.1909
d,c4,8,0.042,0.158
d,c4,9,0.0374,0.1294
d,c4,10,0.0366,0.1046
d,c4,11,0.03,0.0871
d,c4,12,0.0249,0.0776
d,c4,13,0.0179,0.0674
d,c4,14,0.0131,0.0585
d,c4,15,0.0103,0.0464
d,c4,16,0.0073,0.041
d,c4,17,0.0044,0.0345
d,c4,18,0.0021,0.0273
d,c4,19,0.0006,0.0189
