leg,config,n,weight,mean_KE_eV
s1,s1c1v65,0,0.1397,1.4823
s1,s1c1v65,1,0.2558,1.229
s1,s1c1v65,2,0.1399,0.9806
s1,s1c1v65,3,0.1057,0.8085
s1,s1c1v65,4,0.0672,0.6735
s1,s1c1v65,5,0.059,0.5574
s1,s1c1v65,6,0.0473,0.4485
s1,s1c1v65,7,0.0416,0.3458
s1,s1c1v65,8,0.0326,0.2648
s1,s1c1v65,9,0.0272,0.2059
s1,s1c1v65,10,0.021,0.159
s1,s1c1v65,11,0.0169,0.1237
s1,s1c1v65,12,0.0134,0.1007
s1,s1c1v65,13,0.0115,0.0843
s1,s1c1v65,14,0.0077,0.0676
s1,s1c1v65,15,0.0058,0.0545
s1,s1c1v65,16,0.004,0.0436
s1,s1c1v65,17,0.0022,0.0331
s1,s1c1v65,18,0.0012,0.0221
s1,s1c1v70,0,0.1338,1.4147
s1,s1c1v70,1,0.2474,1.1144
s1,s1c1v70,2,0.1344,0.8202
s1,s1c1v70,3,0.0934,0.6274
s1,s1c1v70,4,0.0635,0.4825
s1,s1c1v70,5,0.0516,0.3755
s1,s1c1v70,6,0.0459,0.2935
s1,s1c1v70,7,0.039,0.235
s1,s1c1v70,8,0.0355,0.1864
s1,s1c1v70,9,0.0327,0.1548
s1,s1c1v70,10,0.0277,0.1261
s1,s1c1v70,11,0.0254,0.1037
s1,s1c1v70,12,0.0196,0.0861
s1,s1c1v70,13,0.0151,0.0732
s1,s1c1v70,14,0.0117,0.0635
s1,s1c1v70,15,0.0097,0.0533
s1,s1c1v70,16,0.0064,0.0433
s1,s1c1v70,17,0.0041,0.0371
s1,s1c1v70,18,0.0022,0.027
s1,s1c1v70,19,0.0006,0.0207
s1,s1c1v75,0,0.1272,1.3371
s1,s1c1v75,1,0.2364,0.9921
s1,s1c1v75,2,0.1237,0.6592
s1,s1c1v75,3,0.0855,0.4605
s1,s1c1v75,4,0.0546,0.3455
s1,s1c1v75,5,0.0525,0.2783
s1,s1c1v75,6,0.0441,0.2332
s1,s1c1v75,7,0.0419,0.1947
s1,s1c1v75,8,0.0381,0.1651
s1,s1c1v75,9,0.0344,0.1394
s1,s1c1v75,10,0.0346,0.1146
s1,s1c1v75,11,0.0309,0.0954
s1,s1c1v75,12,0.0254,0.0839
s1,s1c1v75,13,0.0221,0.0737
s1,s1c1v75,14,0.0152,0.0686
s1,s1c1v75,15,0.0122,0.0568
s1,s1c1v75,16,0.0093,0.0472
s1,s1c1v75,17,0.0063,0.0387
s1,s1c1v75,18,0.0037,0.036
s1,s1c1v75,19,0.0015,0.0263
s1,s1c1v80,0,0.1192,1.2492
s1,s1c1v80,1,0.2221,0.8629
s1,s1c1v80,2,0.1115,0.5108
s1,s1c1v80,3,0.0801,0.3568
s1,s1c1v80,4,0.0529,0.2883
s1,s1c1v80,5,0.0491,0.2482
s1,s1c1v80,6,0.0493,0.2107
s1,s1c1v80,7,0.0421,0.1847
s1,s1c1v80,8,0.0418,0.1582
s1,s1c1v80,9,0.0397,0.1364
s1,s1c1v80,10,0.0358,0.1161
s1,s1c1v80,11,0.0357,0.0958
s1,s1c1v80,12,0.0314,0.0863
s1,s1c1v80,13,0.0249,0.0784
s1,s1c1v80,14,0.0222,0.07
s1,s1c1v80,15,0.0145,0.0659
s1,s1c1v80,16,0.0114,0.0559
s1,s1c1v80,17,0.0084,0.0456
s1,s1c1v80,18,0.005,0.0385
s1,s1c1v80,19,0.0026,0.0305
s1,s1c1v85,0,0.1095,1.1506
s1,s1c1v85,1,0.2034,0.7308
s1,s1c1v85,2,0.1042,0.4198
s1,s1c1v85,3,0.0751,0.3208
s1,s1c1v85,4,0.0552,0.2681
s1,s1c1v85,5,0.0508,0.2362
s1,s1c1v85,6,0.0472,0.2071
s1,s1c1v85,7,0.0483,0.18
s1,s1c1v85,8,0.0424,0.1604
s1,s1c1v85,9,0.0428,0.1379
s1,s1c1v85,10,0.0406,0.1202
s1,s1c1v85,11,0.0378,0.1014
s1,s1c1v85,12,0.0351,0.0895
s1,s1c1v85,13,0.0294,0.0831
s1,s1c1v85,14,0.0239,0.0749
s1,s1c1v85,15,0.0197,0.0685
s1,s1c1v85,16,0.0135,0.0631
s1,s1c1v85,17,0.01,0.0512
s1,s1c1v85,18,0.0068,0.0424
s1,s1c1v85,19,0.0035,0.0335
s1,s1c1v85,20,0.0009,0.0218
s1,s1c2v55,0,0.0657,1.4204
s1,s1c2v55,1,0.2613,1.1291
s1,s1c2v55,2,0.147,0.8315
s1,s1c2v55,3,0.1063,0.6618
s1,s1c2v55,4,0.0733,0.5375
s1,s1c2v55,5,0.0605,0.4507
s1,s1c2v55,6,0.0536,0.3681
s1,s1c2v55,7,0.0456,0.2978
s1,s1c2v55,8,0.0405,0.2332
s1,s1c2v55,9,0.0339,0.1838
s1,s1c2v55,10,0.0283,0.148
s1,s1c2v55,11,0.0245,0.1162
s1,s1c2v55,12,0.0174,0.0946
s1,s1c2v55,13,0.014,0.0781
s1,s1c2v55,14,0.0113,0.0669
s1,s1c2v55,15,0.0071,0.0552
s1,s1c2v55,16,0.0052,0.0451
s1,s1c2v55,17,0.0028,0.0349
s1,s1c2v55,18,0.0011,0.0256
s1,s1c2v55,19,0.0006,0.0203
s1,s1c2v60,0,0.0621,1.3588
s1,s1c2v60,1,0.254,1.0418
s1,s1c2v60,2,0.1395,0.7291
s1,s1c2v60,3,0.1022,0.5535
s1,s1c2v60,4,0.0662,0.4418
s1,s1c2v60,5,0.0602,0.3563
s1,s1c2v60,6,0.0503,0.2867
s1,s1c2v60,7,0.0462,0.233
s1,s1c2v60,8,0.0395,0.1888
s1,s1c2v60,9,0.0373,0.1518
s1,s1c2v60,10,0.0336,0.1228
s1,s1c2v60,11,0.0284,0.101
s1,s1c2v60,12,0.0248,0.0855
s1,s1c2v60,13,0.0169,0.0755
s1,s1c2v60,14,0.0134,0.0655
s1,s1c2v60,15,0.0102,0.0533
s1,s1c2v60,16,0.0075,0.0419
s1,s1c2v60,17,0.0045,0.0387
s1,s1c2v60,18,0.0024,0.0291
s1,s1c2v60,19,0.0007,0.0222
s1,s1c2v65,0,0.0579,1.2947
s1,s1c2v65,1,0.2457,0.9577
s1,s1c2v65,2,0.1345,0.6328
s1,s1c2v65,3,0.095,0.4623
s1,s1c2v65,4,0.0632,0.3599
s1,s1c2v65,5,0.0563,0.2907
s1,s1c2v65,6,0.0506,0.2406
s1,s1c2v65,7,0.0455,0.2002
s1,s1c2v65,8,0.043,0.1693
s1,s1c2v65,9,0.038,0.1415
s1,s1c2v65,10,0.0368,0.1163
s1,s1c2v65,11,0.0338,0.0966
s1,s1c2v65,12,0.0275,0.084
s1,s1c2v65,13,0.0234,0.0751
s1,s1c2v65,14,0.0158,0.0691
s1,s1c2v65,15,0.0127,0.0567
s1,s1c2v65,16,0.0093,0.0464
s1,s1c2v65,17,0.0063,0.0379
s1,s1c2v65,18,0.0035,0.0337
s1,s1c2v65,19,0.0012,0.0262
s1,s1c2v70,0,0.0536,1.2278
s1,s1c2v70,1,0.2349,0.8769
s1,s1c2v70,2,0.1277,0.549
s1,s1c2v70,3,0.0896,0.3902
s1,s1c2v70,4,0.0603,0.3072
s1,s1c2v70,5,0.054,0.2629
s1,s1c2v70,6,0.0531,0.2198
s1,s1c2v70,7,0.0467,0.1899
s1,s1c2v70,8,0.0445,0.1613
s1,s1c2v70,9,0.0422,0.1385
s1,s1c2v70,10,0.0382,0.116
s1,s1c2v70,11,0.0374,0.0967
s1,s1c2v70,12,0.0318,0.0859
s1,s1c2v70,13,0.0251,0.0768
s1,s1c2v70,14,0.0211,0.0688
s1,s1c2v70,15,0.0146,0.0641
s1,s1c2v70,16,0.0107,0.0516
s1,s1c2v70,17,0.008,0.0436
s1,s1c2v70,18,0.0045,0.0359
s1,s1c2v70,19,0.0019,0.0293
s1,s1c2v75,0,0.0485,1.1603
s1,s1c2v75,1,0.2226,0.8002
s1,s1c2v75,2,0.12,0.4801
s1,s1c2v75,3,0.0862,0.3492
s1,s1c2v75,4,0.0613,0.2831
s1,s1c2v75,5,0.055,0.2464
s1,s1c2v75,6,0.0506,0.2146
s1,s1c2v75,7,0.0511,0.1836
s1,s1c2v75,8,0.0447,0.162
s1,s1c2v75,9,0.0447,0.1385
s1,s1c2v75,10,0.0419,0.1179
s1,s1c2v75,11,0.0378,0.1
s1,s1c2v75,12,0.0355,0.0882
s1,s1c2v75,13,0.0285,0.0807
s1,s1c2v75,14,0.0238,0.0714
s1,s1c2v75,15,0.0175,0.0664
s1,s1c2v75,16,0.0123,0.0574
s1,s1c2v75,17,0.0093,0.0474
s1,s1c2v75,18,0.0055,0.0374
s1,s1c2v75,19,0.0026,0.0311
s1,s1c4v65,0,0.1779,1.4509
s1,s1c4v65,1,0.2067,1.2105
s1,s1c4v65,2,0.1188,1.013
s1,s1c4v65,3,0.0999,0.8673
s1,s1c4v65,4,0.0871,0.728
s1,s1c4v65,5,0.0706,0.583
s1,s1c4v65,6,0.056,0.4523
s1,s1c4v65,7,0.0465,0.3349
s1,s1c4v65,8,0.0337,0.2489
s1,s1c4v65,9,0.0287,0.1837
s1,s1c4v65,10,0.02,0.1437
s1,s1c4v65,11,0.0162,0.1067
s1,s1c4v65,12,0.0131,0.0881
s1,s1c4v65,13,0.009,0.0715
s1,s1c4v65,14,0.0066,0.0574
s1,s1c4v65,15,0.0046,0.0438
s1,s1c4v65,16,0.0028,0.0322
s1,s1c4v65,17,0.0011,0.0234
s1,s1c4v65,18,0.0007,0.0194
s1,s1c4v70,0,0.1719,1.3775
s1,s1c4v70,1,0.1983,1.0925
s1,s1c4v70,2,0.1133,0.8578
s1,s1c4v70,3,0.094,0.6914
s1,s1c4v70,4,0.0796,0.53
s1,s1c4v70,5,0.062,0.3977
s1,s1c4v70,6,0.0533,0.2957
s1,s1c4v70,7,0.0444,0.2276
s1,s1c4v70,8,0.0395,0.1775
s1,s1c4v70,9,0.0334,0.1407
s1,s1c4v70,10,0.0284,0.1156
s1,s1c4v70,11,0.0247,0.0912
s1,s1c4v70,12,0.0172,0.0771
