ladder,v_c,tau_ps,E0_eV,m,n,weight,mean_KE_eV
floor1,6.75,3.8,0.27,20000,0,0.4237,1.2219
floor1,6.75,3.8,0.27,20000,1,0.1252,0.833
floor1,6.75,3.8,0.27,20000,2,0.0728,0.6853
floor1,6.75,3.8,0.27,20000,3,0.0644,0.5699
floor1,6.75,3.8,0.27,20000,4,0.054,0.4563
floor1,6.75,3.8,0.27,20000,5,0.045,0.358
floor1,6.75,3.8,0.27,20000,6,0.0377,0.2762
floor1,6.75,3.8,0.27,20000,7,0.0345,0.2209
floor1,6.75,3.8,0.27,20000,8,0.0285,0.1779
floor1,6.75,3.8,0.27,20000,9,0.025,0.1469
floor1,6.75,3.8,0.27,20000,10,0.0227,0.1174
floor1,6.75,3.8,0.27,20000,11,0.017,0.0948
floor1,6.75,3.8,0.27,20000,12,0.0147,0.0787
floor1,6.75,3.8,0.27,20000,13,0.0109,0.0678
floor1,6.75,3.8,0.27,20000,14,0.0092,0.0575
floor1,6.75,3.8,0.27,20000,15,0.006,0.0482
floor1,6.75,3.8,0.27,20000,16,0.0047,0.0393
floor1,6.75,3.8,0.27,20000,17,0.0024,0.032
floor1,6.75,3.8,0.27,20000,18,0.001,0.0235
floor1,7.25,3.8,0.25,20000,0,0.2756,1.2352
floor1,7.25,3.8,0.25,20000,1,0.1494,0.8812
floor1,7.25,3.8,0.25,20000,2,0.0852,0.6828
floor1,7.25,3.8,0.25,20000,3,0.0717,0.5429
floor1,7.25,3.8,0.25,20000,4,0.0611,0.4144
floor1,7.25,3.8,0.25,20000,5,0.052,0.3247
floor1,7.25,3.8,0.25,20000,6,0.0461,0.2588
floor1,7.25,3.8,0.25,20000,7,0.042,0.2145
floor1,7.25,3.8,0.25,20000,8,0.0365,0.1768
floor1,7.25,3.8,0.25,20000,9,0.0353,0.1443
floor1,7.25,3.8,0.25,20000,10,0.0319,0.1191
floor1,7.25,3.8,0.25,20000,11,0.028,0.0988
floor1,7.25,3.8,0.25,20000,12,0.025,0.0842
floor1,7.25,3.8,0.25,20000,13,0.0182,0.0737
floor1,7.25,3.8,0.25,20000,14,0.0134,0.0658
floor1,7.25,3.8,0.25,20000,15,0.0109,0.0529
floor1,7.25,3.8,0.25,20000,16,0.0083,0.0448
floor1,7.25,3.8,0.25,20000,17,0.0052,0.038
floor1,7.25,3.8,0.25,20000,18,0.003,0.0316
floor1,7.25,3.8,0.25,20000,19,0.001,0.0225
floor1,8.0,3.8,0.23,20000,0,0.0984,1.2792
floor1,8.0,3.8,0.23,20000,1,0.1706,0.9672
floor1,8.0,3.8,0.23,20000,2,0.0965,0.686
floor1,8.0,3.8,0.23,20000,3,0.081,0.5059
floor1,8.0,3.8,0.23,20000,4,0.0688,0.3824
floor1,8.0,3.8,0.23,20000,5,0.0597,0.3122
floor1,8.0,3.8,0.23,20000,6,0.0549,0.2634
floor1,8.0,3.8,0.23,20000,7,0.0534,0.2185
floor1,8.0,3.8,0.23,20000,8,0.0465,0.1884
floor1,8.0,3.8,0.23,20000,9,0.046,0.1579
floor1,8.0,3.8,0.23,20000,10,0.043,0.134
floor1,8.0,3.8,0.23,20000,11,0.0382,0.1122
floor1,8.0,3.8,0.23,20000,12,0.0376,0.0945
floor1,8.0,3.8,0.23,20000,13,0.0294,0.0859
floor1,8.0,3.8,0.23,20000,14,0.0252,0.0768
floor1,8.0,3.8,0.23,20000,15,0.0181,0.0715
floor1,8.0,3.8,0.23,20000,16,0.0132,0.0602
floor1,8.0,3.8,0.23,20000,17,0.0095,0.0506
floor1,8.0,3.8,0.23,20000,18,0.0064,0.0417
floor1,8.0,3.8,0.23,20000,19,0.0031,0.0337
floor1,8.0,3.8,0.23,20000,20,0.0006,0.0222
