ladder,v_c,tau_ps,E0_eV,m,n,weight,mean_KE_eV
floor1,6.5,3.2,0.23,6000,0,0.0604,1.5602
floor1,6.5,3.2,0.23,6000,1,0.1653,1.4028
floor1,6.5,3.2,0.23,6000,2,0.1124,1.2487
floor1,6.5,3.2,0.23,6000,3,0.0997,1.1292
floor1,6.5,3.2,0.23,6000,4,0.0898,1.0112
floor1,6.5,3.2,0.23,6000,5,0.0797,0.8912
floor1,6.5,3.2,0.23,6000,6,0.0714,0.7707
floor1,6.5,3.2,0.23,6000,7,0.0631,0.6437
floor1,6.5,3.2,0.23,6000,8,0.0535,0.5319
floor1,6.5,3.2,0.23,6000,9,0.0449,0.424
floor1,6.5,3.2,0.23,6000,10,0.0371,0.3182
floor1,6.5,3.2,0.23,6000,11,0.0329,0.2355
floor1,6.5,3.2,0.23,6000,12,0.0251,0.1647
floor1,6.5,3.2,0.23,6000,13,0.0218,0.149
floor1,6.5,3.2,0.23,6000,14,0.0155,0.1092
floor1,6.5,3.2,0.23,6000,15,0.0103,0.0943
floor1,6.5,3.2,0.23,6000,16,0.0067,0.0801
floor1,6.5,3.2,0.23,6000,17,0.0051,0.0606
floor1,6.5,3.2,0.23,6000,18,0.0036,0.0388
rq4graded,6.5,3.2,0.23,6000,1,0.1694,1.5025
rq4graded,6.5,3.2,0.23,6000,2,0.1655,1.2881
rq4graded,6.5,3.2,0.23,6000,3,0.1223,1.1166
rq4graded,6.5,3.2,0.23,6000,4,0.086,0.9773
rq4graded,6.5,3.2,0.23,6000,5,0.074,0.8707
rq4graded,6.5,3.2,0.23,6000,6,0.0699,0.7523
rq4graded,6.5,3.2,0.23,6000,7,0.0609,0.6337
rq4graded,6.5,3.2,0.23,6000,8,0.0524,0.5157
rq4graded,6.5,3.2,0.23,6000,9,0.0424,0.4205
rq4graded,6.5,3.2,0.23,6000,10,0.0363,0.316
rq4graded,6.5,3.2,0.23,6000,11,0.0324,0.2354
rq4graded,6.5,3.2,0.23,6000,12,0.0247,0.1635
rq4graded,6.5,3.2,0.23,6000,13,0.0214,0.1492
rq4graded,6.5,3.2,0.23,6000,14,0.0154,0.109
rq4graded,6.5,3.2,0.23,6000,15,0.01,0.0951
rq4graded,6.5,3.2,0.23,6000,16,0.0066,0.0804
rq4graded,6.5,3.2,0.23,6000,17,0.0051,0.0606
rq4graded,6.5,3.2,0.23,6000,18,0.0036,0.0388
floor1,6.5,3.2,0.25,6000,0,0.2063,1.4274
floor1,6.5,3.2,0.25,6000,1,0.1527,1.2127
floor1,6.5,3.2,0.25,6000,2,0.094,1.074
floor1,6.5,3.2,0.25,6000,3,0.0849,0.9659
floor1,6.5,3.2,0.25,6000,4,0.0731,0.8589
floor1,6.5,3.2,0.25,6000,5,0.0653,0.7519
floor1,6.5,3.2,0.25,6000,6,0.0599,0.6342
floor1,6.5,3.2,0.25,6000,7,0.0515,0.534
floor1,6.5,3.2,0.25,6000,8,0.0438,0.4219
floor1,6.5,3.2,0.25,6000,9,0.0348,0.3309
floor1,6.5,3.2,0.25,6000,10,0.0317,0.2503
floor1,6.5,3.2,0.25,6000,11,0.0247,0.1848
floor1,6.5,3.2,0.25,6000,12,0.0244,0.1498
floor1,6.5,3.2,0.25,6000,13,0.016,0.1178
floor1,6.5,3.2,0.25,6000,14,0.0139,0.0998
floor1,6.5,3.2,0.25,6000,15,0.008,0.0786
floor1,6.5,3.2,0.25,6000,16,0.0057,0.0766
floor1,6.5,3.2,0.25,6000,17,0.0046,0.0525
floor1,6.5,3.2,0.25,6000,18,0.0033,0.0319
rq4graded,6.5,3.2,0.25,6000,0,0.0763,1.5428
rq4graded,6.5,3.2,0.25,6000,1,0.2338,1.333
rq4graded,6.5,3.2,0.25,6000,2,0.1377,1.1111
rq4graded,6.5,3.2,0.25,6000,3,0.1036,0.9571
rq4graded,6.5,3.2,0.25,6000,4,0.0705,0.8358
rq4graded,6.5,3.2,0.25,6000,5,0.0638,0.729
rq4graded,6.5,3.2,0.25,6000,6,0.058,0.6185
rq4graded,6.5,3.2,0.25,6000,7,0.0487,0.5244
rq4graded,6.5,3.2,0.25,6000,8,0.0421,0.4175
rq4graded,6.5,3.2,0.25,6000,9,0.035,0.3255
rq4graded,6.5,3.2,0.25,6000,10,0.03,0.2477
rq4graded,6.5,3.2,0.25,6000,11,0.0245,0.1849
rq4graded,6.5,3.2,0.25,6000,12,0.0238,0.1493
