ladder,v_c,tau_ps,E0_eV,m,n,weight,mean_KE_eV
rq4graded,7.25,3.2,0.27,20000,0,0.2019,1.3042
rq4graded,7.25,3.2,0.27,20000,1,0.1939,0.9719
rq4graded,7.25,3.2,0.27,20000,2,0.1074,0.7177
rq4graded,7.25,3.2,0.27,20000,3,0.0779,0.5504
rq4graded,7.25,3.2,0.27,20000,4,0.0515,0.4279
rq4graded,7.25,3.2,0.27,20000,5,0.0477,0.3463
rq4graded,7.25,3.2,0.27,20000,6,0.0405,0.285
rq4graded,7.25,3.2,0.27,20000,7,0.0394,0.2381
rq4graded,7.25,3.2,0.27,20000,8,0.036,0.2018
rq4graded,7.25,3.2,0.27,20000,9,0.0325,0.1699
rq4graded,7.25,3.2,0.27,20000,10,0.0324,0.1401
rq4graded,7.25,3.2,0.27,20000,11,0.0303,0.1164
rq4graded,7.25,3.2,0.27,20000,12,0.0258,0.1009
rq4graded,7.25,3.2,0.27,20000,13,0.0243,0.086
rq4graded,7.25,3.2,0.27,20000,14,0.017,0.0794
rq4graded,7.25,3.2,0.27,20000,15,0.0135,0.0673
rq4graded,7.25,3.2,0.27,20000,16,0.0107,0.0573
rq4graded,7.25,3.2,0.27,20000,17,0.0086,0.0468
rq4graded,7.25,3.2,0.27,20000,18,0.0051,0.0405
rq4graded,7.25,3.2,0.27,20000,19,0.0027,0.0305
rq4graded,7.25,3.2,0.27,20000,20,0.0007,0.0233
rq4graded,7.5,3.2,0.27,20000,0,0.1969,1.2598
rq4graded,7.5,3.2,0.27,20000,1,0.1881,0.9057
rq4graded,7.5,3.2,0.27,20000,2,0.1017,0.6383
rq4graded,7.5,3.2,0.27,20000,3,0.0745,0.47
rq4graded,7.5,3.2,0.27,20000,4,0.0487,0.3682
rq4graded,7.5,3.2,0.27,20000,5,0.0479,0.3011
rq4graded,7.5,3.2,0.27,20000,6,0.0412,0.258
rq4graded,7.5,3.2,0.27,20000,7,0.0378,0.2185
rq4graded,7.5,3.2,0.27,20000,8,0.0381,0.19
rq4graded,7.5,3.2,0.27,20000,9,0.0352,0.1619
rq4graded,7.5,3.2,0.27,20000,10,0.032,0.1366
rq4graded,7.5,3.2,0.27,20000,11,0.0339,0.1124
rq4graded,7.5,3.2,0.27,20000,12,0.0294,0.097
rq4graded,7.5,3.2,0.27,20000,13,0.024,0.0875
rq4graded,7.5,3.2,0.27,20000,14,0.0222,0.0784
rq4graded,7.5,3.2,0.27,20000,15,0.0155,0.071
rq4graded,7.5,3.2,0.27,20000,16,0.0121,0.0583
rq4graded,7.5,3.2,0.27,20000,17,0.0098,0.0495
rq4graded,7.5,3.2,0.27,20000,18,0.0065,0.0418
rq4graded,7.5,3.2,0.27,20000,19,0.0034,0.0361
rq4graded,7.5,3.2,0.27,20000,20,0.0012,0.0249
floor1,7.0,3.8,0.25,20000,0,0.2814,1.2813
floor1,7.0,3.8,0.25,20000,1,0.1525,0.9526
floor1,7.0,3.8,0.25,20000,2,0.0883,0.7686
floor1,7.0,3.8,0.25,20000,3,0.0748,0.6349
floor1,7.0,3.8,0.25,20000,4,0.0673,0.5006
floor1,7.0,3.8,0.25,20000,5,0.0531,0.3881
floor1,7.0,3.8,0.25,20000,6,0.0478,0.3001
floor1,7.0,3.8,0.25,20000,7,0.0398,0.2381
floor1,7.0,3.8,0.25,20000,8,0.0357,0.1918
floor1,7.0,3.8,0.25,20000,9,0.0338,0.1555
floor1,7.0,3.8,0.25,20000,10,0.0288,0.1272
floor1,7.0,3.8,0.25,20000,11,0.0255,0.1048
floor1,7.0,3.8,0.25,20000,12,0.0207,0.0846
floor1,7.0,3.8,0.25,20000,13,0.0151,0.0738
floor1,7.0,3.8,0.25,20000,14,0.0119,0.0631
floor1,7.0,3.8,0.25,20000,15,0.0098,0.0532
floor1,7.0,3.8,0.25,20000,16,0.0065,0.0433
floor1,7.0,3.8,0.25,20000,17,0.0041,0.0371
floor1,7.0,3.8,0.25,20000,18,0.0022,0.0269
floor1,7.0,3.8,0.25,20000,19,0.0006,0.0207
