t_ps,atom_idx,dE_eV,E0_eV
2.0000000000000000e-02,14,1.5881562607424321e-02,1.6455092219881398e-01
2.0000000000000000e-02,33,1.8746580882033070e-02,1.6455092219881401e-01
2.0000000000000000e-02,61,1.3912105490961335e-03,1.6455092219881401e-01
2.0000000000000000e-02,99,4.5156552596428423e-03,1.6455092219881398e-01
2.0000000000000000e-02,178,2.0406370171333066e-04,1.6455092219881398e-01
2.0000000000000000e-02,200,1.6473259976615001e-02,1.6455092219881398e-01
2.0000000000000000e-02,289,1.0987799554751099e-02,1.6455092219881395e-01
2.0000000000000000e-02,430,1.1845355098956484e-02,1.6455092219881398e-01
2.0000000000000000e-02,457,1.3323173627886264e-02,1.6455092219881395e-01
2.0000000000000000e-02,477,7.4576333468296396e-03,1.6455092219881398e-01
2.0000000000000000e-02,496,1.8273040534007579e-02,1.6455092219881393e-01
2.0000000000000000e-02,534,9.6566456792593902e-03,1.6455092219881398e-01
2.0000000000000000e-02,560,3.4504578784641804e-03,1.6455092219881398e-01
2.0000000000000000e-02,575,4.9330659722812975e-03,1.6455092219881398e-01
2.0000000000000000e-02,589,1.2778653659006017e-02,1.6455092219881395e-01
2.0000000000000000e-02,650,1.0707473999195027e-02,1.6455092219881398e-01
2.0000000000000000e-02,658,8.8827952738540217e-03,1.6455092219881401e-01
2.0000000000000000e-02,669,1.5960024019457175e-02,1.6455092219881398e-01
2.0000000000000000e-02,712,8.4971245077100632e-03,1.6455092219881398e-01
2.0000000000000000e-02,822,1.7619981739362467e-02,1.6455092219881398e-01
2.0000000000000000e-02,828,1.7101115893266822e-02,1.6455092219881398e-01
2.0000000000000000e-02,848,8.6345683921692229e-03,1.6455092219881404e-01
2.0000000000000000e-02,861,1.5510811898487298e-02,1.6455092219881398e-01
2.0000000000000000e-02,975,5.3189143502795910e-03,1.6455092219881401e-01
2.9999999999999999e-02,1,1.7467371803174425e-02,1.6455092219881401e-01
2.9999999999999999e-02,8,6.2935153494881046e-03,1.6455092219881398e-01
2.9999999999999999e-02,44,1.7196052103374881e-02,1.6455092219881398e-01
2.9999999999999999e-02,46,1.5141839273062063e-02,1.6455092219881398e-01
2.9999999999999999e-02,56,7.6368177590646347e-03,1.6455092219881398e-01
2.9999999999999999e-02,69,3.4000977564392354e-03,1.6455092219881395e-01
2.9999999999999999e-02,73,1.3350488658987331e-02,1.6455092219881398e-01
2.9999999999999999e-02,130,1.1675576579602193e-02,1.6455092219881398e-01
2.9999999999999999e-02,159,1.2854997520740014e-02,1.6455092219881398e-01
2.9999999999999999e-02,261,2.0406403043082000e-03,1.6455092219881401e-01
2.9999999999999999e-02,265,1.7705294505751923e-02,1.6455092219881398e-01
2.9999999999999999e-02,285,8.9238214497366353e-03,1.6455092219881398e-01
2.9999999999999999e-02,310,9.0364830737129920e-03,1.6455092219881398e-01
2.9999999999999999e-02,397,1.9446426699052888e-02,1.6455092219881398e-01
2.9999999999999999e-02,424,9.7209187693504395e-03,1.6455092219881398e-01
2.9999999999999999e-02,432,2.6335817940074946e-03,1.6455092219881395e-01
2.9999999999999999e-02,452,1.9367968550226544e-03,1.6455092219881398e-01
2.9999999999999999e-02,477,1.3053309467146113e-02,1.5709328885198429e-01
2.9999999999999999e-02,481,1.2893785854999174e-02,1.6455092219881395e-01
2.9999999999999999e-02,492,1.0086661712347400e-03,1.6455092219881398e-01
2.9999999999999999e-02,533,1.6010810763308708e-02,1.6455092219881398e-01
2.9999999999999999e-02,543,6.8352094364479143e-03,1.6455092219881398e-01
2.9999999999999999e-02,610,8.0475119055187505e-03,1.6455092219881401e-01
2.9999999999999999e-02,617,1.1544266598106673e-02,1.6455092219881398e-01
2.9999999999999999e-02,630,1.7735577954554965e-02,1.6455092219881398e-01
2.9999999999999999e-02,681,1.4582570371745901e-02,1.6455092219881404e-01
2.9999999999999999e-02,695,7.9485828416942239e-03,1.6455092219881398e-01
2.9999999999999999e-02,794,3.0068344873218911e-03,1.6455092219881398e-01
2.9999999999999999e-02,855,6.8490851555498555e-03,1.6455092219881398e-01
2.9999999999999999e-02,864,1.1533039131015499e-02,1.6455092219881398e-01
2.9999999999999999e-02,890,1.7067796302514121e-02,1.6455092219881398e-01
2.9999999999999999e-02,970,6.7041448536753756e-03,1.6455092219881398e-01
4.0000000000000001e-02,6,1.6183047776674869e-02,1.6455092219881398e-01
4.0000000000000001e-02,17,6.8795372791563836e-03,1.6455092219881398e-01
4.0000000000000001e-02,45,1.5905273416072951e-02,1.6455092219881398e-01
4.0000000000000001e-02,62,5.6795148875103119e-03,1.6455092219881398e-01
4.0000000000000001e-02,104,1.6297974699780754e-02,1.6455092219881401e-01
4.0000000000000001e-02,128,1.2037339909525047e-02,1.6455092219881398e-01
4.0000000000000001e-02,217,5.7796448609387097e-03,1.6455092219881401e-01
4.0000000000000001e-02,267,1.7935599590013201e-02,1.6455092219881398e-01
4.0000000000000001e-02,279,1.5470815212398736e-02,1.6455092219881398e-01
4.0000000000000001e-02,291,1.7679967847695072e-02,1.6455092219881398e-01
4.0000000000000001e-02,416,1.5256140479981972e-03,1.6455092219881398e-01
4.0000000000000001e-02,461,6.1895039029805921e-03,1.6455092219881398e-01
4.0000000000000001e-02,473,8.6315515949808019e-03,1.6455092219881401e-01
4.0000000000000001e-02,618,1.1524172380989545e-02,1.6455092219881398e-01
4.0000000000000001e-02,695,9.7776720008803109e-03,1.5660233935711976e-01
4.0000000000000001e-02,742,1.1663799307858325e-03,1.6455092219881398e-01
4.0000000000000001e-02,759,4.5680413593311986e-03,1.6455092219881401e-01
4.0000000000000001e-02,780,2.2539409663445142e-03,1.6455092219881398e-01
4.0000000000000001e-02,801,1.7737538602213332e-02,1.6455092219881398e-01
4.0000000000000001e-02,852,9.3809053449541713e-03,1.6455092219881398e-01
4.0000000000000001e-02,856,1.5307190628449069e-02,1.6455092219881401e-01
4.0000000000000001e-02,901,7.7893918584196475e-03,1.6455092219881398e-01
4.0000000000000001e-02,938,1.6510592878129782e-03,1.6455092219881398e-01
5.0000000000000003e-02,9,1.5150714437724699e-02,1.6455092219881401e-01
5.0000000000000003e-02,136,1.7545307833629425e-02,1.6455092219881398e-01
5.0000000000000003e-02,155,5.5392093775148143e-03,1.6455092219881395e-01
5.0000000000000003e-02,203,1.9071995834237437e-02,1.6455092219881398e-01
5.0000000000000003e-02,256,1.2752130650930449e-02,1.6455092219881398e-01
5.0000000000000003e-02,300,2.5452228366425189e-03,1.6455092219881395e-01
5.0000000000000003e-02,332,3.3288893048173118e-03,1.6455092219881398e-01
5.0000000000000003e-02,377,5.7671911142884169e-03,1.6455092219881401e-01
5.0000000000000003e-02,397,1.1865516387664948e-02,1.4510449549976109e-01
5.0000000000000003e-02,424,1.4674228347107632e-02,1.5483000342946351e-01
5.0000000000000003e-02,459,1.6654430474833393e-02,1.6455092219881401e-01
5.0000000000000003e-02,520,1.3605547162988452e-02,1.6455092219881398e-01
5.0000000000000003e-02,522,1.1869716210717030e-03,1.6455092219881398e-01
5.0000000000000003e-02,559,1.6968637423825206e-02,1.6455092219881398e-01
5.0000000000000003e-02,604,1.4791065340555548e-02,1.6455092219881398e-01
5.0000000000000003e-02,735,7.5022075168117430e-03,1.6455092219881398e-01
5.0000000000000003e-02,815,1.6214217143650789e-02,1.6455092219881401e-01
5.0000000000000003e-02,840,9.7932577628558892e-03,1.6455092219881395e-01
5.0000000000000003e-02,849,7.7944838825379226e-03,1.6455092219881398e-01
5.0000000000000003e-02,916,1.5559743034290391e-02,1.6455092219881398e-01
5.0000000000000003e-02,921,9.1407912872336627e-03,1.6455092219881398e-01
5.0000000000000003e-02,997,1.1496904709874883e-02,1.6455092219881398e-01
5.9999999999999998e-02,1,7.4971455004790855e-05,1.4708355039563958e-01
