t_ps,mean_E_kin_eV,var_E_kin_eV,mean_E_dissip_eV,var_E_dissip_eV,n_coll_this_step,n_coll_cumulative
0.0000000000000000e+00,1.6453278096617782e-01,4.5220835094212295e-34,0.0000000000000000e+00,0.0000000000000000e+00,0,0
1.0000000000000000e-02,1.6453278096617782e-01,4.5220835094212295e-34,0.0000000000000000e+00,0.0000000000000000e+00,0,0
2.0000000000000000e-02,1.6415848888106579e-01,4.6066536687446939e-06,3.7429208511200298e-04,4.6066536687447033e-06,39,39
2.9999999999999999e-02,1.6393089563349661e-01,7.2256857078559150e-06,6.0188533268121680e-04,7.2256857078559260e-06,27,66
4.0000000000000001e-02,1.6362967928563404e-01,1.0938530782739697e-05,9.0310168054377391e-04,1.0938530782739719e-05,29,95
5.0000000000000003e-02,1.6332820982991370e-01,1.4269597506533578e-05,1.2045711362641445e-03,1.4269597506533600e-05,35,130
5.9999999999999998e-02,1.6302196743023287e-01,1.7718194311974733e-05,1.5108135359449477e-03,1.7718194311974767e-05,30,160
7.0000000000000007e-02,1.6285377198333831e-01,1.9407769085338701e-05,1.6790089828395232e-03,1.9407769085338745e-05,17,177
8.0000000000000002e-02,1.6263622784972256e-01,2.2086531288590679e-05,1.8965531164552496e-03,2.2086531288590713e-05,22,199
8.9999999999999997e-02,1.6238415568623685e-01,2.7019612801576827e-05,2.1486252799409909e-03,2.7019612801576884e-05,22,221
1.0000000000000001e-01,1.6214804073079442e-01,2.9107175088887427e-05,2.3847402353834265e-03,2.9107175088887481e-05,27,248
1.1000000000000000e-01,1.6188476655371759e-01,3.2508205337854414e-05,2.6480144124602354e-03,3.2508205337854468e-05,28,276
1.2000000000000000e-01,1.6161248844088355e-01,3.5590633285184929e-05,2.9202925252942886e-03,3.5590633285184990e-05,30,306
1.3000000000000000e-01,1.6139505759687392e-01,3.7372148960756836e-05,3.1377233693038842e-03,3.7372148960756870e-05,23,329
1.4000000000000001e-01,1.6105535318884195e-01,4.1216341303214220e-05,3.4774277773358415e-03,4.1216341303214281e-05,31,360
1.4999999999999999e-01,1.6092458603769338e-01,4.2231657716924722e-05,3.6081949284844203e-03,4.2231657716924749e-05,15,375
1.6000000000000000e-01,1.6070890921727093e-01,4.4132693752051395e-05,3.8238717489069013e-03,4.4132693752051463e-05,21,396
1.7000000000000001e-01,1.6052042471707054e-01,4.5817960094827423e-05,4.0123562491072790e-03,4.5817960094827471e-05,18,414
1.7999999999999999e-01,1.6021968879027748e-01,4.9111805134786218e-05,4.3130921759003691e-03,4.9111805134786279e-05,32,446
1.9000000000000000e-01,1.5997819238233432e-01,5.2277267082601221e-05,4.5545885838434996e-03,5.2277267082601282e-05,30,476
2.0000000000000001e-01,1.5977463264850278e-01,5.3511728112377407e-05,4.7581483176750445e-03,5.3511728112377468e-05,22,498
2.0999999999999999e-01,1.5962073466618654e-01,5.4598857550359629e-05,4.9120462999912989e-03,5.4598857550359690e-05,20,518
2.2000000000000000e-01,1.5932015685829146e-01,5.8461598934788390e-05,5.2126241078863647e-03,5.8461598934788451e-05,29,547
2.3000000000000001e-01,1.5913094086657600e-01,5.9598564905862140e-05,5.4018400996018274e-03,5.9598564905862195e-05,24,571
2.3999999999999999e-01,1.5893216727420245e-01,6.3287713853425636e-05,5.6006136919753901e-03,6.3287713853425691e-05,21,592
2.5000000000000000e-01,1.5872366195468771e-01,6.6878712927590707e-05,5.8091190114900907e-03,6.6878712927590761e-05,23,615
2.6000000000000001e-01,1.5844306297743921e-01,6.9877416435659429e-05,6.0897179887386046e-03,6.9877416435659511e-05,28,643
2.7000000000000002e-01,1.5812837174215927e-01,7.3767336164599413e-05,6.4044092240185743e-03,7.3767336164599467e-05,30,673
