step,t_ps,atom,x_A,y_A,z_A,vx_Aps,vy_Aps,vz_Aps,mass_kg,E_kin_eV,E_pot_eV,E_dissip_eV
0,0.0000000000000000e+00,0,3.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e+00,5.0000000000000000e-01,2.9999999999999999e-01,2.0000000000000001e-01,2.1088846189000000e-25,2.5011740174219728e-03,1.1090378089036026e+00,0.0000000000000000e+00
0,0.0000000000000000e+00,1,-3.0000000000000000e+00,-2.0000000000000000e+00,-1.0000000000000000e+00,-4.0000000000000002e-01,1.0000000000000001e-01,-2.9999999999999999e-01,2.1088846189000000e-25,1.7113295908676655e-03,1.1090378089036026e+00,0.0000000000000000e+00
1,1.0000000000000000e-02,0,3.0057468590858178e+00,2.0034979060572122e+00,1.0022489530286061e+00,6.4914851443724109e-01,3.9938077531438776e-01,2.4974175408353791e-01,2.1088846189000000e-25,4.2340251656105832e-03,1.1076477386129493e+00,0.0000000000000000e+00
1,1.0000000000000000e-02,1,-3.0047468590858180e+00,-1.9994979060572122e+00,-1.0032489530286059e+00,-5.4914715968254602e-01,6.1610038037100689e-04,-3.4973969133809019e-01,2.1088846189000000e-25,2.7899992872240501e-03,1.1076159143048063e+00,0.0000000000000000e+00
2,2.0000000000000000e-02,0,3.0129829702887445e+00,2.0079876155062881e+00,1.0049948350816709e+00,7.9777427604351525e-01,4.9831051711633861e-01,2.9936012155420161e-01,2.1088846189000000e-25,6.4133633027526251e-03,1.1058096625763725e+00,0.0000000000000000e+00
2,2.0000000000000000e-02,1,-3.0109829431936506e+00,-1.9999876779923926e+00,-1.0069947938267618e+00,-6.9776886354401713e-01,-9.8323005821596199e-02,-3.9935187755206109e-01,2.1088846189000000e-25,4.3180184151887461e-03,1.1057460562747519e+00,0.0000000000000000e+00
3,2.9999999999999999e-02,0,3.0217023446066880e+00,2.0134641163995393e+00,1.0082361554596901e+00,9.4572664464931933e-01,5.9669020145999307e-01,3.4880418980227040e-01,2.1088846189000000e-25,9.0312289119214347e-03,1.1035312186731487e+00,0.0000000000000000e+00
3,2.9999999999999999e-02,1,-3.0187022363566980e+00,-2.0014643661736442e+00,-1.0112359905796473e+00,-8.4571448588662945e-01,-1.9671827266557435e-01,-4.4878566284200649e-01,2.1088846189000000e-25,6.2880807616106163e-03,1.1034358720933779e+00,0.0000000000000000e+00
4,4.0000000000000001e-02,0,3.0318975031817308e+00,2.0199214195354878e+00,1.0119709188777164e+00,1.0928586705210150e+00,6.9442364666137879e-01,3.9802408595117694e-01,2.1088846189000000e-25,1.2077955070169951e-02,1.1008217623692218e+00,0.0000000000000000e+00
4,4.0000000000000001e-02,1,-3.0278972329113829e+00,-2.0039220434457041e+00,-1.0159705070836020e+00,-9.9283709429319489e-01,-2.9447348666945233e-01,-4.9799119678169873e-01,2.1088846189000000e-25,8.6911542623409523e-03,1.1006947166126415e+00,0.0000000000000000e+00
5,5.0000000000000003e-02,0,3.0435595180171080e+00,2.0273525893327666e+00,1.0161966371787139e+00,1.2390278307404308e+00,7.9141798436835109e-01,4.4697123222424612e-01,2.1088846189000000e-25,1.5542266868835353e-02,1.0976922687289552e+00,0.0000000000000000e+00
5,5.0000000000000003e-02,1,-3.0385589782425617e+00,-2.0073538359070331e+00,-1.0211958145152813e+00,-1.1389941858936010e+00,-3.9149573811139937e-01,-5.4691992952734647e-01,2.1088846189000000e-25,1.1516577290681665e-02,1.0975335642867095e+00,0.0000000000000000e+00
6,6.0000000000000005e-02,0,3.0566780597965391e+00,2.0357497792228547e+00,1.0209103435222013e+00,1.3840967093815109e+00,8.8758408986396109e-01,4.9559858422302139e-01,2.1088846189000000e-25,1.9411395488481628e-02,1.0941552196249451e+00,0.0000000000000000e+00
6,6.0000000000000005e-02,1,-3.0506771166292550e+00,-2.0117519582079320e+00,-1.0269089056741489e+00,-1.2840483673994774e+00,-4.8769585161091578e-01,-5.9552484990221655e-01,2.1088846189000000e-25,1.4752169867039807e-02,1.0939648964001272e+00,0.0000000000000000e+00
7,7.0000000000000007e-02,0,3.0712414522047382e+00,2.0451042711300458e+00,1.0261086088631741e+00,1.5279336143038340e+00,9.8283696726979919e-01,5.4386084949740998e-01,2.1088846189000000e-25,2.3671204744718202e-02,1.0902244783186319e+00,0.0000000000000000e+00
7,7.0000000000000007e-02,1,-3.0642399455905514e+00,-2.0171077529392512e+00,-1.0331063115133257e+00,-1.4278679717119958e+00,-5.8298877164052043e-01,-6.4376070373434158e-01,2.1088846189000000e-25,1.8384357634341500e-02,1.0900025756665761e+00,0.0000000000000000e+00
8,8.0000000000000002e-02,0,3.0872367320826157e+00,2.0554065185682506e+00,1.0317875605121494e+00,1.6704131248685554e+00,1.0770960863450858e+00,5.9171468426380058e-01,2.1088846189000000e-25,2.8306327757491704e-02,1.0859151537537981e+00,0.0000000000000000e+00
8,8.0000000000000002e-02,1,-3.0792344760634949e+00,-2.0234117336407422e+00,-1.0397841197488358e+00,-1.5703276054192716e+00,-6.7729389966473352e-01,-6.9158419030964124e-01,2.1088846189000000e-25,2.2398306273724265e-02,1.0856617105401360e+00,0.0000000000000000e+00
9,8.9999999999999997e-02,0,3.1046497147021093e+00,2.0666461928569473e+00,1.0379429025484501e+00,1.8114165662787662e+00,1.1702856685325493e+00,6.3911886658063255e-01,2.1088846189000000e-25,3.3300311298093459e-02,1.0812434570039864e+00,0.0000000000000000e+00
9,8.9999999999999997e-02,1,-3.0956464976989366e+00,-2.0306536309325458e+00,-1.0469379953195184e+00,-1.7113086230233965e+00,-7.7053538064186489e-01,-7.3895413529901854e-01,2.1088846189000000e-25,2.6778063934733233e-02,1.0809585116799678e+00,0.0000000000000000e+00
10,9.9999999999999992e-02,0,3.1234650634081911e+00,2.0788122319389015e+00,1.0445699378437621e+00,1.9508324077819885e+00,1.2623349209355754e+00,6.8603444479801934e-01,2.1088846189000000e-25,3.8635765340612221e-02,1.0762265523470964e+00,0.0000000000000000e+00
10,9.9999999999999992e-02,1,-3.1134606485239624e+00,-2.0388224412535796e+00,-1.0545632024548159e+00,-1.8506995249510292e+00,-8.6264233744479668e-01,-7.8583163891699093e-01,2.1088846189000000e-25,3.1506709211649983e-02,1.0759101430415599e+00,0.0000000000000000e+00
11,1.0999999999999999e-01,0,3.1436663628577488e+00,2.0918928912756587e+00,1.0516635914444106e+00,2.0885565835025228e+00,1.3531782179268195e+00,7.3242486061021472e-01,2.1088846189000000e-25,4.4294515383619434e-02,1.0708824054069115e+00,0.0000000000000000e+00
11,1.0999999999999999e-01,1,-3.1326604881979567e+00,-2.0479064776814417e+00,-1.0626546280978582e+00,-1.9883962781095221e+00,-9.5354905288956671e-01,-8.3218019864172610e-01,2.1088846189000000e-25,3.6566502232427613e-02,1.0705345700341367e+00,0.0000000000000000e+00
12,1.1999999999999998e-01,0,3.1652361950782413e+00,2.1058757962974375e+00,1.0592184350559666e+00,2.2244927358746671e+00,1.4427552308738563e+00,7.7825604644912039e-01,2.1088846189000000e-25,5.0257755195528997e-02,1.0652296307083708e+00,0.0000000000000000e+00
12,1.1999999999999998e-01,1,-3.1532285740861528e+00,-2.0578934223113712e+00,-1.0712068064276505e+00,-2.1243025591398688e+00,-1.0431950999695623e+00,-8.7796580629804521e-01,2.1088846189000000e-25,4.1939036516659020e-02,1.0648504070909492e+00,0.0000000000000000e+00
