step,t_ps,atom,x_A,y_A,z_A,vx_Aps,vy_Aps,vz_Aps,mass_kg,E_kin_eV,E_pot_eV,E_dissip_eV
0,0.0000000000000000e+00,0,3.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e+00,5.0000000000000000e-01,2.9999999999999999e-01,2.0000000000000001e-01,2.1088846175284001e-25,2.5008982706859026e-03,1.1090378089036026e+00,0.0000000000000000e+00
0,0.0000000000000000e+00,1,-3.0000000000000000e+00,-2.0000000000000000e+00,-1.0000000000000000e+00,-4.0000000000000002e-01,1.0000000000000001e-01,-2.9999999999999999e-01,2.1088846175284001e-25,1.7111409220482495e-03,1.1090378089036026e+00,0.0000000000000000e+00
1,1.0000000000000000e-02,0,3.0057468550834772e+00,2.0034979033889848e+00,1.0022489516944924e+00,6.4914771416000394e-01,3.9938024184048959e-01,2.4974148728014289e-01,2.1088846175284001e-25,4.2335478579406541e-03,1.1076477398331097e+00,0.0000000000000000e+00
1,1.0000000000000000e-02,1,-3.0047468550834773e+00,-1.9994979033889850e+00,-1.0032489516944922e+00,-5.4914635925363364e-01,6.1663351131927002e-04,-3.4973942430649119e-01,2.1088846175284001e-25,2.7896846877696821e-03,1.1076159155249674e+00,0.0000000000000000e+00
2,2.0000000000000000e-02,0,3.0129829542832001e+00,2.0079876048368099e+00,1.0049948297456028e+00,7.9777267628517767e-01,4.9830945078665301e-01,2.9935958812484653e-01,2.1088846175284001e-25,6.4126303544315344e-03,1.1058096674350899e+00,0.0000000000000000e+00
2,2.0000000000000000e-02,1,-3.0109829271850725e+00,-1.9999876673297736e+00,-1.0069947884861297e+00,-6.9776726317448667e-01,-9.8321940859328549e-02,-3.9935134320890914e-01,2.1088846175284001e-25,4.3175234813874301e-03,1.1057460611334728e+00,0.0000000000000000e+00
3,2.9999999999999999e-02,0,3.0217023086091808e+00,2.0134640924047180e+00,1.0082361434569893e+00,9.4572424701294855e-01,5.9668860342727248e-01,3.4880339019526196e-01,2.1088846175284001e-25,9.0301871783343181e-03,1.1035312295431323e+00,0.0000000000000000e+00
3,2.9999999999999999e-02,1,-3.0187022003469672e+00,-2.0014643422061713e+00,-1.0112359785586706e+00,-8.4571208688255417e-01,-1.9671667771005372e-01,-4.4878486118313687e-01,2.1088846175284001e-25,6.2873519494194858e-03,1.1034358829633715e+00,0.0000000000000000e+00
4,4.0000000000000001e-02,0,3.0318974392234588e+00,2.0199213769053550e+00,1.0119708975495079e+00,1.0928554773874315e+00,6.9442151859166845e-01,3.9802302087697683e-01,2.1088846175284001e-25,1.2076552548591640e-02,1.1008217815611483e+00,0.0000000000000000e+00
4,4.0000000000000001e-02,1,-3.0278971689227241e+00,-2.0039220008839744e+00,-1.0159704857097926e+00,-9.9283389875171491e-01,-2.9447136407622332e-01,-4.9799012807134518e-01,2.1088846175284001e-25,8.6901390964988588e-03,1.1006947358045935e+00,0.0000000000000000e+00
5,5.0000000000000003e-02,0,3.0435594181569292e+00,2.0273525227765510e+00,1.0161966038745287e+00,1.2390238452489217e+00,7.9141532842636675e-01,4.4696990264998537e-01,2.1088846175284001e-25,1.5540452893502357e-02,1.0976922984761752e+00,0.0000000000000000e+00
5,5.0000000000000003e-02,1,-3.0385588783220019e+00,-2.0073537694876959e+00,-1.0211957811200976e+00,-1.1389901966717155e+00,-3.9149309072967586e-01,-5.4691859428917833e-01,2.1088846175284001e-25,1.1515224562136984e-02,1.0975335940339823e+00,0.0000000000000000e+00
6,6.0000000000000005e-02,0,3.0566779161284372e+00,2.0357496834738820e+00,1.0209102956025076e+00,1.3840919353883006e+00,8.8758090868381823e-01,4.9559699135950630e-01,2.1088846175284001e-25,1.9409120911505220e-02,1.0941552620693784e+00,0.0000000000000000e+00
6,6.0000000000000005e-02,1,-3.0506769728561585e+00,-2.0117518626985680e+00,-1.0269088575955760e+00,-1.2840435880561718e+00,-4.8769268274237426e-01,-5.9552324890130792e-01,2.1088846175284001e-25,1.4750429816341691e-02,1.0939649388446564e+00,0.0000000000000000e+00
7,7.0000000000000007e-02,0,3.0712412568646950e+00,2.0451041409502273e+00,1.0261085437017188e+00,1.5279280563377424e+00,9.8283326392406223e-01,5.4385899478509181e-01,2.1088846175284001e-25,2.3668422101587611e-02,1.0902245354981908e+00,0.0000000000000000e+00
7,7.0000000000000007e-02,1,-3.0642397500831251e+00,-2.0171076231425431e+00,-1.0331062460981235e+00,-1.4278624064701020e+00,-5.8298508501132174e-01,-6.4375883796567546e-01,2.1088846175284001e-25,1.8382182120272726e-02,1.0900026328462868e+00,0.0000000000000000e+00
8,8.0000000000000002e-02,0,3.0872364772551917e+00,2.0554063487523635e+00,1.0317874754982093e+00,1.6704067880749776e+00,1.0770918643062490e+00,5.9171256935473615e-01,2.1088846175284001e-25,2.8302991415635116e-02,1.0859152275912136e+00,0.0000000000000000e+00
8,8.0000000000000002e-02,1,-3.0792342209855601e+00,-2.0234115643987942e+00,-1.0397840343548894e+00,-1.5703212591565521e+00,-6.7728969941703088e-01,-6.9158206099634534e-01,2.1088846175284001e-25,2.2395648926591679e-02,1.0856617843777705e+00,0.0000000000000000e+00
9,8.9999999999999997e-02,0,3.1046493926261944e+00,2.0666459782363522e+00,1.0379427950888134e+00,1.8114094563681966e+00,1.1702809316377774e+00,6.3911649332184572e-01,2.1088846175284001e-25,3.3296377587999956e-02,1.0812435492973047e+00,0.0000000000000000e+00
9,8.9999999999999997e-02,1,-3.0956461752662556e+00,-2.0306534171308837e+00,-1.0469378873180504e+00,-1.7113015011918358e+00,-7.7053067127823249e-01,-7.3895174386630325e-01,2.1088846175284001e-25,2.6774880290605412e-02,1.0809586039735879e+00,0.0000000000000000e+00
10,9.9999999999999992e-02,0,3.1234646663825556e+00,2.0788119673851186e+00,1.0445698053646462e+00,1.9508245309939634e+00,1.2623296733619487e+00,6.8603181521989576e-01,2.1088846175284001e-25,3.8631192669425676e-02,1.0762266647619159e+00,0.0000000000000000e+00
