step,t_ps,atom,x_A,y_A,z_A,vx_Aps,vy_Aps,vz_Aps,mass_kg,E_kin_eV,E_pot_eV,E_dissip_eV,E_mass_attach_defect_eV,number_of_collisions,b_collision,b_attach,sigma_used_A2,depth_A
0,0.0000000000000000e+00,0,1.5000000000000000e+00,1.0000000000000000e+00,5.0000000000000000e-01,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1088846175284001e-25,5.9231801147824011e-02,1.9869586926778089e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0,0,1.1111111111111111e+05,-8.1291713066130296e+00
0,0.0000000000000000e+00,1,-1.5000000000000000e+00,-1.0000000000000000e+00,-5.0000000000000000e-01,-3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1088846175284001e-25,5.9231801147824011e-02,1.9869586926778089e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0,0,1.1111111111111111e+05,-8.1291713066130296e+00
1,1.0000000000000000e-02,0,1.5331063840862895e+00,1.0020709227241928e+00,5.0103546136209642e-01,3.6142047636917463e+00,4.0550969516527091e-01,2.0275484758263546e-01,2.1088846175284001e-25,8.7320993590056656e-02,1.9588124624679752e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0,0,1.1111111111111111e+05,-8.1011588132132317e+00
1,1.0000000000000000e-02,1,-1.5331063840862895e+00,-1.0020709227241928e+00,-5.0103546136209642e-01,-3.6142047636917463e+00,-4.0550969516527091e-01,-2.0275484758263546e-01,2.1088846175284001e-25,8.7320993590056656e-02,1.9588124624679752e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0,0,1.1111111111111111e+05,-8.1011588132132317e+00
2,2.0000000000000000e-02,0,1.5722840952738351e+00,1.0081101939033053e+00,5.0405509695165263e-01,4.1234657812987585e+00,8.2881190677611039e-01,4.9387616388635425e-01,2.1753061802852002e-25,1.2174542179473336e-01,1.9241378859676415e+00,3.9031331065447206e-03,-3.7174174593811718e-03,1,1,1,7.5369174903622872e+04,-8.0654625927458099e+00
2,2.0000000000000000e-02,1,-1.5722840952738351e+00,-1.0081101939033053e+00,-5.0405509695165263e-01,-4.0179207947932847e+00,-6.9881798891311064e-01,-2.9402786512562379e-01,2.1753061802852002e-25,1.1349506101235221e-01,1.9241378859676415e+00,1.1901574475723389e-02,-3.4654980461786941e-03,1,1,1,7.5369174903622872e+04,-8.0654625927458099e+00
3,2.9999999999999999e-02,0,1.6163719052343444e+00,1.0182276845034246e+00,5.0990854435669530e-01,4.5682246981637853e+00,1.2036506813910384e+00,7.8410519524676980e-01,2.2417277430420002e-25,1.6043147517208994e-01,1.8852669275148979e+00,9.7444496912589273e-03,-8.4709426496653185e-03,2,1,1,5.5760590681069865e+04,-8.0227664586275917e+00
3,2.9999999999999999e-02,1,-1.6153164553692896e+00,-1.0169277453247947e+00,-5.0791006136908801e-01,-4.4716735797092904e+00,-1.1261578610311034e+00,-3.6746681998478192e-01,2.2417277430420002e-25,1.4970577489958528e-01,1.8852491975322117e+00,1.7985959207177590e-02,-7.9012247098701107e-03,2,1,1,5.9814026896302501e+04,-8.0248134466238064e+00
4,4.0000000000000001e-02,0,1.6647221092127913e+00,1.0319443320030632e+00,5.1858985496693566e-01,4.9637627431253355e+00,1.4341552475370902e+00,1.0652040183914007e+00,2.3081493057988002e-25,2.0046704093641479e-01,1.8427061345278908e+00,1.8994612139883293e-02,-1.4239778360065744e-02,3,1,1,4.3606667693040145e+04,-7.9738844448231099e+00
4,4.0000000000000001e-02,1,-1.6627011426026048e+00,-1.0298694710688858e+00,-5.1242501257000672e-01,-4.8052335545180860e+00,-1.3438670781639974e+00,-6.4241524260158012e-01,2.3081493057988002e-25,1.8230457221132107e-01,1.8426688507396261e+00,3.2139157845341867e-02,-1.3147399449764242e-02,3,1,1,4.6730876147069219e+04,-7.9781727050613132e+00
5,5.0000000000000003e-02,0,1.7168419927905405e+00,1.0478239904579605e+00,5.3001099049514544e-01,5.2228811424067718e+00,1.8144477096282672e+00,1.2462503529293054e+00,2.3745708685556002e-25,2.3805225871341149e-01,1.7982300580356718e+00,3.3706859465772426e-02,-2.0898582799601731e-02,4,1,1,3.5931928685281986e+04,-7.9200016362424979e+00
5,5.0000000000000003e-02,1,-1.7132357202859434e+00,-1.0448462514138672e+00,-5.1961833857589124e-01,-5.2659749281374140e+00,-1.5030031036517797e+00,-7.9233788782040315e-01,2.3745708685556002e-25,2.2688812803540015e-01,1.7981680212288813e+00,3.7135140520444684e-02,-1.9493920513691518e-02,4,1,1,3.9511721134054183e+04,-7.9271074460692192e+00
6,6.0000000000000005e-02,0,1.7713729273966763e+00,1.0673729738629649e+00,5.4317789507950387e-01,5.5482988902558485e+00,1.9725554463065591e+00,1.5010183888612287e+00,2.4409924313124002e-25,2.8130518370795554e-01,1.7523552465802619e+00,4.4892581963312334e-02,-2.8553145621586916e-02,5,1,1,3.1129521106293476e+04,-7.8617555474291674e+00
6,6.0000000000000005e-02,1,-1.7681975742387166e+00,-1.0612807884952857e+00,-5.2824624460535397e-01,-5.6718831417620414e+00,-1.7924328365858069e+00,-1.0048683753320713e+00,2.4409924313124002e-25,2.7723108424260501e-01,1.7522726170611140e+00,3.9231409900472788e-02,-2.7037623486279409e-02,5,1,1,3.2661262958914111e+04,-7.8711778682772682e+00
7,7.0000000000000007e-02,0,1.8289849680768906e+00,1.0883788854785057e+00,5.5883244657129416e-01,5.8483532669988216e+00,2.0078383626460798e+00,1.5137534608565002e+00,2.5074139940692002e-25,3.1711769173050008e-01,1.7054940985453866e+00,6.4730834528943265e-02,-3.6953614276699499e-02,6,1,1,2.7079978068487184e+04,-7.7995345230730120e+00
7,7.0000000000000007e-02,1,-1.8270454123867050e+00,-1.0804855033431935e+00,-5.3893947077983961e-01,-5.9818437864256984e+00,-1.9857407168562329e+00,-1.2631176511587698e+00,2.5074139940692002e-25,3.2333848465872767e-01,1.7054016779930705e+00,4.8095484265606156e-02,-3.5602881358033786e-02,6,1,1,2.7477936776732109e+04,-7.8100229190645507e+00
8,8.0000000000000002e-02,0,1.8894325271155676e+00,1.1096223439668800e+00,5.7455958273212415e-01,6.1871025549091927e+00,2.2989007305937128e+00,1.5420883342931342e+00,2.5738355568260002e-25,3.6903013129701728e-01,1.6589129812871750e+00,6.8754495249862463e-02,-4.6476972503719301e-02,7,1,1,2.4675455841033439e+04,-7.7347548179364374e+00
8,8.0000000000000002e-02,1,-1.8888278085199093e+00,-1.1015080314471286e+00,-5.5216047604296881e-01,-6.3483997381478492e+00,-2.1421057739980647e+00,-1.2456739628185438e+00,2.5738355568260002e-25,3.7304051039503711e-01,1.6588239127760502e+00,5.4704996510945722e-02,-4.5229733239196032e-02,7,1,1,2.4200718349272422e+04,-7.7448122861090587e+00
9,8.9999999999999997e-02,0,1.9531137473358178e+00,1.1336706742442160e+00,5.9052015141318726e-01,6.4469090310724777e+00,2.5571387578258022e+00,1.4871610891978146e+00,2.6402571195828002e-25,4.1456071277803591e-01,1.6123923251082710e+00,8.0201098305547919e-02,-5.6906172825179319e-02,8,1,1,2.1765997708151233e+04,-7.6657813819398690e+00
9,8.9999999999999997e-02,1,-1.9541219232197995e+00,-1.1239884615291680e+00,-5.6515714890290714e-01,-6.3640483525977567e+00,-2.2622864436828749e+00,-1.2508777491610432e+00,2.6402571195828002e-25,3.8877493299714122e-01,1.6123020585115693e+00,9.5197499149917361e-02,-5.5010234698243614e-02,8,1,1,2.1532001936046268e+04,-7.6759205789356049e+00
10,9.9999999999999992e-02,0,2.0192490476884806e+00,1.1602047634583241e+00,6.0588444330055702e-01,6.7209661586254654e+00,2.8074899445633514e+00,1.4906003056508990e+00,2.7066786823396002e-25,4.6690360405885450e-01,1.5674278677664635e+00,8.5133009045652991e-02,-6.8363929979997837e-02,9,1,1,1.9875482966482847e+04,-7.5936463750363190e+00
10,9.9999999999999992e-02,1,-2.0194285239440446e+00,-1.1475740930002167e+00,-5.7815887753291173e-01,-6.3844714456419975e+00,-2.4954202827226863e+00,-1.2857133597803772e+00,2.7066786823396002e-25,4.1087022782921528e-01,1.5673136487543904e+00,1.2728362365546342e-01,-6.5092939675647665e-02,9,1,1,2.1193738808909860e+04,-7.6064073968375050e+00
11,1.0999999999999999e-01,0,2.0879929299074167e+00,1.1891562762691448e+00,6.2124009004482250e-01,6.7884245888778016e+00,3.0614052228940429e+00,1.6213243762332727e+00,2.7731002450964003e-25,5.0266509476256616e-01,1.5237368039183683e+00,1.0655549512793769e-01,-8.0403812489280857e-02,10,1,1,1.8091271314477381e+04,-7.5181163656987149e+00
11,1.0999999999999999e-01,1,-2.0848073599763826e+00,-1.1734049931397934e+00,-5.9146593239467204e-01,-6.6221372008119559e+00,-2.4622238600643191e+00,-1.3006405611530554e+00,2.7731002450964003e-25,4.4661475182983806e-01,1.5235792080148627e+00,1.4449037797402492e-01,-7.5790299000913247e-02,10,1,1,2.0558510221984587e+04,-7.5356272694008748e+00
12,1.1999999999999998e-01,0,2.1572897141581264e+00,1.2205700081272040e+00,6.3786369681099220e-01,6.7783170074210641e+00,3.2461940467259143e+00,1.5650389786715295e+00,2.8395218078532003e-25,5.2222924537015758e-01,1.4815725203067149e+00,1.4280238158882905e-01,-9.2619701269869334e-02,11,1,1,1.7216562801455450e+04,-7.4405937893211487e+00
12,1.1999999999999998e-01,1,-2.1524411772093748e+00,-1.1988270052630088e+00,-6.0488297721286122e-01,-6.7733520818704251e+00,-2.5694010215203553e+00,-1.5186775483335400e+00,2.8395218078532003e-25,4.8548787496213935e-01,1.4813692113421324e+00,1.5773292397814931e-01,-8.7146740520495453e-02,11,1,1,1.9377248818186250e+04,-7.4630584109963731e+00
13,1.2999999999999998e-01,0,2.2263740976714677e+00,1.2537623289256665e+00,6.5388914462949754e-01,7.0178362395618894e+00,3.2816201489195254e+00,1.7036959355448500e+00,2.9059433706100003e-25,5.7061970413741103e-01,1.4411466441801655e+00,1.4877822336454768e-01,-1.0566243736443873e-01,12,1,1,1.6968506922934714e+04,-7.3625329170433522e+00
