t_ps,x1_A,y1_A,z1_A,x2_A,y2_A,z2_A,vx1_Aps,vy1_Aps,vz1_Aps,vx2_Aps,vy2_Aps,vz2_Aps,E_kin_eV,E_pot_eV,E_total_eV
0.0000000000000000e+00,1.5000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3289181467418755e-01,3.3289181467418755e-01
1.0000000000000000e-02,1.4945396266498885e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4945396266498885e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.0899890609725598e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0899890609725598e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5638197876739486e-02,3.1722258956275151e-01,3.3286078743949099e-01
2.0000000000000000e-02,1.4782002187805490e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4782002187805490e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.1679709307612516e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1679709307612516e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.1865615009367506e-02,2.7081424320976982e-01,3.3267985821913731e-01
2.9999999999999999e-02,1.4511802080346636e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4511802080346636e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.2052710050529503e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2052710050529503e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3522965346850155e-01,1.9680028090590554e-01,3.3202993437440709e-01
4.0000000000000001e-02,1.4140947986794901e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4140947986794901e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.1314323863372433e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.1314323863372433e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2466929605366123e-01,1.0556327264596314e-01,3.3023256869962436e-01
5.0000000000000003e-02,1.3685515603079188e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.3685515603079188e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.7926669450837460e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7926669450837460e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0234091623840559e-01,2.4053857110206432e-02,3.2639477334861200e-01
5.9999999999999998e-02,1.3182414597778149e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.3182414597778149e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.9004487958899832e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.9004487958899832e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1609246017353843e-01,5.1635946230513636e-03,3.2125605479658981e-01
7.0000000000000007e-02,1.2705425843901190e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2705425843901190e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.0465475825116775e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0465475825116775e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1553198484050515e-01,1.0641279782772742e-01,3.2194478266823257e-01
8.0000000000000002e-02,1.2373105081275813e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2373105081275813e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.9852337008549923e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9852337008549923e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.1875907050511344e-02,2.8396049904781234e-01,3.3583640609832366e-01
8.9999999999999997e-02,1.2308379103730189e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2308379103730189e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.3481195882340309e-01,0.0000000000000000e+00,0.0000000000000000e+00,-8.3481195882340309e-01,0.0000000000000000e+00,0.0000000000000000e+00,9.1731764800753943e-03,3.3200609601756431e-01,3.4117927249763969e-01
